time,text
2024-04-13T14:05:04.924+03:00,"Сидим. Трещим. Инвестируем. Выпуск #1

В данной серии постов я буду делиться своими мыслями вслух по интересующей меня теме и размышлять о вариантах инвестирования. Заранее спасибо за поддержку.

🟡 Золото
На фоне геополитики и увеличения напряженности между Ираном и Израилем цены на золото впервые превысили 2400$ за тройскую унцию (пик был 2470$ по фьючерсу $GD1!). 
Конечно, закупаться на максимум золотом нерационально, но подкупать необходимо, чтобы было ""хоть что-то"". 
Проанализировав возможные инвестиции в золото, я рассматриваю следующие варианты:

• БПИФы
Я выбрал фонд Тинькофф Золото {$TGLD} ввиду наилучшей доходности за последние полгода/год относительно других фондов (от ВИМа {$GOLD} и Сбера $SBGD). Хотя казалось бы, все фонды состоят из золота и чуть-чуть валюты, но различия в 1-2%, многовато.

• Золотые облигации от Селигдара {$RU000A106XD7} 
Тело этих облигаций индексируется по цене золота в рублях. Вполне удобно и диверсифицированно, однако с покупкой немного подожду.

• Акции золотодобытчиков
Основные - имеющие еще потенциал к росту Селигдар {$SELG} и ЮГК {$UGLD} . Каждый раз, как смотрю на график Полюса {$PLZL}, говорю, что силы на рост исчерпаны, но компания сильная и находится в моем шорт-листе кандидатов.

• Криптозолото
Займусь изучением перед созданием и анализом своей криптовалютной части портфеля. Для интересующихся: пары XAUT/USDT или PAXG/USDT

Варианты инвестирования в золото не ограничиваются вышеуказанными, для диверсификации лучше иметь несколько. Еще один вариант - металлический счет в сбере, но много негативных отзывов, я в сомнениях.

Сколько золота у вас? В каком виде вы держите его у себя в портфеле? Будет интересно почитать.
Не иир

#инвестиции #золото #сидим_трещим"
2024-04-13T13:08:25.808+03:00,"ТГ КАНАЛ БАБЛОНАВТ ​ПРО ЗОЛОТО🗣:

О презренном металле
без эмоций и хиромантии.

Дисклеймер: данный текст не является инструментальным анализом, а представляет собой оценку масштабов и тенденций; числовые параметры округлены до тонн и десятков млрд.

За всю свою историю человечество добыло ~212 000 тонн золота, разведанные извлекаемые запасы ещё ~59 000 тонн. В отличие от других популярных коммодитиз (газ, нефть), добытое золото не исчезает после переработки, а остаётся в обороте и доступно для торговли и использования. 
При текущих ценах всё золото мира оценивается в довольно скромные ~ $20 трлн (для справки - долг США больше в полтора раза - $34 трлн).

Ежегодный рынок золота составляет 4 900 тонн, из которых 3 600 тонн – это добыча, остальное переработка.  Более половины потребляет ювелирка и  электронная промышленность, второй по величине потребитель золота – это мировые ЦБ, которые скупают в свои резервы более 20% (последние годы – с нарастающей прогрессией).

За всё время денежно-товарных отношений золото, как средство платежа, заработало себе максимальное доверие социума и никакое другое средство расчета, никакая фиатная валюта не могут с ним сравниться по исторической надёжности и устойчивости к инфляции (мешок муки в золоте в Древнем Риме стоил столько же, сколько и сейчас).

С другой стороны, золото – это беспроцентный актив и служит не инструментом инвестиционного заработка, а инструментом защиты в периоды, когда доверие к способностям монетарных властей обуздать инфляцию падает – «золото не сделает вас богатым, золото позволит избежать нищеты».

Многие профессиональные инвесторы (в том числе и я) недолюбливают золото за его ортодоксальную консервативность, но новая реальность, которая накрывает нас в последние несколько лет, заставляет всех встряхнуться и пересмотреть свои оценки. 

Явно просматриваются несколько факторов, которые начали гнать цены на «презренный металл» вверх:

1. Упорная и настойчивая скупка золота в активы мировыми ЦБ, обусловленная желанием уйти от рисков повторения «кейса России» - исключение из евродолларовой системы расчетов и арест активов.   

2. Нарастающий риск реализации «спирали смерти» с госдолгом США.

3. Рост мировой инфляции, которая не только заставляет бежать от фиатных активов в консервативное золото, но и значительно повышает себестоимость добычи этого металла (сейчас средняя себестоимость уже в районе $1850).

Если США и ЕС будут продолжать использовать свои валюты и финансовую систему как инструмент террора и как оружие, махая кнутом санкций налево и направо, тенденция разобщения экономик и ухода в консервативное золото только усилится, катализатором послужит импотенция минфина США в управлении долгом.

Сейчас общие резервы мировых ЦБ составляют ~ $20 трлн, из них в золоте ~$2,75 трлн (37 000 тонн) и совсем не выглядит фантастикой переток половины мировых резервов из долларов и евро в золото в ближайшие 20 лет в рамках всеобщей дедолларизации, деевровизации и дефрагментации мировой экономики. Что тогда будет с рынком американского госдолга страшно даже подумать, но это уже другая история. 

---

Лучшая идея, как заработать на золоте: ЮГК

https://www.tinkoff.ru/invest/social/profile/The_Buy_Side/557d64b1-ce68-401c-9c76-1c5130938083?utm_source=share

{$UGLD} {$PLZL} {$SELG} {$GDM4} {$GOLD}

#учу_в_плюсе #прояви_себя_в_пульсе #идея #акции #аналитика"
2024-04-13T11:09:34.704+03:00,"#офз #инфляция В ПОСТЕ МОИ МЫСЛИ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ решил поразмышлять насчёт {$USDRUB}, в США второй виток инфляции намечается, сырье растёт, доллар девальвируется, в то же время рубль девальвируется к доллару
Получается если при печатном станке фрс и снижении ставки, доллар смоется в унитаз по отношению к сырьевые товарам и драг металлам, то рубль в 2 унитаза смоется и будет двойная инфляция в рублёвой зоне😀Покупать офз с фикс ставкой каждый сам решит😉
Не случайно закупался золотыми облигациями, {$GLDRUBF} вечным фьючерсом на золото, и золотодобытчиками {$PLZL} {$SELG} {$UGLD}
Ну и конечно же нефтянкой {$LKOH} {$TATN} {$NVTK} (смотрите в посте недавнем, почему новатэк нефтяник) {$SIBN}, {$SNGSP} 
Так же закупился норкой {$GMKN} медь, никель, платина и палладий в рост тронулись👍 так же задумываюсь перед дивами закупить колл опционов на {$SBER} {$SBERP} 
Больше вопросов, чем ответов😀 почему рубль не укрепляется при сырьевом цикле к доллару? Будет ли двойная инфляция в РФ? Стоит ли покупать офз при двойной рублёвой инфляции? И другие😉 что думаете, в комментах жду😉"
2024-04-13T11:04:24.740+03:00,"#офз #инфляция В посте моё личное мнение и не является индивидуальной инвестиционной рекомендацией!!!
Давно спрашивали меня подписчики буду ли я брать офз с фиксированной ставкой {$SU26244RMFS2} {$SU26243RMFS4} {$SU26238RMFS4} и другие в ближайшее время?) мой ответ НЕТ, аргументация:
Ставка ЦБ РФ уже 16% и держится достаточно долго, но будет ли снижение в ближайшее время на уменьшении инфляции, победить инфляцию внутри страны возможно бы и получилось, но вот делема, сырье в мире растёт, нефть, алюминий, свинина, говядина, какао, кофе, апельсиновый сок, пшеница, медь, никель, платина, палладий, золото и т.д. Делаю вывод, что победить инфляцию пока не получится и с высокой ставкой в РФ мы надолго, возможно даже более 2 лет👎 поэтому держу акции экспортёров {$NVTK} {$LKOH} {$SIBN}  и золотодобытчиков {$PLZL} {$SELG} {$UGLD}  и пшеницу {$W4Z4}  , потому что ЭТО СТАГФЛЯЦИЯ, а не инфляция (стагнирование экономики мира + инфляция), при стагфляции в 1970 годах золото росло больше всех и сырье😉 согласны или нет пишите в комменты😉 лайк, подписка, чтобы пост вышел в интересные👍"
2024-04-13T10:27:59.293+03:00,"Приветствую вас, дорогие друзья. 

🏆 Сегодня будет небольшой разбор {$TGLD} 

• 1 скриншот(4 часовой таймфрейм)- глобально находимся в восходящем тренде, но подошли вплотную к зоне продавцов. 

• 2 скриншот (часовой таймфрейм)- когда мы стояли на отметке 9,2 я предположил, что будет небольшой откат вниз, но в итоге цена пробила зону сопротивления(синяя линия) и закрепилась над ней, это означает, что с высокой долей вероятности теперь эта зона сопротивления стала зоной поддержки. 

  📈 В целом, как уже говорил ранее, сейчас довольно благоприятная обстановка как для роста драг металлов {$GLDRUB_TOM}  {$SLVRUB_TOM}  так и для золотодобытчиков {$UGLD} {$SELG} {$PLZL}  . Так что если Вы готовы ждать и не боитесь небольшой просадки (если она вообще будет), то можно покупать и по этой цене. 
 
 Я же решил попробовать поспекулировать на этом фонде, поэтому попробую подождать небольшого отката к новой зоне поддержки +-9.2 (синяя линия) и буду наблюдать как она себя отработает( пробьет или нет).

Хотя с такими темпами роста, цена туда уже может и не опуститься. 

 Делитесь Вашим мнением по этому поводу и адекватной критикой, ведь здоровом споре рождается истина.

 И конечно же буду рад Вашим лайкам и подписке , ведь это самые лучшие мотиваторы ❤️😌

Не ИИР."
2024-04-13T08:42:15.769+03:00,"Итоги двух недель апреля.

С начала апреля портфель прибавил 71 500 рублей.

Бумаги, отобранные для идей в долгосрок не показывали слабость. Основная идея в Магните остаётся в силе, продолжаю держать позицию, с идеей отыграть высокую дивидендную доходность.

Удалось провернуть несколько быстрых плюсовых сделок. 
•Шорт Астры в плюс 4% на новостях об SPO
•Лонг Софтлайна исходя из графика по ТА в плюс 2,5%
•Лонг En+ на росте аллюминия. +3%. Не уверен в необходимости продолжать держать дальше на новостях о санкциях США на российский аллюминий

Немного осторожничал по золотодобытчикам, из-за законопроекта о дополнительном НДПИ ( переоценил его влияние), тем не менее и Полюс и Селигдар закрыты в небольшой плюс. Южуралзолото улетело в космос как и предполагал, на нем ранее уже 17% забирал, но можно было конечно и больше.

В целом по рынку считаю, что на след неделе должна быть коррекция, рынок перекуплен на мой взгляд. Но коррекция не должна быть глубокой, так как фундаментальные факторы по прежнему говорят о росте фондового рынка РФ в целом.

Понравилась риторика Набиуллиной по инфляции, прогнозирую начало снижения ключевой ставки в июне-июле, что в совокупности с дивидендным сезоном должно поддержать котировки.

{$MGNT} {$ENPG} {$ASTR} {$PLZL} {$UGLD} {$SELG} {$SOFL}"
2024-04-13T06:35:07.716+03:00,"Селигдар {$SELG}

Селигдар - крупная горнодобывающая компания с более чем 45-летней историей. Занимается добычей золота, серебра, меди, является единственным производителем рудного олова в нашей стране. Входит в топ-10 крупнейших российских компаний по объёмам годовой добычи золота.

Бизнес компании делится на два подразделения: золотой и оловодобывающий сегменты. Добыча ископаемых ведётся в шести регионах России: золота - в Якутии, Алтайском крае, Бурятии, олова - в Хабаровском крае, также перспективные проекты компании находятся в Оренбургской области и на Чукотке.

Прогноз: 148,24 ₽
Можно заработать: 64,96 ₽ (78%) 
Срок исполнения: 1 год"
2024-04-13T01:56:45.860+03:00,"Пятничные торги на российском рынке завершились с уверенным ростом. Индекс МосБиржи поднялся на 0,5%, достигнув отметки 3456,24 пункта. С начала месяца прирост составил 2,5%. Индекс РТС окреп на 0,3%, достигнув 1165,53 пункта. С начала месяца индикатор вырос на 3,7%.

Стоит отметить, что рублевый индекс закрылся на локальных максимумах выше 3450 пунктов, впервые с февраля 2022 года. Такой ""бычий"" настрой может сохраниться и на следующей неделе.

Котировки золота обновили исторический максимум, преодолев отметку $2400 за унцию. Основной причиной этого стал рост геополитической напряженности на Ближнем Востоке.

В лидерах по объему торгов на Московской бирже были акции Полюса {$PLZL} , которые выросли на 3,8%. Также выросли котировки золотодобытчиков ЮГК {$UGLD}  и Селигдара {$SELG} . В лидерах роста были акции Норникеля {$GMKN} , так как цены на палладий, платину, никель и другие металлы также выросли. Но уже после закрытия вышла новость, что США запретили импорт алюминия {$RUAL} , меди и никеля из России. Запрет не распространяется на металлы, произведенные до 13 апреля 2024 года. К санкциям присоединилась Великобритания.

Акции МФК ""Займер"" {$ZAYM} в рамках IPO были размещены по нижней границе ценового диапазона – 235 рублей за акцию. Таким образом, капитализация компании составила 23,5 млрд рублей. В ходе IPO было привлечено 3,5 млрд рублей. Доля акций в свободном обращении составила около 15%. Торги начались в 15:00 мск, и к вечеру бумаги компании остались на уровне 235 рублей.

МТС Банк {$MTSS}  объявил о намерении провести IPO. Листинг и начало торгов акциями на Московской бирже ожидаются в апреле 2024 года.

Инвестиционная компания ""Восток инвестиции"" выкупила у компании Baring Vostok около 28% акций маркетплейса Ozon {$OZON} .

Совет директоров Henderson {$HNFG}   рекомендовал выплатить дивиденды за первый квартал 2024 года в размере 30 рублей на акцию. Дивидендная доходность может составить около 4%. Акционеры проголосуют по вопросу дивидендов 17 мая.

Группа ""Аэрофлот"" {$AFLT} увеличила пассажиропоток на 21,7% в первом квартале 2024 года по сравнению с аналогичным периодом прошлого года. В марте количество перевезенных пассажиров выросло на 21,2%.

Снижение показали бумаги ""Мечела"" {$MTLR}  на фоне снижения экспортных цен на уголь.

Чистая прибыль ""Газпром нефти"" {$SIBN}  по РСБУ за 2023 год снизилась на 15,9% и составила 637,5 млрд рублей.

Российский рынок закрылся в ""зеленой зоне"" на фоне небольшой девальвации рубля и роста цен на нефть из-за геополитической напряженности. Привлекательность российского рынка акций остается высокой на фоне роста цен на сырьевые товары, особенно на нефть. Выплаты дивидендов также способствуют реинвестированию полученных доходов снова в фондовый рынок.

✅Подписывайтесь, будем торговать и учиться вместе, будет интересно 😊
Лайкаем👍, так я вижу, что вы прочитали, а значит есть для кого стараться
Помним, что карма все, что пожелаешь другому, возвращает вдвойне
#обучение #пульс_оцени #учу_в_пульсе #новичкам2023 #трейдинг #акции #новичкам
#расскажу_что_купить #прояви_себя_в_пульсе #хочу_в_дайджест"
2024-04-13T00:24:55.915+03:00,"#191деньдомиллиона 
Сегодня закончилась вторая неделя, план был заработать 165693,32₽ по факту портфель 177717,5₽ 
Хороший показатель стабильного заработала, идем опережая план, что служит страховкой от неудачных сделок. 
Сейчас на портфеле у мен остался только {$VKCO} , ждал пробоя от {$ROSN}, но видимо он случится чуть позже. 
К сожалению, {$SELG} на дневных хаях получилось продать только малую часть позиции, продолжаем наблюдать, пока золото падает, держать позицию не целесообразно.

ПРО идею:
Старт был 1 апреля с портфеля в 150000₽, задача дойти до миллиона за 191 день, именно столько оставалось рабочих дней до окончания года. Не мир, не призыв кЬый!?? Яго"
2024-04-12T23:31:35.537+03:00,{$SELG} против золота идет а вот это уже интересно
