time,text
2024-04-13T15:22:40.817+03:00,{$SFIN} бумага сфин говно является индивидуальной инвестиционной рекомендаций
2024-04-13T15:20:54.770+03:00,{$SFIN} бумага сфин полное говно
2024-04-13T14:04:32.362+03:00,"Обгонять индекс( {$TMOS}) становится все сложнее и сложнее. Не уверены, что будут крутые истории с супер доходностью, как с {$SFIN} в начале года. Плюс чаще будут появляться такие темы, как с золотом, когда никто не успел купить {$UGLD} или {$PLZL} Золото.

Как по нашему, так в целом рынок достаточно справедливо оценен, Банк России работает со своей высокой ключевой ставкой,  свежих денег нет, пока все растет на старых деньгах. Однако, разрыв между М2 и капитализацией все ещё остается достаточно серьезный, что оставляет надежды.

Безрисковая доходность - 16% — это статистически очень высоко и с 2000х было менее чем в 2% случаев. Доходность по длинным ОФЗ уже почти 14%!!! Опять же статистически средняя доходность инвестиций в недвижимость с 90х годов (рост стоимости+ арендный поток) порядка 12-13%. Получается, просто купить длинные ОФЗ прямо сейчас и ничего не делать может вам принести очень неплохую доходность на горизонте 10+ лет!!!!

Поэтому очень важно правильно подойти к системе вашего инвестирования. Она должна соответствовать ситуации и очень желательно не приносить вам головой боли и волнения.

Наше для вас предложение
1. Инвестировать только в истории, где дивидендная доходность будет больше 10-12%
2. Искать соотношение P/E меньше 5, в крайнем случае 6.
3. Не инвестировать в компании с большим долгом
4.. Больше внимания обращать на ликвидность, чтобы успеть выйти в случае проблемной ситуации 
5. Шлаки покупать не более чем на 10% от портфеля 
6. С энтузиазмом подхватывать резко упавшие истории роста типа Позитив и Астра
7. Очень внимательно смотреть на IPO, стараться участвовать в них на плечо, так как аллокации не блещут.

В качестве вывода - Всем удачи в инвестициях!!!

#пульс_оцени
#акции
#облигации
#рынок"
2024-04-13T13:41:45.482+03:00,"{$SFIN} собственно рост на внебирже, хороший показатель ,сильная бумага, руки слабые"
2024-04-13T13:04:05.401+03:00,"Мои мысли по {$WUSH} в рекомендациях тинька и раздувание ожиотажа как было с {$SFIN}, напоминает, это, посты мои удалили непонравилось, то что я называю компанию будущим банкротом, но это моё мнение, но удаляют все равно, прежде чем купить вуш или другую пропиаренную акцию, вспомните о судьбе денди, компьютерных клубов, электровелосипедов в Китае, электросамокатов в Париже, фишек с покемонами и сериала, спинеры, видеоигр на автоматах и бесконечный список надоевших игрушек людей👎 не иир, по {$ASTR} и {$POSI} понимаю почему могут расти, от пк и вычислительных мощностей не откажется человечество, а от электросамокатов... БЕЗ ПРОБЛЕМ👍"
2024-04-13T11:44:05.309+03:00,"Российский рынок акций открылся вверх на позитивном внешнем фоне, после чего продолжал умеренно повышаться, периодически обновляя максимумы с февраля 2022 г. Восходящая динамика индекса МосБиржи была неустойчивой, он испытал несколько заметных коррекционных откатов от достигнутых вершин, но сумел закрыться недалеко от них в неплохом плюсе.

Препятствием для более уверенного роста нашего рынка выступала очередная решительная попытка укрепления рубля после того, как на утренней сессии его курс испытал заметное снижение. Правда, итоговый плюс российской валюты был небольшим.

Дополнительным фактором, ослабляющим покупки акций, могла выступать традиционная для пятницы осторожность инвесторов из-за опасений реализации каких-либо рисков на выходных. Если этого не произойдет, а в понедельник ключевые внешние и внутренние рыночные условия будут хотя бы нейтральными, скорее всего, индекс МосБиржи продолжит подъем с ближайшей целью в районе психологически важного уровня 3500 п.

Объем торгов (78,5 млрд руб.) немного увеличился, что не свойственно пятнице. С другой стороны, в предыдущие две сессии показатель сокращался и уже был далек от высоких уровней. Тем не менее сигнал от торговых оборотов умеренно позитивный, поскольку рост индекса МосБиржи с обновлением многомесячных вершин сопровождается некоторым усилением активности инвесторов.

Акции золотодобытчиков ускорили рост и показали сегодня результат существенно лучше рынка во главе с бумагами ЮГК. Усилению восходящей динамики сектора способствовало резкое подорожание золота, которое в моменте прибавляло более 3%, в очередной раз обновив исторический максимум. Правда, к нашему закрытию почти весь дневной плюс был потерян, затем стоимость драгоценного металла и вовсе ушла в минус.

Бумаги Норникеля вернулись к умеренному подъему после двухдневной коррекции. Стоимость никеля и палладия остается на относительно высоком уровне, хотя и наблюдаются решительные коррекционные попытки. В целом позитивное влияние оказывает и недавно проведенный компанией сплит — теперь инвесторам с меньшим капиталом будет комфортнее вкладываться в бумаги Норникеля. Видим и спекулятивную составляющую в их росте. Ближайшая цель покупателей — 166 руб. Годовой таргет аналитиков БКС — 180 руб.

Акции ЭсЭфАй после шести сессий снижения сильно отскочили от нового месячного минимума. Правда, к закрытию более половины внушительных дневных достижений было потеряно. С конца 2023 г. бумаги подорожали более чем в четыре раза в ожидании IPO дочерней компании Европлан, состоявшегося в конце марта, а также погашения 55% акций ЭсЭфАй, которое одобрили на прошлой неделе акционеры. По факту этих событий многие инвесторы решили зафиксировать большую и относительно быструю прибыль от удержания бумаг компании.

Бумаги Henderson на старте сессии совершили рывок вверх, вновь переписав исторический максимум. Котировки находились в хорошем плюсе, но вскоре перешли к коррекционному снижению и закрылись с ощутимыми потерями. Совет директоров рекомендовал дивиденды за I квартал 2024 г. (по факту за 2023 г.) в размере 30 руб. на акцию. Текущая дивидендная доходность — 3,8%. Это выше ожиданий рынка и минимального прогноза компании в 25 руб. У нас «Позитивный» взгляд на бумаги Henderson: привлекательная оценка в 4,7x EV/EBITDA и 9,5x P/E на 2024 г. на фоне прогнозируемого роста продаж и прибыли, а также выплаты дивидендов.

Расписки Ozon продолжили снижаться и обновили минимум с конца марта. Сегодня компания сообщила, что инвестиционный холдинг «Восток Инвестиции» приобрел около 28% акций Ozon у Baring Vostok Private Equity Funds. О том, что такая сделка произойдет в рамках разделения российских и международных активов фонда, было объявлено еще в декабре 2022 г.

Рубль в начале торгов активно дешевел, но после старта основной сессии быстро восстановился. Правда, развить восходящее движение не удалось: рубль умеренно сдал позиции и закрылся в небольшом плюсе к бивалютной корзине.

{$OZON} {$UGLD} {$SFIN} {$GMKN} {$IMOEXF} {$PLZL}"
2024-04-13T11:15:15.229+03:00,{$SFIN} в понедельник полетит в космос )
2024-04-13T10:27:39.455+03:00,{$SFIN}
2024-04-13T10:20:01.051+03:00,{$SFIN} вниз пойдет?))
2024-04-13T02:35:39.004+03:00,"Ну что ж... Несмотря на глубокое падение {$SFIN} , меня удержало на плаву золото {$TGLD} . По итогу смог пройти в Железную лигу и буду пробовать дальше. Зачем? Потому что могу"
