time,text
2024-04-13T09:17:00.169+03:00,{$SFTL} привет что с оставшимися акциями кто нибудь знает.
2024-04-12T12:41:09.894+03:00,"{$SFTL} я так понимаю эту акцию можно вычёркивать из списка, бабки на ветер, а такие перспективы были,но всё испортили как всегда!"
2024-04-11T18:03:44.177+03:00,"❗️ГЛАВНЫЕ НОВОСТИ 🔥
•🇪🇺 ЕЦБ принял решение сохранить все 3 ключевые ставки на прежнем уровне. Базовая ставка по кредитам - 4,5%, по маржинальным кредитам - 4,75%, по депозитам - 4%.

•🇷🇺 ЦБ поддерживает предложение освободить от налога доход по длинным вкладам.

•🇷🇺 ЦБ хочет дестимулировать привлечение валютных вкладов, повысив страховые взносы.

•🇷🇺 Минфин предложил временно разрешить банкам больше инвестировать в капитал компаний, ЦБ категорически против этого.

•🇷🇺 Минфин не видит нужды менять лимит в 1$ млрд/мес для покупок валюты под сделки выхода нерезидентов.

•🇨🇳 #Китай примет меры для защиты своих компаний в связи с введением американских санкций.

•〽️ Инфляция в Китае приостановилась на фоне ускорения темпов роста цен в США.

•🟡 {$TCSG} #Тинькофф инвестиции запустили фьючерсы в #стратегии.

•✅ СД {$NLMK} рекомендовал #дивиденды за 2023 год в размере 25,43₽/акц.

•🎮 {$YNDX} открыл сбор заявок на тестирование сервиса Плюс Гейминг, позволяющего играть вне зависимости от производительности компьютера.

•➕ АКРА присвоило {$POSI} кредитный #рейтинг AA(RU) со стабильным прогнозом.

•🗓 ГОСА {$GAZP} пройдет 28 июня заочно, на повестке вопрос по дивидендам.

•⛽ {$EUTR} открывает внебиржевое окно реализации оферты о покупке акций для участников IPO.

•♻️ #SOFL объявил о завершении приема заявлений от инвесторов в рамках дополнительного обмена бумаг {$SFTL} на бумаги {$SOFL}

•📧 {$VKCO} запустила генеративный ИИ для всех пользователей Mail.ру

•🔵 Костин заявил, что финансовые показатели {$VTBR} в I квартале не уступают 2023 году.

•🚂 {$FESH} запустила регулярные отправки сборных грузов из Вьетнама в Россию через Владивосток.

•📈 #Акции {$RUAL} будут догонять растущую цену алюминия, аналитики прогнозируют рост котировок еще на 5-17%.

•💵 Cредний #курс покупки/продажи наличного доллара в банках Москвы на 16:00 составил 93,09/96,4 ₽. {$USDRUB}

🎓 СТАТЬ КВАЛОМ, БЕЗ ПРЕМИУМА И $:
https://www.tinkoff.ru/invest/social/profile/GMR/c764fa06-7c36-40e2-b043-3aa1f8c8d2c7

❗️СЦЕНАРИИ ПАДЕНИЯ РЫНКА:
https://www.tinkoff.ru/invest/social/profile/GMR/259ba5c8-395b-4fcc-aa48-9d313afa8201

🏆 БУДУЩИЕ ЛИДЕРЫ РЫНКА:
https://www.tinkoff.ru/invest/social/profile/GMR/1e5759bd-5d49-4441-a104-a439819f4678

❔О СТРАТЕГИЯХ И ПОДВОДНЫХ КАМНЯХ:
https://www.tinkoff.ru/invest/social/profile/GMR/f9f4aed7-e3a7-4b4c-92e9-71f5972791aa

🔥 СТРАТЕГИИ
🚀 [&Go RUB](https://www.tinkoff.ru/invest/strategies/059b9eb6-a7a9-4187-8a96-2ceedb86026c) - всё по плану. В начале 2022 предупреждал, что рынок РФ упадёт. Далее индекс мосбиржи рухнул -70% и тем кто меня не послушал надо с тех пор сделать более +200%, чтобы остаться в нуле. Сейчас есть акции с отличным потенциалом, а ослабление рубля идёт нам на пользу, также используем функционал плечевых деривативов на VIX или путовых опционов и прочих аналогов шортов индексов, когда введут. Описанное мной в статьях работает на низких объёмах капитала, за счёт соответствующей ликвидности, спредов, отсутствия комиссии и тд.

Всем добра, успеха и берегите нервы 🤗
#новости #трейдинг"
2024-04-11T11:44:34.628+03:00,"Новости первой половины дня 11.04.24

✅«Яндекс» тестирует сервис для облачного гейминга {$YNDX}

✅Softline завершил дополнительный обмен расписок Noventiq {$SOFL} {$SFTL}

✅Газпром нефть перевела на Astra Linux 85% сотрудников {$SIBN} {$ASTR}

✅ЕвроТранс открывает первое внебиржевое окно реализации Оферты о приобретении акций по фиксированной цене для участников IPO {$EUTR}

✅АКРА присвоило Positive Technologies кредитный рейтинг AA(RU) со стабильным прогнозом {$POSI}

✅Россия в марте 2024г стала вторым по объемам поставщиком СПГ в Испанию {$NVTK} {$GAZP}

✅Аэрофлот и КрасАвиа предложат пассажирам единый электронный билет {$AFLT}

✅Сбер расширил число городов, в которых можно заказать кредитные карты, платежные стикеры и дебетовые карты с индивидуальным дизайном через Сбербанк Онлайн {$SBER}

✅В российских магазинах почти не осталось рома Bacardi, водки Grey Goose и джина Bombay Sapphire. По данным РБК, компания Bacardi Limited полностью прекратила поставки этой продукции в страну.

✅«Яндекс» хочет установить «Яндекс Авто на китайские автомобили

✅За 1 кв 2024г цены в РФ выросли на 1,95%, годовая инфляция составила 7,72%

✅Число вакансий на рынке труда в РФ увеличилось за год на 44%

✅900 млн человек ежемесячно пользуются Telegram, из них 450 млн заходят в соцсеть ежедневно — Павел Дуров

✅МНЕНИЕ: Идеи в ОФЗ-ПД пока отсутствуют - Промсвязьбанк

✅Гендиректором МКПАО «Яндекс» назначен Артем Савиновский

✅Toncoin торгуется - $7,4.

✅Биткоин торгуется— $70 000. 

Отмечайтесь в комментариях если на фото ваш город!

Если было полезно, подписывайся на канал и оставляй реакцию!
#новости
#новичкам
#дивиденды
#акции_роста"
2024-04-11T10:34:03.803+03:00,"#новости 📰

{$YNDX} Яндекс сотрудничает с компаниями из КНР по вопросу интеграции «Яндекс Авто». Яндекс открыл сбор заявок на тестирование сервиса «Плюс Гейминг», позволяющего играть вне зависимости от производительности компьютера

{$MTLR} Экспортные цены на российский уголь снизились до минимума почти за 3 года. Это может привести к падению объемов вывоза топлива на 10–15%. Нынешние цены делают экспорт российского угля нерентабельным

Роскосмос назвал дату третьей попытки запуска «Ангары-А5»
Старт ракеты-носителя «Ангара-А5» с разгонным блоком «Орион» и испытательной полезной нагрузкой с площадки 1А намечается на 11 апреля в 12:00:00 по московскому времени

{$SOFL} завершает допоферту по обмену бумаг, обменено 624 тыс. {$SFTL} GDR Noventiq на 208 тыс. акций российской компании

📍Основные события сегодня:

СД {$HNFG} решит по дивидендам

💵 Курс доллара - 93,9₽
{$USDRUB}
____________
Жми лайк🚀если и дальше нужны новости или пиши в комментах, чтоб я не тратила на это своё время)
✅Подпишись на Профиль - получай первым прогнозы и идеи на трендовые акции РФ🇷🇺

#инвестиции #акции #идея #обзор #трейдинг #прояви_себя_в_пульсе #аналитика #пульс_оцени"
2024-04-11T09:30:56.363+03:00,"🔔 Дополнительный этап обмена ГДР Noventiq {$SFTL} на акции Софтлайн {$SOFL} завершен!

9 апреля завершился прием заявок владельцев ГДР Noventiq, которые обращались на Мосбирже, на акции Софтлайн. Напоминаем, что это был дополнительный этап обмена, который наш акционер открыл специально для тех инвесторов Noventiq в России, которые забыли или не успели обменять свои расписки осенью, но все еще желали это сделать. 

🔹 Рассказываем о результатах: суммарно было обменяно свыше 624 тысячи ГДР Noventiq, права на которые учитываются в НРД, на более чем 208 тысяч акций Софтлайн. 

Подробнее в релизе: https://softline.ru/about/news/pao-softlayn-obyavlyaet-o-zavershenii-dopolnitelnogo-etapa-obmena-gdr-noventiq-prava-na-kotorye-uchityvayutsya-v-nrd-na-akcii-pao-softlajn?utm_source=Telegram&utm_medium=Softline 

🔍 Как мы и говорили, реализация дополнительного этапа обмена способствовала увеличению доли акций Софтлайн в свободном обращении — это плюс для наших нынешних и новых акционеров, поскольку увеличение free-float способствует росту ликвидности акции и, как следствие, поможет попаданию в различные индексы, а также первый котировальный список.   

«Мы рады приветствовать новых акционеров ПАО «Софтлайн» и с радостью разделим с ними наш путь к достижению очередных рекордов как по фундаментальным показателям нашего бизнеса, так и по увеличению его стоимости на рынке», — прокомментировала Александра Мельникова, наш IR-директор.

😊 А мы и правда очень рады! :) 

#softline #софтлайн #sofl #sftl"
2024-04-10T19:45:28.061+03:00,"{$SFTL} приветствую. Подскажите, кто-нибудь получил акции на обмен, и появилась ли возможность у вас из продать сегодня?"
2024-04-10T14:37:42.347+03:00,"{$SFTL} Поменять бумагу 3 к 1 это дешевле чем продать сейчас. Бесплатно забирайте что уж там говорить. Обнуляй до конца Тиньков.
Менять не буду на таких условиях."
2024-04-09T11:56:04.541+03:00,"{$SFTL} Привет завтра в течении сессии будут производить обмен заявленных расписок ГДР три шт. на одну акцию софлайн, на счёте надо иметь 3.962руб. за каждую акциюсофлан."
2024-04-08T19:34:19.038+03:00,"{$SFTL} Сегодня крайний день подачи заявки ГДР на обмен #SFTL ? Или же продать их ? Есть такие , кто не решился еще? Много таких, кто собрался держать ГДР до конца😃? У кого какие планы 🧐?"
