time,text
2024-04-13T16:04:18.559+03:00,{$SGZH} ну ёпта... Что за улитка.
2024-04-13T12:15:53.919+03:00,"{$SGZH}

Нашел интересное видео, как мужик гранулы делает или пеллеты. Использовать пеллеты можно как в кошачьих наполнителях, так и как топливо. Народ их покупает.
Что называется безотходное производство."
2024-04-13T12:03:38.246+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

Источник: Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #прогноз"
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T02:22:00.705+03:00,"{$SGZH} ууу... Крипта свалилась, плохой знак.. оч плохой 🚸 Опять хомяки как кегли разлетятся в понедельник 🤠"
2024-04-12T23:07:59.437+03:00,"Внимание, друзья! У вас есть уникальная возможность выиграть до 1000₽ в рамках розыгрыша акции от пульса Тинькофф Инвестиции! Примите участие и получите шанс на приятный бонус для вашего портфеля инвестиций. В рамках розыгрыша будут разыгрываться акции таких крупных компаний, как {$IRAO} {$VTBR} {$VKCO} {$SGZH} {$CBOM} {$AFLT} {$WUSH} {$VKCO} {$PIKK} {$QIWI} {$APTK}
Для участия в конкурсе, необходимо подписаться на мой профиль, поставить лайк и рассказать в коментариях о своей самой удачной сделке в инвестициях до 30 мая.
Акция из списка в подарок и победители будут выбраны  с помощью рандомайзера, а результаты розыгрыша вы сможете увидеть на моём YouTube канале.
Не упустите свой шанс на дополнительный доход и присоединяйтесь к акции уже сейчас
Итоги будут объявлены 01.06.2024 в 19:00 по московскому времени.
Победитель получит приз в течении 7 дней после подведения итогов.
#конкурс #Розыгрыш #акции"
2024-04-12T19:49:28.021+03:00,"{$SGZH} Кто в шорте, вы в своём уме?"
2024-04-12T19:34:43.568+03:00,"{$SGZH} Опа, мамка Озона 28% продала…)"
2024-04-12T19:26:47.633+03:00,{$SGZH} конец сессии близко  закрываем шорт иди лонг?
2024-04-12T19:17:49.673+03:00,"🪓 Segezha Group {$SGZH} - компания, выигрывающая от девальвации рубля. Однако в 2023 году она зафиксировала убыток в размере 16 млрд рублей. Уже обсуждаются планы по дополнительной эмиссии акций, включая вопросы ценообразования. 

⚠️ Большая часть оборудования компании импортирована из недружественных стран, что создаёт проблемы с поставками технологий из-за санкций. Кроме того, санкции США повлияли на рынки экспорта, где ранее присутствовала Segezha Group. Компания имеет высокую долговую нагрузку, которая продолжает расти. 

🧐 Если АФК Система решит изъять дивиденды, это может серьёзно ударить по бизнесу компании. Несмотря на хорошую ресурсную базу, текущие условия делают покупку акций Segezha Group нецелесообразной.

------------------------------------------------------

С Вас 👍 и подписка. А с нас уникальный контент (все своими словами) 😉 на постоянной основе.

↪️Информацию о стратегиях можете посмотреть в профиле.
💼Мы попытались создать полностью разносторонние стратегии, подходящие для каждого типа инвесторов.
🤔Главное: выбрать для себя оптимальную стратегию.

#Segezha #sgzh"
