time,text
2024-04-13T14:38:42.174+03:00,"КОНФЕРЕНЦИЯ PROFIT

Очень интересная программа, супер спикеры, хорошая площадка и организация. Спасибо большое за приглашение @Malishok___NZT_GIF_PROFIT

Инвестиционные идеи, которые для себя записала: 
•Лукойл {$LKOH}
•Самолет {$SMLT}
•АФК СИСТЕМА {$AFKS}
•Озон {$OZON}
•IT компании из корпоративного рынка и их новые IPO

Про завершающий буллит напомню про наш классный выпуск по ссылке: https://m.youtube.com/watch?si=h-hklTimUuYLOC3P&v=27edsIoOwkY&feature=youtu.be

#инвестидеи #profitconf"
2024-04-13T12:03:38.246+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

Источник: Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #прогноз"
2024-04-13T02:23:08.893+03:00,{$SMLT}
2024-04-13T00:52:04.661+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из индекса мосбиржи:

📈 Озон -1.2% {$OZON} 
Аэрофлот -1.0% {$AFLT}  
Мечел -1.0% {$MTLR} 
Газпром -0.9% {$GAZP} 
Тиньк -0.7% {$TCSG} 
Самолет -0.6% {$SMLT}  
РусАгро -0.6% {$AGRO}  
ИнтерРАО -0.6% {$IRAO} 
СовкомФлот -0.5% {$FLOT}  
Мтс -0.4% {$MTSS}  
Юнипро -0.4% {$UPRO}  
Мосэнерго -0.3% {$MSNG}   
Ммк -0.3% {$MAGN}  


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T23:07:30.400+03:00,"Итоги недели с дедом📈👴🏻
За последнюю неделю портфель прибавил всего на 1,5 % против 1,76 % индекса московской биржи. Отставание не критичное, но если смотреть по бумагам, то за исключением считанных историй компании показали около нулевую динамику

🟡Фаворит портфеля - золотодобытчики. Именно за счет спекуляции в {$LNZLP} Лензолото-преф удалось зафиксировать за неделю +3% к позиции, безудержно рос {$UGLD} ЮГК аж на 17 %, {$PLZL} Полюс в моменте рос на 9 %. Именно за счет удачной ребалансировки портфеля в сторону увеличения доли золотодобытчиков и удалось сохранить растущую динамику на этой неделе

✈️Еще одна ставка на апрель - хороший отчет {$SMLT} Самолета. Что важно знать о Самолете?
• Активно расширяют бизнес в регионы, Новосибирская область, Ростовская, Забайкальский край и многие другие регионы, в которых менеджмент компании видит точку роста бизнеса
• Разработали собственное ПО для строителей ""Самолет 10D""
• Купили собственный банк
На самом деле именно стратегически хороших новостей много выходит у компании, собственно поэтому я держу акции перед отчетом и ожидаю хороших результатов по итогам 2023 года

📌Также увеличиваю долю в {$LEAS} Европлане. Планирую, что после IPO прошло достаточно времени, чтоб спекулянты нарезвились и вышли из бумаги. Теперь жду роста перед отчетом, который согласно календарю в Тинькофф должен выйти 30 апреля (календарь может барахлить, как в случае с отчетом Совкомбанка, будьте аккуратны, планируйте правильно свои отчеты)

📈По итогу пятницы индекс ММВБ показал силу, закрывшись в плюсе, что может послужить хорошим драйвером к росту на следующей неделе, вопреки моему ожиданию небольшой коррекции(

#пульс_оцени #новичкам2023 #трейдинг #акции #новичкам
#расскажу_что_купить #прояви_себя_в_пульсе #хочу_в_дайджест
Лайк👍 Подписка📜 Пишите, какие акции держите в своих портфелях и думаете ли покупать по текущим ценам золото, жду вас в комментариях🧐👇"
2024-04-12T23:00:42.510+03:00,"{$SMLT} Инвестиции это в первую очередь - колективный ум! 

В нужном моменте покупают многи, плиты на продажу стоят в нужный момент и т.д. - и это не манипуляции как некоторые называют, а просто инвестиции (все происходит как оно и должно быть)

Но многие не должны знать как должно быть) только для определенных лиц с большим капиталом (все покупается за деньги) 

Или это просто маразм? как думаете?"
2024-04-12T22:57:06.995+03:00,{$SMLT} Шортистов собирают
2024-04-12T22:52:09.848+03:00,{$SMLT} В моменте памп потомучто многие взяли в шорт и поставили стопы?
2024-04-12T22:39:29.475+03:00,{$SMLT} почему падаем?
2024-04-12T22:29:03.912+03:00,"{$SMLT} все логично! Падаем как нужно! 
Есть все основания на падения! 

Инвестиции это круто🔥"
