time,text
2024-04-13T15:09:34.120+03:00,"Анализ Сургута АО {$SNGS}

Сургут обычка в течении новой недели имеет шанс на начало движения в коридор цен 34 - 34,5 руб., в районе которого установлены дневные максимумы октября прошлого года. 

Технически на это указывает наличие конструкции «Треугольник» и закрепление над линией часового индикатора по итогу торгов пятницы.

Перекупленности нет, объемы остаются высокими, поэтому более логичен рост в течение следующей недели. Не иир. Хорошего вам дня!)
❤️В профиле дал список акций с потенциалом роста 50%. Подпишись"
2024-04-13T14:07:40.683+03:00,"Всем привет!
Продолжаю рассказывать про свою стратегию [&Fox strategy](https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254) .
За прошедшую неделю доходность стратегии составила +0,42%, а общая доходность почти за 3 месяца +12,52%. Эта неделя оказалась не богатой на доход, но с учётом того, что в целом по рынку наблюдали разнонаправленное движение по бумагам, диверсификация портфеля стратегии помогла избежать просадок и позволила немного заработать. Общая же доходность соответствует целям на год – 30-50%, без резких взлётов и падений с ориентацией на плавный рост.
Сегодня расскажу ещё про одну компанию, акции которой я держу в портфеле.
Акции компании Интер РАО ЕЭС {$IRAO} .
Как и акции компаний, о которых рассказывал в предыдущих постах, акции Интер РАО ЕЭС покупал в преддверии отчёта, а так же возможного объявления дивидендов, плюс докупал уже по факту, после объявления дивидендов. Напомню, что они составят 0,326р. на одну акцию, а доходность составит 7,65%, дата покупки для получения – до 31 мая. На сегодняшний день доля данных акций в портфеле стратегии составляет – 32,17%, а доходность +2,77%. Доход пока небольшой, несмотря на внушительную долю в портфеле, однако вижу хорошие перспективы для роста в течение ближайшего времени. К примеру аналогичная ситуация была в портфеле с обыкновенными акциями Сургутнефтегаз {$SNGS} , однако за две недели акции показали рост +5,32%, что было вполне ожидаемо и о чём я и писал.
Так же на прошедшей недели немного уменьшил позицию по акциям компании Московская Биржа {$MOEX} , зафиксировал прибыль +8,37%, средства от продажи пошли на покупку акций компании, о которой я расскажу в следующем посте.
Портфель стратегии:
Интер РАО ЕЭС: Доля – 32,17%, доход + 2,77%;
Московская Биржа: Доля – 20,46%, доход + 6,43%;
Сургутнефтегаз: Доля – 13,95%, доход + 8,71%;
Сбербанк {$SBER} : Доля – 13,46%, доход + 10,56%;
Северсталь {$CHMF} : Доля – 8,14%, доход + 15,57%;
ВИМ – Ликвидность {$LQDT} : Доля – 1,48%, доход + 0,46%;
Компания, о которой расскажу в следующем посте: Доля – 10,13%, доход + 1,29%;
Спасибо всем, кто дочитал до конца, всем удачи и зелёных портфелей!!!
Ознакомиться со стратегией, пока она находится в закрытом режиме, можно по ссылке https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254/
Не является ИИР!"
2024-04-13T14:03:18.572+03:00,"Яндекс {$YNDX}  с конца мая находится в состоянии боковой коррекции. В тоже время неудачная попытка пробоя линии дневной скользящей и последующее движение над ней, а также формирование 5-ти дневной конструкции ""Треугольник"", указывают на возможность возобновления восходящего тренда с обновлением дневных максимумов.

По итогу пятницы котировки формируют концентрацию над часовым индикатором что способствует началу реализации конструкции в течении торгов новой сессии.

Ближайшей целью выступит коридор цен 4100 - 4150 руб., дальней целью - цена 4300 руб.


Сбербанк {$SBER}  не смог закрыть торги выше цены 308 руб., что на фоне негативного сочетания крайних двух дневных свечей, а также игнорирования линии часового индикатора, будет способствовать снижению в понедельник к цене 305,5 руб., около которой проходит восходящая линия поддержки, параллельно являющаяся линией шеи в потенциальной конструкции ""Голова и плечи"".

Как уже было описано во вчерашнем посте с разбором Сбербанк, при негативном варианте с реализацией данной конструкции, котировки рискуют снизиться к цене 301,5 руб., около которой проходит дневной уровень поддержки.


Сургут обычка {$SNGS}  в течении новой недели имеет шанс на начало движения в коридор цен 34 - 34,5 руб., в районе которого установлены дневные максимумы октября прошлого года. 

Технически на это указывает наличие конструкции ""Треугольник"" и закрепление над линией часового индикатора по итогу торгов пятницы.


ГАЗПРОМ {$GAZP}  вторую неделю торгуется около своих ближайших дневных максимумов. В результате чего котировки формируют конструкцию ""Восходящий треугольник"". 

Текущее формирование часовой концентрации около верхней линии конструкции способствуют её дальнейшей реализации в результате чего котировки могут отрасти к дневному уровню сопротивления, который проходит около цены 169 руб. 

Аэрофлот {$AFLT}  смог обновить свои прошлые дневные максимумы. В тоже время сессию котировки закрывают коррекцией в результате которой произошло новое закрепление под линией часового индикатора.

Технически картинка вновь способствует снижению, где ближайшей целью выступит восходящая линия тренда, которая в моменте проходит около цены 49,7 руб.

Индекс #imoex продолжил торговлю около верхней границы дневного торгового коридора. Я думаю что при отсутствии дополнительного позитива, российский рынок в течении новой недели перейдёт к фазе коррекции нижней границей которой может выступить цена 3400 руб.

Закрытие текущей вечерней сессии под линией часового индикатора увеличит шансы на описанный выше сценарий.

Источник: Тех. Анализ

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #теханализ"
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T12:25:36.518+03:00,"🔥Торговая неделя закончилась, а значит пришло время подвести итоги [&Портфель акций роста](https://www.tinkoff.ru/invest/strategies/ca502e58-0d44-418a-be06-5369c5e5bab4). По итогам недели доходность стратегии составила 0,32 %, выглядит не очень особенно по сравнению с предыдущей неделей. Но напомню, что внутри стратегии в основном средне- и долгосрочные идеи. А рынок цикличен и за снижением всегда последует рост.

💸На этой неделе закрыли сделки:
• {$VTBR} - пока что закрыли, при подтверждении восходящего тренда возможно вернусь в позицию;
• {$SBMX} - как говорил ранее, не собирался долго сидеть в позиции, закрыл с целью высвобождения кэша;
• {$AQUA} - дополнительно открывал спекулятивную позицию, цена ушла в противоположную сторону, сработал стоп-лосс. 
📈Были открыты позиции по: {$ASTR}, {$FESH}, {$UPRO}, {$HYDR}.
🚀Наибольшую доходность в портфеле обеспечивают: {$GLTR}, {$SNGS}, {$ENPG}.
☝️В отрицательной зоне пока что: {$MTLR}, {$ASTR}, {$UPRO}.

🔥Основа портфеля это акции со средне- и долгосрочными целями, поэтому большую часть роста они ещё покажут. А небольшие застои в росте стратегии это отличное время для пополнения стратегии, либо входа в неё.
#стратегия"
2024-04-13T10:54:31.823+03:00,"{$SNGS}
Намёк понял"
2024-04-13T10:42:27.015+03:00,"‼️Чуток пополнил баланс, все что не идет в конкретные позиции, пока будет аккумулироваться в {$LQDT} 

А вы не забыли про главный риск для Российского рынка в этом году ?

По многим инвест идеям тейки на покупку расставлены, с рынка не тороплюсь брать 😎🤞🏻

{$SVCB} - Раставил ступенчато тейки на покупку, на случай коррекции. Из банков выделяю. Но и про потенциальную частичную мобилизацию не забываю, в виде самого большого риска для нашего рынка🤞🏻

{$GLTR} - Также дешевая по мультипликаторам компания, откуп запланировал лишь в случаи серьезного отката. На нашем рынке основной триггер роста это дивиденды потенциальные, но до них не скоро. И есть риск не выплаты Россиянам в связи с инфраструктурным поводом. 

{$FIVE} - Тут у меня на текущий момент самая крупная позиция. И самая уверенная в долгосрочном плане, даже с учетом потенциальной мобилизации. Внутренний рынок, продуктовый ритейл будет иметь спрос даже в самые сложные периоды. И триггер к росту в виде огромного потенциального дивиденда сохраняет апсайд😎🤞🏻


{$AFKS} - Тут после фиксации большей части, оставил небольшую позицию. При прогреве ближайших ipo, допускаю полную фиксацию😎

{$SNGS} - С учетом всех рисков с мобилизацией, девальвацией рубля во второй части года. На мой взгляд это одна из лучших инвест идей. Расставлены тейки на покупку, но допускаю что рынок может не дать купить сильно ниже. Несколько раз продавал спекулятивно, и пока нет позиции 😎🤞🏻

{$ETLN} - Из застройщиков конечно же Эталон, самый быстро растущий застройщик страны. Есть позиция небольшая, Добор ступенчатый, лишь при коррекции 😎🤞🏻

⁉️И вы мне расскажите коллеги, в какую инвести идею больше всего верите сейчас, что должно вырасти больше всего до осени этого года ?😎🤞🏻


‼️Если прочли до конца, просьба поддержать своим душевным и добрым лайком заряженным на взаимный успех❤️🤞🏻🤞🏻🤞🏻


#новичкам #пульс #инвестиции #акции #валюта #доллар #рубль #идеи #идея #россия"
2024-04-13T08:40:58.310+03:00,"{$SNGS} в понедельник будет опять 31,8+++ с утра и опять всё очевидно что надо делать) 
Самое время вспомнить старое... Деньги ковбоев обречены"
2024-04-13T08:21:20.056+03:00,"{$SNGSP} префоводы думают, что жизнь удалась... Но склад уже в планах СЭС на посещение 😂😂😂😂
Умный кот в этой ситуации переехал бы домой к хозяину склада))) да да, в очередной раз напоминаю, что хозяева сургута владеют им благодаря обычке {$SNGS}"
2024-04-13T07:34:33.843+03:00,"{$SNGS} скулеж на ветке совсем не в тему. Все замечательно. Закуп до сих пор устоял, в отличие от прошлых недель.. Картинку 1 февраля посмотрите..
Но вы скулите, скулите.. Карта слезу любит 😎"
