time,text
2024-04-13T14:29:14.110+03:00,"“Я только что проснулся и понял, что меня ночью ликвидировало.

У меня было лонг 3х на PEPE. (абсолютно адекватное и небольшое плечо)

Я потерял все, что у меня было.

У меня нет даже 1000 долларов на банковском счету, но был миллион долларов на Бинансе.

Я в крипто с 2017 года. 

Сегодня я потерял все.”

PS: все еще верите что крепта сделает вас богатыми? У меня для вас дурные новости.

{$COIN} {$MSTR} {$SPBE}"
2024-04-13T14:05:43.281+03:00,"{$SPBE} 🤩Вчера, когда цена была на уровне 97.30, я сообщил всем, что кто-то разгружал свою позицию, подарив возможность другим, купить эти акции ещё дешевле!!!
🌟🌟🌟
С того момента цена выросла на +3.49% 🤑!!! 
🌟🌟🌟
Поздравляю всех, кто смог на этом заработать 🥇!!! 

🌟🌟🌟
#пульс #учу_в_пульсе #новичкам #прояви_себя_в_пульсе #аналитика #инвестиции #акции #новости"
2024-04-13T13:26:33.792+03:00,"Торгующим фьючерсами {$IMOEXF} {$TIM4} и другими через {$TCSG} последнюю неделю необходимо быть более внимательными по расчетам ГО (гарантированного обеспечения) и списаниям в связи с НЕКОРРЕКТНЫМИ расчетами как всегда в пользу брокера комиссий за ЯКОБЫ непокрытую позицию. 

Поясню. Заявки на покупку или продажу (в шорт) фьючерсов автоматически увеличивают на брокерском счёте сумму замороженных средств под ГО. Но после того, как торги закрываются и заявка не исполняется (цена не дошла до необходимого уровня), излишне замороженные суммы ГО не размораживаются. И брокер, уже прославившийся своей ""бесшовностью"" и информационной нечистоплотностью в тандеме с {$SPBE} , радостно списывает комиссию за якобы непокрытую позицию. 

С кого 40 рублей, с кого 80, с кого - поболее. ГО корректируется к очередному клирингу и те, кого система обманула вчера вечером, могут прямо сейчас проверить сумму замороженного ГО у себя на счетах. ;)

Поддержка традиционно отвечает ""сам дурак"", рассказывая, как клиринг влияет на размер клиtора в процессе клининга. Пока не ткнешь носом - тогда уже в диалог вступает вменяемый специалист, признающий очередной баг и косяк. Но признать ошибку - не всегда означает ее устранить и вернуть неправедно списанные деньги. 

И главное - Тинек, 2 мая уже ровно полгода будет, как мы можем на купленные за наши кровные деньги зарубежные акции только посмотреть!!! Вчера {$RIOT} и {$MARA} с другими криптоакциями опять ныряли, упав в два-три раза с февральских пиков. ЧТО ДЕЛАЕТСЯ ДЛЯ ВОЗВРАЩЕНИЯ НАШИХ АКТИВОВ?! Сколько времени вы ещё там будете ""вопросики изучать""?! Когда наконец то решите созданную вами и @SPBexchange проблему?!"
2024-04-13T13:05:42.279+03:00,"Для не конкурс
[&Краткосрочная торговля 2 и 3](https://www.tinkoff.ru/invest/strategies/ece8bd1e-e3b3-4bf3-b71b-4a3fcd5f80a1) 
Делаю ставку на {$SPBE} , тк проанализировав она щас поднимается с колен, за счет возврата денег до 100₽"
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T10:16:27.989+03:00,"{$SPBE} Друзья, биржа не палится перед OFAC с новой схемой работы по торговле ицб. Думаю, что в ближайшее время всё заработает, и мы откроем приложение инвестиций и там будут торги ицб. Ну и соответственно ракета 🚀  по самой бумаге в район 300₽. 
Будьте оптимистами)))))"
2024-04-13T09:40:27.409+03:00,"ТОП-12 акций, показавших максимальный рост🚀 и объем💪 за неделю с 8-12 апреля.
Рост золота обусловил лидерство золотодобытчиков🏆 Рост {$RNFT} остается  загадкой, и пока одни пытаются выяснить причины, другие зарабатывают на этом росте💸

Топ 6: Рост				            Топ 6: Объем*	
{$UGLD}	17,7	                          	{$RNFT}	13,4
{$ENPG}	11,9	                          	{$SBER}	7,0
{$RUAL}	11,2	                          	{$PLZL}	6,1
{$SPBE}	9,8	                          		{$AFKS}	5,6
{$LSRG}	9,4	                          		{$GMKN} 5,4
{$PLZL}	9,0	                          		{$LKOH}	4,4
* среднедневной оборот, млрд. руб.

#пульс_оцени
#ТОП12"
2024-04-13T09:36:40.301+03:00,"{$SPBE} Какая разблокировка?  Все уже давно всё поняли с 1 февраля и СПБ биржа и СПб банк все под санкциями и ближайшие 5-6 лет никто ничего нам не разблокирует . И никто и Тинькофф в том числе никогда в этом вам не признается. Не будьте наивными!Вот те кто в Финаме акциями торгуют напрямую у них у всех доступ есть, они ничего не почувствовали."
2024-04-13T09:26:53.767+03:00,"{$SPBE} публикация ниже ⬇️ Требует разъяснения по поводу разблокировки активов. Получил ответ, но всеравно задаёт тот же вопрос. Как телефонный пранк (когда в квартире будет тепло? Это до каких пор издевательство то будет?) можете послушать 😂"
2024-04-13T08:12:42.817+03:00,"{$SPBE} @Tinkoff_Investments - какие новости от СПб биржи о заблокированных активах инвесторов?
Где реализация стратегии?
Где ответ от OFAC?
Сколько ещё месяцев/лет ваши клиенты будут в неопределенности??"
