time,text
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T10:43:49.274+03:00,{$SVAV} что опять случилось? Почему биржа закрылась?
2024-04-13T10:08:36.261+03:00,"{$SVAV} 


Помойка"
2024-04-13T00:41:58.937+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из 2-3 эшелона:

📈 Энергия ркк -5.3% {$RKKE} 
Всмпо -3.4% {$VSMO} 
Евротранс -2.7% {$EUTR} 
Делимобиль -2.3% {$DELI} 
Хендерсон -1.9% {$HNFG} 
Чмк -1.8% {$CHMK}  
Русснефть -1.4% {$RNFT}  
Эталон -1.3% {$ETLN} 
Новабев -1.1% {$BELU}  
Лср -1.1% {$LSRG} 
Фикспрайс -0.9% {$FIXP} 
Соллерс -0.7% {$SVAV}  
Куйбышев -0.6% {$KAZT} 


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T22:55:51.399+03:00,{$SVAV}🥴
2024-04-12T20:40:44.876+03:00,{$SVAV} бред полный 🤮
2024-04-12T20:35:06.964+03:00,"🇷🇺 НОВОСТИ И МНЕНИЯ ДНЯ 👇 

📌 {$OZON} 
Расписки Ozon оценены справедливо - Финам. По нашей оценке, целевая стоимость расписок OZON на горизонте 12 месяцев составляет 3 894 руб., потенциал роста 3%. Рейтинг «Держать». Для расчета целевой цены мы использовали оценку по мультипликаторам P/Sales и EV/Sales на 2024 г. относительно компаний-аналогов из сектора электронной коммерции.

📌 {$RASP} {$MTLR} 
•Время запредельно высоких цен на уголь ушло и повторение пиков 2022 года произойдет еще очень нескоро, если, конечно, не прилетит очередной «черный лебедь» — Александр Котов из Neft Research

•Экспорт угля становится нерентабельным из-за роста затрат на логистику, импортной пошлины со стороны Китая и курсовой экспортной пошлины, введенной властями РФ — Ъ

📌 {$CHMF} 
Северсталь подала ходатайство о мировом соглашении по делу металлургов — Интерфакс

📌 {$ALRS} 
Успешно состоялся первый проект АЛРОСА и Альфа-банка по выпуску цифровых финансовых активов (ЦФА), привязанных к продажам бриллиантов инвестиционного класса. 100% ЦФА выкуплены инвесторами до официального срока завершения эмиссии.

📌 {$NVTK} 
Операционные результаты Новатэка за 1К24 стали значительным позитивным сюрпризом: добыча высокорентабельных жидких углеводородов выросла на 12%. У нас позитивный взгляд на акции Новатэка, которые торгуются с P/E в 5.4x -  на 50% ниже долгосрочных средних. БКС

📌 {$SVAV} 
Ульяновский автомобильный завод (УАЗ, входит в группу ""Соллерс"") в январе-феврале 2024 года выпустил более 5,2 тыс. автомобилей, это на 65,8% больше, чем годом ранее, сообщила пресс-служба правительства Ульяновской области.

📌 {$LKOH} 
Цены на нефть остаются волатильными на фоне неспокойной макроэкономической обстановки, в то время как действия ОПЕК+ подтверждают намерение стран-участников поддерживать цены на нефть выше $70 за баррель. Наш взгляд на российских производителей нефти остается умеренно-позитивным. Нашим фаворитом в нефтегазовом секторе остается ЛУКОЙЛ с учетом дешевой оценки — 2,1x по EV/EBITDA 2024П против 5-летней средней 3,7x.
Атон

📌 {$UNAC} 
Комсомольский-на-Амуре авиационный завод им. Ю.А. Гагарина Объединенной авиастроительной корпорации (входит в Госкорпорацию Ростех) изготовил и передал Минобороны России первую в этом году партию новых многофункциональных истребителей Су-35С. 

📌 {$MTSS} 
Мы занимаем позитивную позицию по МТС на краткосрочную перспективу. По нашим оценкам на 2024П, МТС сейчас торгуется со справедливым мультипликатором EV/EBITDA 4,7x и может выплатить дивиденды в районе 36 рублей на акцию (доходность 12%) в июне-июле, что также может поддержать бумагу. Атон

📌 {$LENT} 
Лента пытается добиться изменения отпускных цен на товары нескольких крупных поставщиков под угрозой остановки закупок - Ъ

📌 {$HNFG} 
СД Henderson рекомендовал акционерам дивиденды за 1кв 2024г в размере 30руб/акция (ДД 3,9%), ГОСА - 17 мая, отсечка - 3 июня

💡 Смартлаб

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #news #акции"
2024-04-12T20:29:10.135+03:00,"Новости за сегодня:

{$PLZL}
{$UGLD}
Цена золота впервые в истории превысила $2400 за унцию

{$AFLT}
ГРУППА «АЭРОФЛОТ» В МАРТЕ УВЕЛИЧИЛА ПЕРЕВОЗКИ НА 21,2%, ДО 4 МЛН ПАССАЖИРОВ — КОМПАНИЯ

Минэкономразвития по итогам года ожидает рост числа турпоездок на 8,6%, до 84 млн, из них половина придется на летний туристический сезон — глава ведомства Максим Решетников

{$GAZP}
{$ROSN}
Объем китайско-российской торговли в январе-марте 2024г увеличился на 5,2% и достиг $56,68 млрд — Таможня КНР

{$SVAV}
УАЗ (входит в группу Соллерс) в янв-февр 2024г выпустил более 5,2 тыс авто (+65,8% г/г)

{$CHMF}
Северсталь подала ходатайство о мировом соглашении по «делу металлургов» — ИФ

Северсталь наращивает объемы производства электростали к уровню до введения санкций 
 
В марте 2024 года ЧерМК установил рекорд непрерывной разливки в одну серию на один промежуточный ковш на сортовой машине непрерывного литья заготовок — 179 часов. За этот период разлили 205 плавок или 25,5 тысяч тонн арматурного сортамента для строительной отрасли.

{$ALRS}
Генеральный директор Всемирного алмазного центра в Антверпене уходит в отставку на фоне санкций против России в отношении алмазов — Reuters

{$RASP}
{$MTLRP}
Добыча угля в РФ в 1кв2024 сохранилась примерно на уровне 2023, по экспорту есть небольшое снижение - замминистра энергетики
 
Покупатель бывших угольных активов Evraz «АВД-Капитал» приобрёл акции Распадской на 0,8 млрд руб."
2024-04-12T19:56:29.505+03:00,"🗞️ Новости дня:

🪨 Российские угольные компании стоят перед перспективой сокращения добычи в этом году из-за снижения цен этой весной до уровней апреля—мая 2021 года. Экспорт угля становится нерентабельным из-за роста затрат на логистику, импортной пошлины со стороны Китая и курсовой экспортной пошлины, введенной властями РФ. Компании надеются, что мировые цены на уголь укрепятся летом на фоне спроса на электроэнергию для кондиционирования — Ъ {$RASP} {$MTLR}

🛒 Лента пытается добиться изменения отпускных цен на товары нескольких крупных поставщиков под угрозой остановки закупок - Ъ {$LENT}

🏦 МТС Банк официального подтвердил проведение IPO. Разместит акции за счёт допэмиссии {$MTSS}

📑 Займер провёл IPO по нижней границе диапазона — 235 руб на акцию, капитализация — 23.5 млрд руб {$ZAYM}

🧴 СД HENDERSON: ДИВИДЕНДЫ 1КВ 2024Г = 30 РУБ/АКЦ
ВОСА - 17 мая
отсечка - 3 июня {$HNFG}

🔱 Цена золота впервые в истории превысила $2400 за унцию {$PLZL} {$UGLD}
#AFLT -1.43%

✈️ ГРУППА «АЭРОФЛОТ» В МАРТЕ УВЕЛИЧИЛА ПЕРЕВОЗКИ НА 21,2%, ДО 4 МЛН ПАССАЖИРОВ — КОМПАНИЯ {$AFLT}

🛢️ Объем китайско-российской торговли в январе-марте 2024г увеличился на 5,2% и достиг $56,68 млрд — Таможня КНР {$GAZP} {$ROSN}

🚗 УАЗ (входит в группу Соллерс) в янв-февр 2024г выпустил более 5,2 тыс авто (+65,8% г/г) {$SVAV}

🫗 Северсталь подала ходатайство о мировом соглашении по «делу металлургов» — ИФ {$CHMF} 

❗️В профиле рассказал о доходности 😏"
2024-04-12T19:30:14.562+03:00,"{$SVAV} вечер, время Солярки. Дивы точно будут, и первый намек - инфу по уазикам, уже пропустили."
