time,text
2024-04-13T15:55:14.376+03:00,"💳 Компания Займер {$ZAYM} провела IPO, которое многие считают неудачным. Размещение акций произошло практически незаметно, без резкого скачка цен на старте торгов. Однако, несмотря на общее негативное отношение к компании, данное IPO было оценено как успешное для долгосрочных инвесторов. Вопрос о том, сможет ли Займер повторить успех других компаний, таких как Совкомбанк {$SVCB} и ЮГК {$UGLD}, остается открытым.

------------------------------------------------------

С Вас 👍 и подписка. А с нас уникальный контент (все своими словами) 😉 на постоянной основе.

↪️Информацию о стратегиях можете посмотреть в профиле.
💼Мы попытались создать полностью разносторонние стратегии, подходящие для каждого типа инвесторов.
🤔Главное: выбрать для себя оптимальную стратегию.

#IPO #Займер #акции #инвестиции #бизнес #компания"
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T14:37:20.684+03:00,{$SVCB} брать или не стоит пока эту акцию? Что думаете?
2024-04-13T14:10:08.426+03:00,"Мои итоги последних IPO

Бум первичных размещений на Мосбирже набирает обороты. Объем привлеченных средств в ходе IPO в прошлом году составил более 40 млрд рублей. Как вы уже могли заметить, я остаюсь в тренде и много времени уделяю разборам бизнесов новичков на бирже. Сегодня хочу подвести промежуточные итоги, которых удалось добиться с подписчиками моего закрытого канала в Пульс @Vladimir_Litvinov_Plus

Итак, начну пожалуй с Астры {$ASTR}, которая в ходе первого дня торгов умудрилась сделать несколько планок и вырасти на 90%. С подписчиками зафиксировали более 60% профита, правда учитывая низкую аллокацию сумма оказалась небольшой. Котировки на текущий момент торгуются практически выше цены размещения на 85+%. 

Аналогичный трейд удалось сделать и на размещении Диасофта {$DIAS} Профит по закрытой позиции составил 40%. Уйдем недалеко от IT-сектора и обратимся к Делимобилю {$DELI} Мне импонирует компания, котировки которой торгуются выше цены размещения на 30+%. В IPO не участвовал, но активно разбирал компанию перед листингом. 

Далее у нас Henderson {$HNFG} и Евротранс {$EUTR} Несмотря на мою любовь к фэшн-ритейлеру, по позиции я получил единственный убыток, и то за счет необходимого ребаланса портфеля. Сейчас акции торгуются выше цены размещения на 12+%. А вот до Евротранса я так и не добрался. Котировки сейчас торгуются вблизи IPO, так что отсутствие трейда - тоже результат. 

Далее сразу комбо положительных сделок. С подписчиками отлично прокатились на IPO Совкомбанка {$SVCB} и Южуралзолото {$UGLD} Причем эти компании я продолжаю удерживать. Накопленной прибыли набежало безумные 50% и 90% соответственно. На это ушли считанные месяцы. 

По Европлану {$LEAS} результаты тоже считаю отличными. Всего за несколько минут удалось забрать 13% прибыли по спекулятивной части позиции, а вот инвестиционную продолжаю держать в плюс. Успешная реализация формализованных стратегий, позволяет нивелировать низкую аллокацию. Теперь еще жду предстоящие размещения МТС Банка и Элемента. 

❗️Аналогичных, а порой и лучших результатов, удается достичь подписчикам @Vladimir_Litvinov_Plus Мы не только «прожариваем» компании, но и готовим стратегию по работе в первый день торгов. Это позволяет кратно отбивать любые расходы на подписку на закрытый канал. Сразу при подключении, вы поймете насколько выгодно и полезно работать в команде. 

Всем хороших выходных!"
2024-04-13T13:41:53.392+03:00,{$SVCB} ракета 🚀🚀🚀 полетели
2024-04-13T12:53:14.967+03:00,"{$SVCB} а Че она на выходных двигается лучше чем в будни когда биржа открыта что за дичь
🦆"
2024-04-13T12:50:47.089+03:00,"{$SVCB} Мне нравится 🫶 этот банк и нравится, как они ведут работу. Их показатели лучше всего говорят об этом.
🟥Вчера в Пульсе было неприятное недразумение. Размножили копипастеры в Пульсе некорректную информацию, постили 11 апреля, а 12 апреля все ждали выход отчёта. Я ждала отчет за I квартал 2024 года, зная, что за 2023 отчет уже вышел и я с ним была знакома. Остальные не знаю что ждали, но ждали…. 
Отчета всё не было…, не было…. и бумагу тупо стали лить. Если кто новички и не знает, что такое «информационная манипуляция рынком», то это как раз это самое.
Совкомбанк вчера ответил на мои вопросы по дивам и отчету. 
🟩«@EleonoraGold Отчёт за первый квартал 2024 года планируем опубликовать во второй половине мая, приблизительно в то же время, когда это делают и другие банки.

Окончательная сумма дивидендов будет утверждена на годовом общем собрании акционеров (ГОСА), которое состоится в конце июня 2024 года. Предварительный ориентир размера дивидендов - 1.1 рубля на акцию.

Благодарим за внимание к нашей деятельности, будем рады ответить на ваши вопросы - задавайте их здесь на нашей странице».

🟨Какой вывод этой истории? Всю информацию надо проверять и уточнять у первоисточника; не поддаваться импульсивным эмоциям; не делать импульсивных действий под информационным влиянием.
А #Тинькофф_Пульс должны размещать только корректную информацию от своего имени и проверять размещаемую информацию многочисленных копипастеров, которые размножают непонятную дезу во вред инвесторам.
Всем удачи 🍀 и зелёных портфелей
Не ИИР"
2024-04-13T12:41:26.872+03:00,{$SVCB} выбили шортистов?
2024-04-13T12:27:17.969+03:00,"{$SVCB} , тут график от руки рисуют? С открытия торги закрыты были!"
2024-04-13T12:26:20.268+03:00,"{$SVCB} подошли к уровню поддержки, сейчас идет проверка на прочность восходящего тренда, если его удастся пробить, то увидим коррекцию к уровню 17,580
до 19,3 можно смело брать, минимальный лот 1000 шт. - 1930р.

Возникла идея создать отдельный портфель ЗА ДОНАТЫ, план такой:
1. Вы присылаете донаты, 
2. Я покупаю на них акции, 
3. Регулярно отчитываюсь по портфелю (что купил-продал, динамика роста, идеи)
Если идея не нравится - ставь лайк 👍"
