time,text
2023-06-08T10:26:45.340+03:00,"{$SVET} всем не Дают купить? Или только мне? 
Пора подумать о другом брокере."
2023-04-06T10:50:54.834+03:00,"{$SVET} 

Светофор отработал  выход из треугольника, пройдя вверх на высоту его основания, отложенную от точки пробития. Импульс сохраняется и есть вероятность, что после некоторой подзарядки дойдет уровня около 40р., что является границей конверта МА20 на дневном графике. 
Глобально, можно ожидать поход до уровня около 80.
#теханализ
#инвестиции"
2023-04-06T10:03:22.795+03:00,"{$SVET} @Startsmall 🚀 🔝
Вторая ступень пошла"
2023-03-12T15:34:03.712+03:00,"{$SVET}
не иир"
2023-03-08T12:35:03.321+03:00,{$SVET}
2023-02-21T17:24:33.073+03:00,{$SVET} @Tinkoff_Investments почему не могу добавить в избранное?
2023-02-17T17:48:30.337+03:00,{$SVET}
2023-02-16T17:24:46.141+03:00,{$SVET}
2023-02-14T06:06:53.852+03:00,{$SVET} оставим …
2023-02-13T21:41:26.254+03:00,"{$SVET} читайте внимательно пост ниже. Это не тот сфетофор о котором все думают. Уставной капитал у неё 24,8 млн всего"
2023-02-13T21:39:37.268+03:00,"{$SVET} АО «Светофор Групп»  является крупнейшим оператором образовательных услуг по подготовке водителей и имеет статус резидента Фонда Сколково за передовые разработки в области дистанционного обучения. 

Бренд «Светофор» представлен на рынке образовательных услуг с 1989 года. Компания предоставляет услуги по подготовке водителей транспортных средств всех категорий с использованием собственной федеральной сети учебных центров в РФ и новейшей технологичной IT платформе по дистанционному теоретическому обучению  - полностью интерактивной онлайн-системе обучения, учитывающей и анализирующей в режиме реального времени индивидуальные психофизиологические особенности пользователей. В компании проходят обучение порядка 9000 чел. в год (доля on-line 40%)."
2023-02-13T17:26:40.656+03:00,{$SVET} иксы неизбежны !!!
2023-02-13T16:15:56.422+03:00,{$SVET} закрытый клуб))))
2023-02-13T15:57:19.325+03:00,{$SVET} а как купить то)))
2023-02-13T15:23:26.320+03:00,{$SVET}
2023-02-13T14:07:33.327+03:00,{$SVET} @Startsmall not bad
2023-02-09T17:20:58.497+03:00,"{$LENT} что то тут совсем скучно. Давайте как {$KROT} уже порастём чуть чуть. 
В {$SVET} и то веселее, хотя магаз нищенский"
2023-02-03T18:52:41.871+03:00,{$SVET} дарова
2021-06-10T01:43:06.881+03:00,{$SVET} что то совсем некого ?? Тут живого ??
2021-06-08T15:35:17.364+03:00,{$SVET} тут есть вобще кто-нибудь ?))
2021-06-05T01:02:22.983+03:00,{$SVET} акция новичок ?
