time,text
2024-04-13T16:11:41.427+03:00,"#норка #норникель #норильский_никель
В ПОСТЕ МОИ МЫСЛИ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Обещанный обзор {$GMKN} и превращение его в ЛЕГЕНДАРНОГО ""ТИНОРОС"", то есть объединение норки + {$TCSG} + #росбанк
Гмк норникель добывает медь, палладий (1 место в мире 40% от мировой), никель (1 место в мире), платина (4 место в мире), золото, серебро, кобальт и другие цветные металлы, гигант на рынке мировом, САНКЦИИ поэтому так долго не вводят
ОТЧЁТ ЗА 2023 год к 2022 году
Добыча осталась на уровнях прошлых лет
Выручка выросла на 4%( в основном от девальвации рубля, акции норки хэдж от девальвации)
Операционная прибыль снизилась на 13% до 474 млрд
Чистая прибыль снизилась в 2 раза до. 210 млрд руб (долги компании в валюте, поэтому переоцены в сторону роста), но прибыль есть, это не убыток
Чистый долг 679 млрд руб
Рентабельность 48%, очень высокая!!!
ПЕРСПЕКТИВЫ: инвестиционная программа предусматривает увеличение добычи всех металлов более 25% к 2030 году, большие капексы в 2023 и 2024 предусматривают отдачу уже в 2025 году и далее
Покупка  ткс ИНТЕРРОСОМ предусматривает за собой ПРОДАЖУ драгоценных металлов через банк физикам и рост показателей, ТКС будут доить на дивы в скором времени для доходов ИНТЕРРОСА ПОТАНИНА, норникель занялся добычей лития и будет делать батареи для элетротранспорта совместно с РОСАТОМ,
литий тоже будет продавать в Китай и другие страны
МИНУСЫ: истёк срок соглашения мажоритарных акционеров ПОТАНИНА 37%  И ДЕРИПАСКИ 26.4%, поэтому дивиденды нестабильны, и врят ли будут в 2024 году, дальнейшее падение цен на металлы, САНКЦИИ не считаю минусом, а даже плюсом для компании
Объединение ТКС и НОРКИ считаю НЕВОЗМОЖНЫМ потому что ПОТАНИН не имеет контрольную долю акций, будет  просто доить на дивы тинек
Мой взляд на норникель позитивные,👍 цены на металлы на дне (платина, палладий) дальше только вверх на росте мировой инфляции🚀 докупаю норку на просадках, как и другие голубые фишки РФ {$NVTK} {$ROSN} {$TATN} {$SIBN} {$LKOH}  , санкции на норникель приведут к х2х3х4 на в цене на металлы, а сбыть такие ценные ресурсы не составляет проблем, тем более сейчас более 50% идёт уже в Азию👍 лайк, подписка, попадание в топ ленты #пульс"
2024-04-13T15:53:29.838+03:00,"✨Друзья! Уже совсем скоро состоится долгожданный розыгрыш акции Whoosh! 
🔥Но перед тем как победитель получит подарок, мы сразу запланируем подарок для следующего конкурса. 
💥Итак, на 3000 подписчиков мы можем разыграть: 

▫️Акцию ЛУКОЙЛ {$LKOH} 
▫️Акцию Татнефть {$TATN}
▫️Акцию Роснефть {$ROSN}
▫️Акцию Северсталь {$CHMF}

✨Путём голосования в комментариях мы выявим подарок для будущего конкурса. 

💥ПОНЕСЛАСЬ!"
2024-04-13T15:31:54.699+03:00,"Снова здрасьте! 
Брокерский счет составляет 1093398₽. Разница с прошлой неделей составляет +17000₽
Еженедельное пополнение на 7500₽
Также пришли дивиденды {$NVTK} 2028₽

Покупки на этой неделе:
•Новичок в моей команде {$SNGSP} 300 акций 20412₽ (понимаю что дороговато и еще не понятно будут ли дивиденды, но все мы ждем надеемся и верим. Размер дивов космический 18% прогнозируют, но взял я не только по этой причине, также ожидаю ослабление рубля к доллару. Как защитный актив от девальвации рубля+дивидендная история=welcome!!!

•{$NVTK} 2 акции 2575₽ (практически реинвестировал, то что получил с дивов. Добрал эту компанию до отметки в 50 акций и сей час эту историю временно ставлю на паузу. Жду хороших новостей и новых драйверов, либо нового дна🤪)

•{$TCSG} 3 акции 9394₽ ( докупаю по-немногу пока позиция в минусе)

•{$FLOT} 50 акций 6575₽ (вроде бы нашли они там иной путь транспортировки нефти: перегрузка с танкера на танкер в Омане. Думаю все будет впорядке и жду дивидендов)

•{$TATN} 3 акции 2130₽ (увеличиваю долю, а то менее 1% в портфеле)

•{$CHMF} 3 акции 5509₽ (С компанией все хорошо, дивиденды утверждены. Жду. Цены уже высокие)

•{$TGLD} 88 лотов 797₽ (смотрю цены на золото  и плачу🥺 вспомнил легендарную игру Warcraft 3 - «где работяги твердят нужно больше золота!», так что за мной не повторять😂)

Впервые поучаствовал в IPO {$ZAYM}  (из 20000₽ мне всего выделили 10 акций на сумму 2350₽🤷🏾 На данный момент небольшой минус)

Остаток свободного кеша 17687₽ вложу на следующей неделе!

#ИндексIMOEX к концу недели закрылся на отметке 3456 пунктов. Коррекцией и не пахнет. На следующей недели вероятно покорим отметку в 3500 пунктов. 

#BRENT на неделе цена на нефть превысила 92,5$ впервые с октября 2023 и 12 апреля 2024 закрылась на 2,17% ниже, 90,5$. Цены на нефть растут в ожидании перебоев с поставками на Ближнем Востоке.

#XAU золото продолжает обновлять исторические максимумы: $2423 за унцию. Но так же 12 апреля отскочила вниз и закрылась на отметке в $2343 (-3,41%).

#BTC с $70905 упал более чем на 7%, $66514.

#Антончик_инвестирует"
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T14:18:24.982+03:00,"Всем привет 👋
Хомяк потихоньку в деле, иду на перспективу, не спекулянт.
В дальнейшем планирую увеличивать уже имеющиеся по количеству позиции и добавить еще пару новых)
 Советам буду только рада.
Всем побольше капусты 🥬🥬🥬
{$LKOH} , {$CHMF} , {$TATN} , {$MAGN} , {$ASTR} , {$NVTK} , {$AGRO}, {$FLOT}, {$RU000A101QW2}"
2024-04-13T14:14:37.304+03:00,"❗️❗️Итоги недели и что ждать дальше❗️❗️

📌Предыдущий прогноз: https://www.tinkoff.ru/invest/social/profile/WavesOfTemptation/c61cc587-9e19-44b7-a9c2-10e8d34e244b/
📌Вчера не получилось написать, поэтому пишу сегодня
📌Решил данные посты выпускать в рубрике #итоги_недели_с_прогнозом

❗{$IMOEXF}❗️
🔹Предыдущий прогноз: https://www.tinkoff.ru/invest/social/profile/WavesOfTemptation/dac7877b-dfe0-42f2-b693-a0f12ee57442/
🔹Писал, что будет выход вверх он и случился, когда технари уже ждали коррекцию на 1385 и 1340. И в какой раз ВА дает более точные прогнозы 
🔹Цель 2 достигнута, что я прогнозировал еще в начале марта! 
🔹То, что закрепились над ней по факту ничего не значит. Если рассматривать со стороны ТА (который не работает), то это хорошо
🔹Дальше, в рамках моего текущего прогноза есть 2 варианта: 
     1) Или в скором времени может начаться достаточно продолжительная боковая коррекция (не на год, но недели на 2-3 возможно), которая будет ходить в диапазоне примерно между целями 1 и 2 будет 
     2) Или же дойдем до ближайшей бирюзовой области (минимальная цель пока что 1530), а только потом будет продолжительная боковая коррекция. Если это произойдет, то будет идеально
🔸В целом, пока все идет по основному прогнозу, корректировок пока не требуется, ждем дальнейшего развития событий. Заметьте, что я не втираю Вам какие-то статистические цифры или новости, но почему-то прогнозы пока, что остаются в силе 

❗️Нефтегазовый сектор❗️
📌{$SIBN}, {$ROSN}, {$TATN}
🔹Картинка по всем активам очень красивая
🔹Если кто любит делать взаимосвязи, то на этих активах и индекс Мосбиржи может неплохо стрельнуть. Но в большинстве случаев - это пальцем в небо!
🔸Ожидаю сильного роста в ближайшее время
📌$GAZP
🔹Напротив, есть намек на коррекцию, но, возможно, неглубокую, примерно до 162
🔸Наблюдаем, но хочется уже нормального роста 

❗️{$WUSH}❗️
🔹Есть подозрения, что перехая уже не будет и может неплохо улететь вниз
🔸Ищу возможность выйти с небольшим профитом или в безубыток, закрывать сейчас не хочу, минус совсем небольшой

❗️{$TCSG}❗️
🔸Скукота, пока продолжаем топтаться на месте, цели с прошлого раза не поменялись. Если цена пробьет 3130, то появится возможность на рост. Негативного сценария пока не вижу

❗️{$LENT}❗️
🔹Пойдет ли с текущего уровня вниз, вряд ли
🔹Нарисовался треугольник в 4 волне импульса, поэтому думаю будет перехай
🔹Насколько большой не знаю, возможно, просто обновит хай
🔸В скором времени будет коррекция в каком виде не знаю, но в целом этот актив вообще перестал быть интересен

📌Почему нет других графиков? Не вижу в этом смысла! Тем более, когда нет заинтересованности у аудитории. Собственно, поэтому сократил количество постов до 1-2 в неделю. Просто чтобы отслеживать правильность своих прогнозов
📌Пульсу нужно двигать своих подопечных, за полтора месяца я в этом точно убедился, когда в дайджестах и тд практически одни и те же люди
📌Можете не ставить лайки, не подписываться, мне уже как то все равно на это, даже отписываются, собственно также 

📌Тем, кто ставит лайки, все равно, спасибо! Понимаю, что хотя бы пару человек да читают эту писанину!

Хороших выходных!😊

#imoex
#волновой_анализ
#прояви_себя_в_пульсе
#хочу_в_дайджест
#пульс_оцени
#аналитика
#новичкам
#прогноз"
2024-04-13T13:56:50.375+03:00,"Всем солнечной субботы 🏝️

В рамках ежемесячных пополнений, закинул на счет 20 к рублей💰
Закупился дивидендными акциями:

{$SBER} 1 лот 
{$PHOR} 1 лот
{$TRNFP} 2 Лота 
{$ALRS} 3 Лота 
{$MAGN} 4 Лота 
{$ROSN} 2 Лота 
{$TATN} 1 лот

Хотел прикупить {$LKOH}, но сейчас он стоит дороговато. Буду набирать позицию после выплат дивидендов 📉

Считаю данные дивидендные компании топы нашего рынка, которые радуют хорошими выплатами. 
Также, сейчас металлурги возвращаются к выплатам. Думаю, ММК тоже может заявить о более высоких выплатах, чем его визави. 

🎯 Цель на 2024 год получить 40 к дивидендами💰

Ваше мнение по данным акциям?"
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-13T13:08:07.428+03:00,"✏️ Здравствуйте Уважаемые друзья! 🤝

1️⃣5️⃣ неделя марафона #марафон2024🏃‍♂️

📅Каждую неделю по 500 рублей на 4 счета
(акции, облигации, фонды, инвесткопилка).

🧰Пополнение: 2000 руб.
Всего: 30000 руб.
__________________________________________
1️⃣💰Брокерский (акции).
✅ Покупка Татнефть {$TATN} по 703,69 руб. В портфеле 3 шт. средняя 709,3 руб. 

💼Портфель:
🟢Роснефть {$ROSN} 66,08%
🟢Татнефть: 27,15%
🔴ВТБ {$VTBR} 6,04%
💵Валюта и Металлы: 0,73%

🗃️ Отрасли:
⛽️Энергетика: 93,22%
🏦Финансовый сектор: 6,04%
💵Валюта и Металлы: 0,73%

◽️Дивиденды: 30,77 руб.
◽️Остаток: 8,09 руб.
◽️Пополнение: 7500 руб.
🟢Итого: 7864,85 руб. +4,64%⬆️
__________________________________________
2️⃣💰Брокерский (фонды). 
✅Покупка: Тинькофф Локальные валютные облигации {$TLCB} 10 шт. по 10,92 руб. В портфеле 130 шт. средняя 10,69 руб.
✅ Покупка: Альфа-Капитал Управляемые Российские Акции {$AKME} 2 шт. по 190,86 руб.

✏️ В портфель добавлен фонд Альфа-Капитал Управляемые Российские Акции (AKME).

📌БПИФ «Альфа-Капитал Управляемые акции» – активно управляемый биржевой фонд, ориентированный на покупку акций компаний с хорошими фундаментальными показателями и оптимальным сочетанием риска и доходности.

◽️Управляющая компания: Альфа-Капитал 
◽️Номер регистрации: 4213
◽️Валюта фонда: RUB
◽️Формирование с 01.12.2020 до 11.12.2020 
◽️Пайщики на 29.12.2023: 69 272
◽️Биржа: Московская биржа
◽️Тикер: AKME
◽️ISIN: RU000A102E78

📌Инфраструктурные расходы.
◽️Вознаграждение: УК 1.5% 
◽️Вознаграждение депозитарию и др. 0.13% 
◽️Прочие расходы: 0.1%

📌Динамика ETF: прирост за месяц = 4,71% прирост за год = 82,94% прирост за три года = 68.37%

📌База расчета ETF: Стратегия активного управления акциями и депозитарными расписками российских компаний.

📌Дивиденды: Реинвестирование.

📌Топ-10 эмитентов.
◽️Лукойл: 9,48 % ◽️Яндекс: 9,45 % ◽️Сбербанк России: 9,43 % ◽️Озон Холдингс: 9,14 % ◽️АЛРОСА: 8,73 % ◽️Транснефть: 7,32 % ◽️ПАО Газпром Нефть: 6,94 % ◽️Татнефть: 5,94 % ◽️X5 Retail Group: 5,86 % ◽️НЛМК: 4,28 %

📌Отрасли.
◽️Нефтегазовая и топливная: 29,84 % ◽️Сырье и материалы: 20,19 % ◽️Потребительский сектор: 17,16 % ◽️Банки и финансовые компании: 13,31 % ◽️Прочее: 19,5 %

💼Портфель:
🟢Тинькофф Капитал: 78,69%
🟢ВИМ Инвестиции {$LQDT} 16,29%
🔴Альфа-Капитал: 4,86%
💵Валюта и Металлы: 0,16%

◽️Остаток: 12,19 руб.
◽️Пополнение: 7500 руб.
🟢Итого: 7845,86 руб. +4,41%⬆️
__________________________________________
3️⃣💰Брокерский (облигации).
✅ Покупка Лизинг трейд выпуск 3, {$RU000A1034X1} 1 шт. по 904,6 руб.

💼Портфель:
🔴Лизинг-Трейд: 49,51%
🔴Соби-Лизинг: 28,82%
🔴МСБ-Лизинг: 21,43%
💵Валюта и Металлы: 0,24%

🗃️Отрасли:
🏦Финансовый сектор: 99,76%
💵Валюта и Металлы: 0,24%

◽️Купонный доход: 111,41 руб. 
◽️Остаток: 18,27 руб.
◽️Пополнение: 7500 руб.
🟢Итого: 7597,21 руб. +1,28%⬆️
________________________________________
4️⃣💰Инвесткопилка.
💼 Вечный портфель TRUR 

◽️Пополнение: 7500 руб.
🟢Итого: 7911,67 руб. +5,2%⬆️
________________________________________
🧰Общий результат по всем портфелям: 
☑️Пополнение: 30000 руб.
🟢Итого: 31219,59 руб. +3,91%⬆️
📑Купоны: 111,41 руб.
💰Дивиденды: 30,77 руб.
________________________________________

📌 В период 8-12 апреля индекс МосБиржи вырос на 1,8% и составил 3456,24 пункта, индекс РТС прибавил 0,8% и достиг 1165,53 пункта на фоне роста доллара до 93,42 руб./$1 (+0,92 рубля) и просевшей нефти Brent до $90,92 за баррель (-0,2%).

📌В период 8-12 апреля среди акций, входящих в листинг 1-го и 2-го уровней Мосбиржи, лучше рынка выглядели акции «ТГК-14» (+22%), ПАО «Южуралзолото» (+18%), «Русала» (+14%); хуже рынка оказались бумаги SFI (-8%), ГК «Астра» (-6%), ПАО «Артген» (-5%).

📌Золото пробило очередной исторический максимум $2400.

📌ЦБ и Минфин поддержали идею освободить от НДФЛ дивиденды, поступающие на ИИС.

📌США и Великобритания ввели запрет на импорт алюминия, меди и никеля из России.

✏️Ну вот и всё, жду следующую неделю для пополнения и новых сделок. Всем спасибо за внимание 🤝😉

#марафон2024 #инвестиции #пульс #доход #деньги #сердце_пульса #прояви_себя_в_пульсе"
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
