time,text
2024-03-18T09:39:07.162+03:00,"{$TCS} где мои бумаги? Если их перевели, то по какому курсу? А что если я не хотел переводить в рубли сейчас?"
2024-03-18T01:38:16.587+03:00,"{$TCS} утритесь, обманутые вкладчики! При этом ""поддержка"" путалась в показаниях, и утверждала разное. Уровень информирования! 
На сайте моекс https://www.moex.com/n68303?nt=0
Указан только тикер {$TCSG}, так что нас пока ки-ну-ли! И  ни одна с.. не сообщила об этом"
2024-03-18T00:08:03.238+03:00,"Клиентам Tinkoff Premium и Tinkoff Private открыли доступ к бизнес-залам через приложение MILE·ON·AIR. С ним вы можете посетить более 300 бизнес-залов без предварительной оплаты — достаточно при входе показать QR-код из приложения партнера. 

С учетом всех партнеров Тинькофф вам доступны уже свыше 700 бизнес-залов по всему миру. Причем не только в аэропортах, но и на некоторых ж/д вокзалах. 

Подключить бесплатно Тинькофф премиум до 2 месяцев и получить доступ ко всем привилегиям Premium клиентов Банка можно по ссылке: https://tinkoff.ru/baf/8nTbOd6pjCm

☝️#Лайфхак для получения еще дополнительных 2х месяцев Премиум можно оформить карту ALL Airlines https://tinkoff.ru/baf/93MMR5lTWbe
❗️Итого получаем целых 4 месяца Премиум Бесплатно. а это позволяет выпустить металлическую карту и не платить за нее даже после отключения Премиум подписки!

С тарифом Tinkoff Premium вы получаете доступ к премиум-инвестициям, включая:
✅ Самые низкие комиссии за сделки, а по ценным бумагам Tinkoff ( {$TCS} / {$TCSG} ) - комиссии вообще нет.
✅ Личный менеджер по инвестициям, который поможет вам обсудить ваши инвестиционные цели и подобрать подходящие для вас инструменты, провести анализ вашего портфеля.
✅ Подробный анализ интересующей компании от аналитиков Tinkoff по запросу.
✅ Дополнительная аналитическая информация по ценным бумагам.
✅ Сервис персональных ""Советов"", обычная стоимость услуги 259руб, с Premium - Бесплатно!

В приложении Tinkoff вы получаете следующие преимущества:
✅ Процент на остаток до 300 000 ₽ - 5% (стандартно процент на остаток больше не дают).
✅ Повышенный доход по накопительному счету - 11%.
✅ Бесплатная мобильная связь от Tinkoff - безлимитные минуты, а плата за Гигабайты со скидкой 50% (пример тарифа на скриншоте, но тарифы могут немного отличаться в зависимости от региона) со всеми фишками типа секретаря (автоответчика), автоматической записи и текстовой расшифровки разговоров. Вы также можете выпустить виртуальный номер.
✅ Увеличенный лимит кэшбека - 60 000 ₽/мес (вместо 3 000 ₽/мес).
✅ 10% Кэшбэка при оформлении страховок Каско и Осаго
✅ Дополнительная категория повышенного кэшбека по Tinkoff Black - 4 из 8 категорий (вместо 4 из 7 категорий).
✅ Страховка в поездках по России и миру БЕСПЛАТНО
✅ Бесплатное посещение бизнес-залов по всему миру.
✅ Консьерж-сервис

✅ Также, пока у вас есть Premium, вы можете бесплатно получить платежный стикер (вместо 700 рублей), особенно актуально для владельцев Apple #AAPL

❗За 2 месяца пробного периода вы сможете сами посмотреть и понять эффективность подписки. Ну или получите платежный стикер на халяву, дополнительный доход на остаток средств за 2 месяца и повышенные кэшбеки + бесплатный анализ портфеля. А за дальнейший отказ от Premium с вас денег не возьмут 😉

💡Для тех кто редко совершает сделки, например на ИИС при ежегодном пополнении - за время пробного периода можно собрать портфель с горизонтом на год по лучшим комиссиям. Для примера купив 20 акций Акрон ({$AKRN}) на тарифе инвестор комиссия составит 1100,88₽, а на тарифе премиум всего лишь 146,78₽. Таким образом на время формирования или ребалансировки портфеля можно подключить бесплатный ""промо"" Премиум и хорошо сэкономить на комиссиях без оплаты тарифа.

❗Все продукты Tinkoff с максимальными бонусами на одной странице: https://tinkoff.ru/baf/2Or1NfXPy9S

#лайфхак #премиум #инвестиции #новичкам"
2024-03-17T22:53:58.331+03:00,"🚨 Важные события наступающей недели:

📅 18.03.2024

🔶 На Мосбирже начнутся торги акциями МКПАО «ТКС Холдинг» (ранее — TCS Group) {$TCSG} {$TCS}

🔶 Последний торговый день ГДР ГМС Групп (HMSG) на Московской бирже в стакане Т+1 

🔶 Совет директоров Novabev Group даст рекомендации по дивидендам за 2023 г. {$BELU} {$BEH4}

🔶 Совкомфлот опубликует финансовые результаты по МСФО за IV квартал 2023 г. {$FLOT} {$FLH4}

📅 20.03.2024

🔶 Последний день для попадания в реестр акционеров, имеющих право на получение дивидендов Диасофта за 2023 г. {$DIAS}

📅 21.03.2024

🔶 VK опубликует финансовые результаты за IV квартал 2023 г. {$VKCO} {$VKH4}

📅 22.03.2024

🔶 X5 Group опубликует финансовые результаты по МСФО за IV квартал 2023 г. {$FIVE} {$FVH4}

🔶 Заседание Совета директоров Банка России по ключевой ставке {$USDRUB} {$USDRUBF}

🟢 Подписывайтесь ✍️ публикую в Пульсе сделки, новости и прочее ☝️

🔥🚨 Попробуйте тариф Премиум 👉 2 месяца бесплатно по моей ссылке - https://www.tinkoff.ru/baf/1yKxkQMN9eC

#новости #акции #прояви_себя_в_пульсе #новичкам #инвестиции #аналитика #пульс_оцени #россия #прогноз #что_купить"
2024-03-17T22:16:10.313+03:00,"Очень интересные дела сейчас происходят😎 {$TCSG}, {$TCS}  объединяется с Росбанком, 
Пока эти финансовые организации будут работать по отдельности, и вопрос полного слияния еще не рассматривается, уже можно предположить что примерно мы будем иметь. Кроме этого поглощения чуть позже расскажу об еще одном, на мой взгляд позитивном событии для банка Тинькофф. 

Что у нас по цифрам?
Вот список 
Топ – 15 на 1 января 2024г. (Взят из открытых источников)
Сбербанк – 51,377 трлн. рублей
ВТБ – 26,269 трлн. рублей
Газпромбанк – 15,910 трлн. рублей
Альфа-Банк – 8,603 трлн. рублей
Национальный Клиринговый Центр – 7,657 трлн. рублей
Московский Кредитный Банк – 4,785 трлн. рублей
Россельхозбанк – 4,782 трлн. рублей
Банк Открытие – 3,403 трлн. рублей
Совкомбанк – 3,190 трлн. рублей
Банк ДомРФ – 2,626 трлн. рублей
Тинькофф Банк – 2,169 трлн. рублей
Росбанк – 2,166 трлн. рублей
Райффайзенбанк – 1,987 трлн. рублей
Национальный расчетный депозитарий (НРД) – 1,737 трлн. рублей
Банк Россия – 1,316 трлн. рублей
На выходе получаем условный ""Тинросбанк"" с 4,335 трлн. рублей, и 8 местом среди всех банков, почти на уровне с Россельхозбанком.

Тинькофф - Чистая прибыль за 2023 г. выросла в 3,9 раза и достигла рекордного уровня в 80,9 млрд руб. (в 2022 г. — 20,7 млрд руб.). Рентабельность капитала в 2023 г. составила 33,5% (в 2022 г. - 10,9%).

Росбанк - Чистая прибыль Росбанка по МСФО по итогам 2023 года выросла в шесть раз, составив 28,8 млрд рублей, говорится в сообщении кредитной организации.
При таком раскладе я понимаю причину, по которой банки хотят сохранять и свои действующие бренды, и свои лицензии.

Если представить, что Росбанк сможет кратно увеличить свою эффективность до уровней Тинькофф, но перспективы были весьма радужны, но это вряд ли произойдет. 
На данный момент «Тинькофф»  обслуживаются 28 миллионов активных розничных клиентов, а Росбанк всего лишь около 2 млн клиентов-физлиц и порядка 100 тыс. компаний. На этом можно было бы и закончить, если бы банки не стояли на соседних позициях в рейтинге, значит и у Росбанка не все так плохо, как кажется на первый взгляд.
Как известно «Тинькофф» — это высокотехнологичная финтеховская компания. Организация стала IT-компанией. Минцифры внесло финансовую организацию в реестр IT-компаний. «Тинькофф банк» внесен в реестр организаций в области IT, аккредитованных Минцифры России. И вряд-ли это было сделано, чтобы сотрудники смогли воспользоваться льготной ипотекой для IT специалистов.  А вот Росбанк — это классический, разумно консервативный банк, как пишут о нет в прессе. Выходит, что в ситуации с объединением со всех сторон выигрывает Росбанк, это исключительно на мой взгляд. Тинькофф же, в лучшем случае ""не потеряет""
Остается открытым вопрос о дополнительной эмиссии акций и обратном выкупе акций. О нем сообщили следующее -  «ТКС Холдинг» собирается выкупить до 19 млн акций, что составляет примерно 10% текущего уставного капитала. Сделки будут осуществляться в течении 2024 года или до достижения указанного максимального количества приобретаемых акций. Операции могут выкупать как на Мосбирже, так и на внебиржевом рынке.

Обычно, дополнительная эмиссия акций рынком и инвесторами воспринимается негативно, поскольку размываются доли текущих акционеров. Но в связке с обратный выкупом (buyback), наоборот, несет некий условный позитив, поскольку благодаря этому компания поддерживает котировки собственных акций. «ТКС Холдинг» решил провести две эти процедуры одновременно, и значит стремиться сохранить цену своих акций на текущих уровнях, и не допустить распродаж.

Недавно была новость, о том, что Тинькофф Начинает работать в Республике Крым с населением 2 475 078(Данные на 2023 год)
И казалось бы, что это совсем немного для такого крупного банка, если бы не одно - 
сейчас в Крыму работают семь банков: 
Сбербанк
Банк “Россия”
Черноморский банк развития и реконструкции
Российский национальный коммерческий банк
Генбанк
ИС Банк. 
А всего на Территории России - 324.
Поняли, на что я намекаю?))"
2024-03-17T20:39:29.102+03:00,"Воскресные мысли по рынку📈

✅ Globaltrans {$GLTR} завершил переезд в Абу-Даби, но после продажи своей доли главным акционером, кого это волнует😀

✅ Лукойл {$LKOH} представил хороший отчет и дивиденды обещают быть щедрыми. Компания так и остается самой сильной в секторе, а росту котировок мешают лишь инцеденты с бпла

✅ Совкомбанк {$SVCB} удивил меня отчетом, ожидал хуже показателей, но очевидно банк хорошо приспособился к текущей ситуации. В портфеле был с IPO, но после роста на 55% я его продал, заново набирать не планирую

✅ Новобев {$BELU} несколько расстроил инвесторов своим отчетом, да и названием😀 все сложнее бизнесу эффективно расти, но он пытается

✅ Positive Technologies {$POSI} объявил дивиденды, после допки😀 компания идет своим уникальным путем, игнорируя мировой опыт мотивирования персонала, удачи им, прохожу мимо

✅ Тинькофф {$TCS} накидал новостей перед возобновлением торгов акциями. Покупка Росбанка за счет допки, байбек на программу мотивирования сотрудников и конечно отличный отчет. Посмотрим как пройдут торги в понедельник. Навес предложения будет большой, не факт, что рынок его переварит 

✅ Биткоин падал до 10% в моменте. Было много крови. Жадные инвесторы пострадали. Но ждем дальнейшего роста. Я как и говорил начну продавать на 120000💵

✅ Рубль слабеет к доллару {$USDRUB} на этой неделе плохо не только рублю, индекс RGBI падает, инфляция растет, рынок начинает понимать к чему идет😀 в профиле⬆️⬆️⬆️ написал свое видение ситуации

©️Advaser📈

✅ Подписывайтесь в профиле 🔝🔝🔝 у меня интересно. Вы сами выбираете направление контента. 

✅ Мой закрытый канал💎

https://www.tinkoff.ru/invest/social/profile/Five_Bucks 

Друзья ставьте пожалуйста лайки👍 подписывайтесь на канал и делитесь своими мыслями💭 в комментариях💬 это помогает продвижению канала😀👌

#псвп #прояви_себя_в_пульсе"
2024-03-17T19:17:08.494+03:00,"Первая неделя после выборов, чего ожидать, за какими новостями следить на следующей неделе❓🤔

1. В понедельник сразу уйма событий:
• Новабев групп, она же Белуга гласит размер дивиденда за 4-й квартал за 2023 год уже выплатили 455 рублей, за четвертый квартал ожидают выплаты в районе 170 рублей. доходность может быть в районе 3%, при этом возможно, что по факту будет даже меньше(📌
• МСФО Совкомфлота. Держу компанию, ожидаю результатов в рамках консенсус-прогноза, бумагу перед отчетом не разгоняли, поэтому тут может быть в моменте рост в районе 140 рублей в случае хороших результатов💡
• МСФО Инарктики. Держу небольшую долю этой компании в портфеле. Особых ожиданий по данной компании нет, поэтому просто пока что держусь в стороне 📌
2. В четверг МСФО Вконтакте. Будет ли разгон или продолжится болтание 630-650 - большой вопрос. Небольшую долю держу, поэтому буду действовать по ситуации. На отчете планирую скинуть. Дивидендов или каких-либо других драйверов тут нет + отчетность не полную выкладывают, не нравится все это деду📌

3.  В пятницу МСФО Х5 (Пятерочка). Высокая инфляция  играет наруку компании. Выручка и прибыль в таких условиях может расти на 10-20% в год банально из-за роста цен на продукты (сами все понимаете). Есть мысль немного прикупить перед отчетом, магазины выглядят внешне привлекательнее и ухоженнее, чем тот же Магнит, терминалы оплаты онлайн-касс у Магнита это просто тихий ужас. В сравнении с терминалами в Пятерочке 🔔

Тинькофф - мы покупаем Росбанк!
Физики: УРААА, а за чей счет гуляем?
Тинькофф - во всяком случае не мой

Вот такая миниатюра получилась у деда😂
Из какого фильма кадр, кто помнит?🤔 Пиши ответ в комментарии⬇️

#цитата_дня #новости #хочу_в_дайджест {$BELU} {$FLOT} {$AQUA} {$VKCO} {$FIVE} {$TCSG} {$TCS} {$MGNT}"
2024-03-17T18:42:15.093+03:00,"Будете следить завтра за Тинькофф ?

👍 - Да, готов докупать. 

🪑 - Просто буду наблюдать. 

👎 - Нет, не интересно.

{$TCSG} {$TCS} {$RU000A107738} {$RU000A107746} 
#1invstr_news"
2024-03-17T13:35:21.144+03:00,"Какова привлекательная цена для продаж акций {$TCSG} {$TCS}, с учетом новых вводных по эмитенту. 

За 2023 год бизнес заработал рекордную чистую прибыль в размере 81 млрд рублей. Менеджментом был объявлен обратный выкуп акций в размере до 10% от общего объема. Так же было сказано о допэмисии акций для приобретения в холдинг Росбанка, владельцем которого на 100% является Владимир Потанин. Смысл этой сделки заключатся в том, чтобы Владимир Потанин стал контролирующим акционером МКПАО ТКС с долей 50%+1акция как минимум. Детали сделки пока неизвестны. И компания еще должна запустить дивидендную программу. Торги акция возобновляются 18.03.2024. 

Не знаю как вы, а я в этих новостях вижу только позитив, который в скором времени отразится на котировках. Да не стоит ждать сильной синергии в соединении таких банков как Тиньков и Росбанк. Но ТКС Холдинг приобретаем большой кредитный портфель юр. лиц, которого у него не было, Росбанк в свою очередь IT решения + конкурировать они друг с другом не будут и банк по уровню активов станет в топ 5. Так же Холдинг приобретает 1 сильного владельца который будет принимать все ключевые решения это тоже большой плюс. Позитив само собой обратный выкуп и еще лучше дивиденды. Так же можно рассчитывать на продолжения роста по прибыли и выручке на следующие несколько лет. 

И что мы имеем по итогу. Какова справедливая стоимость этих акций? Такой качественно растущий диверсифицированный бизнес должен стоить +-12P/E. Мы еще не знаем о деталях сделки, но можно закладывать допку в 30% от капитала итого получится 60 млн акций+. На данный момент прибыль Росбанка за 2023 год 29 млрд. Так же закладываем продолжение роста самого Тинькова. 81млрд за 2023 год + 30% рост за год, + 25 млрд от Росбанка / на кол-во акций после допки 260 млн. EPS получается в районе 500(без учета байбека).  При P/E 12 акции будут стоить 6 000 рублей, при P/E 15 акции будут стоить 7 500.  Котировки должны будут восстановится до своих прежних вершин."
2024-03-17T12:59:24.092+03:00,"Воскресные мысли по рынку📈

✅ Globaltrans {$GLTR} завершил переезд в Абу-Даби, но после продажи своей доли главным акционером, кого это волнует😀

✅ Лукойл {$LKOH} представил хороший отчет и дивиденды обещают быть щедрыми. Компания так и остается самой сильной в секторе, а росту котировок мешают лишь инцеденты с бпла

✅ Совкомбанк {$SVCB} удивил меня отчетом, ожидал хуже показателей, но очевидно банк хорошо приспособился к текущей ситуации. В портфеле был с IPO, но после роста на 55% я его продал, заново набирать не планирую

✅ Новобев {$BELU} несколько расстроил инвесторов своим отчетом, да и названием😀 все сложнее бизнесу эффективно расти, но он пытается

✅ Positive Technologies {$POSI} объявил дивиденды, после допки😀 компания идет своим уникальным путем, игнорируя мировой опыт мотивирования персонала, удачи им, прохожу мимо

✅ Тинькофф {$TCS} накидал новостей перед возобновлением торгов акциями. Покупка Росбанка за счет допки, байбек на программу мотивирования сотрудников и конечно отличный отчет. Посмотрим как пройдут торги в понедельник. Навес предложения будет большой, не факт, что рынок его переварит 

✅ Биткоин падал до 10% в моменте. Было много крови. Жадные инвесторы пострадали. Но ждем дальнейшего роста. Я как и говорил начну продавать на 120000💵

✅ Рубль слабеет к доллару {$USDRUB} на этой неделе плохо не только рублю, индекс RGBI падает, инфляция растет, рынок начинает понимать к чему идет😀 в профиле⬆️⬆️⬆️ написал свое видение ситуации

©️Advaser📈

✅ Подписывайтесь в профиле 🔝🔝🔝 у меня интересно. Вы сами выбираете направление контента. 

✅ Мой закрытый канал💎

https://www.tinkoff.ru/invest/social/profile/Five_Bucks 

Друзья ставьте пожалуйста лайки👍 подписывайтесь на канал и делитесь своими мыслями💭 в комментариях💬 это помогает продвижению канала😀👌

#псвп #прояви_себя_в_пульсе"
