time,text
2024-04-13T21:18:12.593+03:00,"{$TCSG} уважаемый трейдеры и инвесторы. Если на днях произойдет серьезное обострение военного конфликта, между Ираном и Израильем. То куда пойдет наш рынок? Как показала практика, после обострения на ближнем востоке, мировые рынки начинают показывать большую волатильность."
2024-04-13T20:41:55.353+03:00,{$TCSG} этот интересный банк собирается расти?
2024-04-13T20:12:56.380+03:00,"{$TCSG} зря купил, поторопился, счас летом все потихоньку опускаются, а к осени начнут расти"
2024-04-13T19:40:27.753+03:00,"{$TCSG} Падают, падают, падают, падают листья.
Ну и пусть, зато прозрачней свет.
В памяти, в памяти, в памяти,
В памяти лица
Тех, кого сегодня рядом нет.))"
2024-04-13T19:31:11.359+03:00,"Таргеты ренессанс капитала по финансовому сектору
{$TCSG} {$SBER} {$VTBR} {$SVCB} {$MOEX}"
2024-04-13T18:27:09.054+03:00,"#озон В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
По пожеланиям подписчиков разбор {$OZON} или название ""ГДЕ ПРИБЫЛЬ КАРЛ!!! А ЕСЛИ НАЙДУ?""
Озон (ДЕПОЗИТАРНАЯ РАСПИСКА, МОГУТ ЗАМОРОЗИТЬ) быстрорастущая компания в сегменте электронной коммерции и ритейла, наряду с {$YNDX} с его яндекс Маркетом, {$SBER} {$SBERP} с его сбермегамаркетом, Казань экспресс, ламода, валберрис и другими
Недавно создала свой банк и начала продавать авто на площадке👍
ОТЧЁТ МСФО 2023 ГОД к 2022 году:
Выручка выросла в 2.1 раза до 1.7 трлн руб
Ебитда 4.2 млрд
Количество покупателей выросло на 31% до 46 млн человек
Чистая прибыль ОТРИЦАТЕЛЬНАЯ, КОТОРЫЙ УЖЕ ГОД ПОДРЯД!!!
ПЕРСПЕКТИВЫ: дальнейшее увеличение клиентской базы за счёт малых городов и населённых пунктов и стран СНГ, получение чистой прибыли наконец то за 2024 год (но это не точно), получение доп дохода за счёт комиссионных сборов с банка своего и продавцов
МИНУСЫ: где то мы уже видели такую же компанию как озон? А да это же ламода и валберрис😀 по итогу стагнирующие компании от потери и перетока клиентов в другие маркетплейсы, рост количества маркетплейсов в том числе со стороны {$FIVE} {$MGNT} {$MVID} {$FIXP} {$LENT} {$TCSG}  ну это только возможные конкуренты, а если всех перечислять, то не хватит бумаги😀озон может даже не выйти на прибыль и уже начнёт стагнировать, и риски очень большие, не выдержит конкуренции со сбером и яндексом, потому что у них есть поиск и огромная клиентская база, которую приманивают бонусами и плюшками👍
Мой взляд на озон нейтральный, много рисков, но и причин расширяться тоже много, тревожит только прибыль и дивы в последствии👎их может вообще не быть, работа ради работы, расширение ради расширения😀
Я не покупаю озон, есть другие перспективные идеи пример пятёрка, магнит, {$ASTR} {$POSI} и другие, с потенциалом роста гораздо больше, акция почти на хаях, не вижу причин для дальнейшего роста👍лайк, подписка👍 в топ ленты #пульс"
2024-04-13T18:22:19.282+03:00,"{$TCSG} У кого то еще остались сомнения ,что в пнд вниз???"
2024-04-13T18:15:31.268+03:00,"15.665₽ - пассивный доход за вторую неделю апреля.

Купоны - 2.621₽
Дивиденды - 920₽
Коммерческая недвижимость - 5.906₽ (УК Активо, фонд А12)
Кэшбэк - 6.218₽ 

Порадовал кэшбэк от любимого банка. {$TCSG}  В этом месяце особенно выгодные спецпредложения. 

Портфель облигаций стараюсь собирать с ежемесячной выплатой купона, пусть приходят копеечки. Психологически подбадривает, наглядно видно, что деньги делают деньги. 

{$RU000A106UW3} {$RU000A1048A9} {$NVTK} {$RU000A107RZ0} {$RU000A107D74} {$RU000A104JQ3}"
2024-04-13T17:37:03.775+03:00,{$TCSG} Хороших много лучший он один
2024-04-13T16:58:28.733+03:00,"{$SBER}, {$TCSG}, {$CBOM}, {$RU000A100GW5}, {$RU000A1064G3} и тд и тп 🤷🏻‍♂️ 
Все помнят?

С 1 мая россияне смогут бесплатно переводить между своими счетами в разных банках до 30 млн рублей через СБП. На переводы в офисе банка, а также по номеру карты новые правила не распространяются.

На картинке : можно тяпнуть (кусь) теперь любую 🍑, какой богатый выбор 🐶
#однако 🤔😁"
