time,text
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T10:43:03.849+03:00,{$TGKA} за что закрыли?
2024-04-13T05:52:42.721+03:00,"{$TGKA}
Всем хай и Л...ой🍵♥️🥋🍓
Пт. Не хотела. Видел. Но кнопки жал. Отложки ставил выше 98 чтобы вернуть что вверх отдал...🦋
Как она это делает?) 🎰Просто. Весь движ 🌍обычно в выхи. 2 дня работать🤑. 5 отдыхать🍹. Правильный график. Тогда и разводят правильно 🤗🌋
Нет человека кто бы бил по рукам😭😘 🥊🤩
Пс. Это все лирика) 477🍋 в домике. Фото удалили. Дерева ещё дохайнаня и на накопительных счетах)
Цель навсегда 0.0666 и не икает какие планы у куклы) все равно люблю ♥️ наберу 666🍋 к чаю раз ром не пьет, тогда и думать)🌹стратегия похайнань🤑 как в анекдоте... мне по... яж не Вася)
В тиньке сокращать буду присутствие. Не работает нормально временами ни приложение на телефоне ни на компе. ВТБ лучше даже отложки наливают. 
Выхи торги против но может попробую если скучно будет. Ночью пока спал снова чуть забрали на втб. Смешно так торговать. Купил тинек пока работало. Продал на втб когда не смог поставить продажи вечером с телефона тинек 😭😀👎
Пс2.к турнику занятиям добавил приседания и отжимания от пола..далее планка по плану...и рома..Сальвадор..Гватемала...Рианна 🌺😜🥰🐝"
2024-04-12T21:19:27.118+03:00,"{$TGKA}
Москва. 12 апреля. INTERFAX.RU - Американские СМИ сообщают разные данные о том, когда Иран может нанести удар по Израилю, в том числе - в пятницу или в ближайшие двое суток; также имеется информация о том, что в Тегеране еще не приняли решение об ударе."
2024-04-12T20:44:35.740+03:00,{$TGKA}  сегодня в Сочи туман самолеты не летают а значит ракеты не будет
2024-04-12T20:38:19.057+03:00,{$TGKA} сейчас ?🚀
2024-04-12T19:05:54.927+03:00,{$TGKA} когда ?🚀
2024-04-12T17:29:03.155+03:00,"{$TGKA}
Нужны ли газпрому деньги так чтобы было похайнаню на финов пока не договорились о выходе? Дивы финов заблочат для выплат див по блоку. Ходят слухи денег уже не хватает. по заблоченым бумагам получил я 3 платежа из 6. Это не много кажеться 80 тыр не нашли?!) Тянут. Недельки тут красивые уже. Кто то знает что то) весь график и 5 лет...долгий срок?) Тоже не плохо? Имхо но главное удержать позицию сейчас чтобы на эмоциях не высадили перед началом разгона. Ручонками поменьше. Тейки. Отложки. Ром. Музыка. Фильмы может. Кому что ближе 🤑"
2024-04-12T16:31:58.008+03:00,"Вчера я обнаружил вот такой комментарий про акции ТГК14 от @belyachok  (скрин прилагаю)под постом, в котором я говорил, что получил дивиденды по акциям Новатека. 

Конечно, он меня мотивировал набрать позицию по активу 10000+ рублей и в результате я получил прибыль такую, что я смог позволить себе отправить донат 25₽58 коп(25% от моей прибыли). Люблю тем кто на меня подписан слать донаты, если их комментарии приносят мне прибыль.

 Да вот только ошибся с ТГК-ашками, вместо ТГК14 торговал ТГК1 {$TGKA}  ... Ну ла ладно, всё одно в плюс:) 

Подписывайтесь, включайте донаты. Если понравилась эта история и если тоже есть, что написать в комментариях. 

Золотой слиток Тинькофф всё ещё при мне. Нос товарищу Бендеру на удачу тëр накануне, взнос под его сул делал. 

#пульс_оцени #дивиденды #прояви_себя_в_пульсе #юмор #тгк #мотивация"
2024-04-12T16:03:54.467+03:00,"{$TGKA} {$UNAC} {$MRKZ} ну, с праздничком!🥂"
