time,text
2024-04-12T11:42:48.942+03:00,{$TGKB} купил гамна.... Даже усреднять не буду.
2024-04-12T02:47:41.843+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров сегодняшнего дня (среди акций 2-3 эшелона) 👇

📈 {$SPBE}    +5.1%
📈 {$HNFG}     +4.9%
📈 {$OGKB}     +3.9%.
📈 {$EUTR}   +3.4%.
📈 {$DVEC}     +2.9%.
📈 {$TRMK}    +2.1%.
📈 {$LENT}    +1.8%.

📉 {$RKKE}     -4.4%.
📉 {$SFIN}     -2.6%.
📉 {$TGKB}      -2.3%.
📉 {$TGKA}     -1.8%.
📉 {$VSMO}     -1.7%.
📉 {$LSRG}     -1.7%.

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет 🚀

В Пульсе и Ютубе скоро выйдет разбор и этих акций и тех, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅"
2024-04-11T17:14:49.457+03:00,{$TGKB} а тут и нет никаго! Шлачина полная
2024-04-11T15:09:34.224+03:00,{$TGKB} всё чтоли?
2024-04-11T13:20:51.603+03:00,"#отэмитента 

ПАО «ТГК-2» {$TGKB} является одной из крупнейших теплоэнергетических компаний Центрального и Северо-Западного федеральных округов России. ТГК-2 осуществляет свою деятельность в 5 регионах России (Архангельская, Вологодская, Костромская, Новгородская и Ярославская области) и в г. Скопье, Республика Северная Македония 🇲🇰

Всего в городах деятельности компании проживает более 2,7 млн человек. Под управлением компании находятся 12 ТЭЦ (Архангельская ТЭЦ, Северодвинская ТЭЦ-1, Северодвинская ТЭЦ-2, Вологодская ТЭЦ, Новгородская ТЭЦ, Костромская ТЭЦ-1, Костромская ТЭЦ-2, Ярославская ТЭЦ-1, Ярославская ТЭЦ-2, Ярославская ТЭЦ-3, ТЭЦ «Белый Ручей», а также ПГУ «ТЕ-ТО АД Скопье»), 30 котельных в Архангельске, Костроме, Ярославле и 4 предприятия тепловых сетей, образующих теплоэнергетическую инфраструктуру Архангельска, Костромы, Северодвинска и Ярославля 🌡"
2024-04-11T12:34:34.625+03:00,"{$TGKB} - ещё один ТГК смотрит вверх, вполне так уверенно смотрит.
На недельном графике показываю цель вероятную."
2024-04-11T08:31:47.674+03:00,"Энергетики и металлурги 💡 в ТОП-12 Акций по итогам 10 апреля🚀

   Акция   % за День*    % Общий**
1	{$TGKA}	   8,1	    8,1
2	{$TGKB}	   7,2	   7,2
3	{$MRKS}	   6,8	   8,6
4	{$RUAL}	   5,2	   5,2
5	{$NLMK}	   4,7	   4,7
6	{$UGLD}	   4,6	   13,1
7	{$ETLN}	   3,8	   5,9
8	{$ENPG}	   3,5	   3,5
9	{$AFLT}	   3,5	   3,5
10	{$MAGN}    3,4	   3,4
11	{$DVEC}	   3,2	   3,2
12	{$SIBN}	   2,6	   2,6
* прирост цены за последний торговый день, %
** непрерывный прирост цены со дня первого закрытия акции в ""+"", %

#ТОП12"
2024-04-11T06:50:47.906+03:00,"Итоги торгов 10апреля

Лидеры: 
•{$TGKN} ТГК-14 (+19,5%), 
•{$RKKE} Энергия (+9,9%), 
•{$TGKA} ТГК-1 (+7,8%), 
•{$TGKB} ТГК-2 (+7,22%), 

Аутсайдеры: 
•{$ABIO} Артген (-3,07%), 
•{$BANE} Башнефть (-2,88%), 
•{$RNFT} РуссНефть (-2,68%).

{$IMOEXF} Российский рынок акций вслед за позитивным стартом сдал позиции, обновив вчерашний минимум. Однако этот импульс не получил развития: вскоре наши фондовые индикаторы устремились вверх. Индекс МосБиржи закрался в хорошем плюсе вблизи установленной вчера двухлетней вершины.

Ключевым фактором поддержки нашего рынка остается медленное, но неуклонное ослабление рубля. Сегодня его курс обновил трехнедельный минимум, а к доллару — четырехмесячный. Слабость рубля со временем лишь усиливает позитивный эффект для многих компаний, особенно на фоне относительно высоких цен на ключевые товары российского эскпорта.

Объем торгов (83,1 млрд руб.) заметно сократился после двух сессий увеличения. Сигнал умеренно негативный, поскольку не подтверждает выкупа вчерашней просадки. Для увеличения вероятности новой волны роста индекса МосБиржи необходим всплеск активности инвесторов.

Акции многих электроэнергетических компаний стали лидерами роста во главе с бумагами {$TGKN} ТГК-14, которые показали сегодня лучший результат среди всех акций. Не появлялось каких-либо новостных драйверов, объясняющий столь резкое усиление интереса к сектору. Скорее всего, инвесторы продолжают искать бумаги, существенно отставшие от ралли широкого рынка.

Бумаги {$RUAL} РУСАЛа после вчерашней коррекции вернулись к уверенному подъему, в результате чего был обновлен полугодовой максимум. Цены на алюминий вслед за коррекционной просадкой предыдущей сессии сегодня активно повышались, но во второй половине торгов резко просели вслед за другими сырьевыми активами. Несмотря на это, котировки РУСАЛа сохранили основные достижения дня. Финансовые показатели компании очень чувствительны к изменениям цен на базовый металл. Фундаментальный таргет 38 руб. уже преодолен. Стоит учитывать, что цена алюминия может столь же быстро вернуться к многомесячным минимумам, как это уже не раз происходило за последние несколько лет. Вслед за этим вероятно нисходящее движение и бумаг РУСАЛа. 

Акции {$NLMK} НЛМК совершили мощный рывок вверх, перекрыв всю двухнедельную коррекцию. Котировки достигли максимальных с февраля 2022 г. уровней, реагируя на первую за два года рекомендацию совета директоров компании выплатить дивиденды. По итогам 2023 г. акционеры могут получить 25,43 руб. на каждую бумагу НЛМК, что соответствует доходности в 11,3%.

Акции {$RNFT} РуссНефти продолжили откатываться от установленной вчера трехлетеней вершины, оказав в среду худший результат среди представителей нефтегазового сектора. Просадка пока не выходит за рамки мощного восходящего движения, стартовавшего в феврале на фоне новости о перспективах смены крупных владельцев компании. Швейцарский сырьевой трейдер Glencore может уступить пакет акций РуссНефти в размере 23,46% уставного капитала структурам, близким к основателю компании Михаилу Гуцериеву. Кроме того, банк Траст недавно продал часть принадлежащего ему крупного пакета привилегированных акций РуссНефти.

{$USDRUB} Рубль продолжил дешеветь, периодически обновляя трехнедельные минимумы. Доллар впервые с конца ноября приближался к 93,6 руб., показав у нас более сильную динамику благодаря резкому подорожанию на мировом рынке. {$EURRUB} Евро установил трехнедельный максимум немного выше 101,4 руб., но затем из-за снижения на глобальных площадках ушел в паре с рублем в умеренный минус. Благодаря этому рубль завершил среду с небольшими потерями к бивалютной корзине.

Источник: БКС

🎁Подписка Tinkoff Pro — 2 месяца бесплатно
https://www.tinkoff.ru/baf/9Sw1eaRhl5S

🎁  Всё бонусы для вас выбирайте👉 https://www.tinkoff.ru/baf/5dnZXLiIsG2

Работа в Тинькофф — Приходи работать по моей ссылке и получи 5 000 ₽
https://www.tinkoff.ru/baf/88Kpw5YoQfo"
2024-04-11T02:22:40.352+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров сегодняшнего дня (среди НЕАдекватных акций) 👇

📈 {$RKKE}  +5.1%
📈 {$TGKA}    +4.9%
📈 {$TGKB}    +3.9%.
📈 {$UGLD}    +3.4%.
📈 {$MRKV}   +2.9%.
📈 {$ETLN}   +2.1%.
📈 {$DVEC}    +1.8%.

📉 {$SFIN}    -4.4%.
📉 {$EUTR}   -2.6%.
📉 {$MVID}    -2.3%.
📉 {$BANEP}    -1.8%.
📉 {$RASP}    -1.7%.
📉 {$MDMG}    -1.7%.

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет 🚀

В Пульсе и Ютубе скоро выйдет разбор акций, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅"
2024-04-11T00:13:38.159+03:00,"Итоги торгов 🇷🇺
Покупатели не заставили долго ждать

👍 Лидеры: 
 {$TGKN} ТГК-14 (+19,5%), 
 {$RKKE} Энергия (+9,9%), 
 {$TGKA} ТГК-1 (+7,8%), 
 {$TGKB} ТГК-2 (+7,22%), 
 #РБК (+6,24%).

👎 Аутсайдеры: 
 #Росбанк (-3,33%), 
 {$ABIO} Артген (-3,07%), 
 {$BANE} Башнефть (-2,88%), 
 {$RNFT} РуссНефть (-2,68%).

{$IMOEXF} Российский рынок акций вслед за позитивным стартом сдал позиции, обновив вчерашний минимум. Однако этот импульс не получил развития: вскоре наши фондовые индикаторы устремились вверх. Индекс МосБиржи закрался в хорошем плюсе вблизи установленной вчера двухлетней вершины.

Ключевым фактором поддержки нашего рынка остается медленное, но неуклонное ослабление рубля. Сегодня его курс обновил трехнедельный минимум, а к доллару — четырехмесячный. Слабость рубля со временем лишь усиливает позитивный эффект для многих компаний, особенно на фоне относительно высоких цен на ключевые товары российского эскпорта.

Объем торгов (83,1 млрд руб.) заметно сократился после двух сессий увеличения. Сигнал умеренно негативный, поскольку не подтверждает выкупа вчерашней просадки. Для увеличения вероятности новой волны роста индекса МосБиржи необходим всплеск активности инвесторов.

Акции многих электроэнергетических компаний стали лидерами роста во главе с бумагами {$TGKN} ТГК-14, которые показали сегодня лучший результат среди всех акций. Не появлялось каких-либо новостных драйверов, объясняющий столь резкое усиление интереса к сектору. Скорее всего, инвесторы продолжают искать бумаги, существенно отставшие от ралли широкого рынка.

Бумаги {$RUAL} РУСАЛа после вчерашней коррекции вернулись к уверенному подъему, в результате чего был обновлен полугодовой максимум. Цены на алюминий вслед за коррекционной просадкой предыдущей сессии сегодня активно повышались, но во второй половине торгов резко просели вслед за другими сырьевыми активами. Несмотря на это, котировки РУСАЛа сохранили основные достижения дня. Финансовые показатели компании очень чувствительны к изменениям цен на базовый металл. Фундаментальный таргет 38 руб. уже преодолен. Стоит учитывать, что цена алюминия может столь же быстро вернуться к многомесячным минимумам, как это уже не раз происходило за последние несколько лет. Вслед за этим вероятно нисходящее движение и бумаг РУСАЛа. 

Акции {$NLMK} НЛМК совершили мощный рывок вверх, перекрыв всю двухнедельную коррекцию. Котировки достигли максимальных с февраля 2022 г. уровней, реагируя на первую за два года рекомендацию совета директоров компании выплатить дивиденды. По итогам 2023 г. акционеры могут получить 25,43 руб. на каждую бумагу НЛМК, что соответствует доходности в 11,3%.

Акции {$RNFT} РуссНефти продолжили откатываться от установленной вчера трехлетеней вершины, оказав в среду худший результат среди представителей нефтегазового сектора. Просадка пока не выходит за рамки мощного восходящего движения, стартовавшего в феврале на фоне новости о перспективах смены крупных владельцев компании. Швейцарский сырьевой трейдер Glencore может уступить пакет акций РуссНефти в размере 23,46% уставного капитала структурам, близким к основателю компании Михаилу Гуцериеву. Кроме того, банк Траст недавно продал часть принадлежащего ему крупного пакета привилегированных акций РуссНефти.

{$USDRUB} Рубль продолжил дешеветь, периодически обновляя трехнедельные минимумы. Доллар впервые с конца ноября приближался к 93,6 руб., показав у нас более сильную динамику благодаря резкому подорожанию на мировом рынке. {$EURRUB} Евро установил трехнедельный максимум немного выше 101,4 руб., но затем из-за снижения на глобальных площадках ушел в паре с рублем в умеренный минус. Благодаря этому рубль завершил среду с небольшими потерями к бивалютной корзине.
💡 БКС

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
