time,text
2023-11-20T22:14:55.975+03:00,{$TGKD} тишина
2023-09-23T14:40:18.338+03:00,{$TGKD} 🧐
2023-03-14T16:51:02.397+03:00,{$TGKD} Что с ней?
2023-03-04T14:48:01.983+03:00,{$TGKD} выростит
2023-02-15T10:39:51.229+03:00,{$TGKD} а случилось что
2023-01-25T08:21:53.147+03:00,"🧑‍💻Ожидаемые события на 25 января

🇷🇺 В России

{$POLY} Полиметалл — производственные результаты за 2022 г. День инвестора.

{$TGKD} Квадра — акции компании будут исключены из списка ценных бумаг, допущенных к торгам на Московской бирже.

📈В России. События и статистика
Росстат опубликует данные об индексе цен производителей промышленных товаров в декабре, о просроченной задолженности по заработной плате на 1 января и об оценке индекса потребительских цен с 17 по 23 января.

🏦Минфин России проведет аукционы по продаже ОФЗ-ПД серии 26240 в объеме остатков, доступных для размещения, а также ОФЗ-ПД серии 26242.

🌎 В мире

🌄 До открытия торгов отчеты опубликуют:

- {$ABT} Abbott Laboratories (прогноз EPS 💵0,91)
- {$NEE} NextEra Energy (прогноз EPS 💵0,51)
- {$T} AT&T (прогноз EPS 💵0,57)
- {$BA} Boeing (прогноз EPS 💵0,25)
-  #USB U.S. Bancorp (прогноз EPS 💵1,17)
- #FCX Freeport-McMoran (прогноз EPS 💵0,43)

 🌉 После закрытия отчеты опубликуют:

- {$TSLA} Tesla (прогноз EPS 💵1,13)
- {$IBM} IBM (прогноз EPS 💵3,59)
- {$NOW} ServiceNow (прогноз EPS 💵2,02)
- {$CSX} CSX (прогноз EPS 💵0,47)
- {$CCI} Crown Castle (прогноз EPS 💵0,97)
- {$LRCX} Lam Research (прогноз EPS $9,98)

📊События и статистика:
 
🇨🇳 Китай - Китайский Новый год. Биржи закрыты

🇭🇰 Гонконг - Китайский Новый год. Биржи закрыты. 

🇩🇪 Германия

🕰 12:00 мск - Индекс экономических ожиданий IFO - Январь Прогноз: 85 Предыдущее значение: 83,2

12:00 мск - Индекс делового климата IFO - Январь Прогноз: 90,2 Предыдущее значение: 88,6

🇺🇸 США

📲 18:30 мск - Запасы нефти, изменение за неделю по данным EIA, млн барр. - за неделю Прогноз: 0,97 Предыдущее значение: 8,41

{$RKLB} 💥🇺🇸#RKLB

Rocket Lab успешно запустила ракету 

💵Сейчас у вас есть возможность опробовать премиальный сервис от Тинькофф бесплатно 🍀

https://www.tinkoff.ru/sl/A7RjfwbTHgl

#сша #космос #пульс #новости #акции #новичкам"
2023-01-23T10:45:14.058+03:00,{$TGKD}
2023-01-04T16:52:59.119+03:00,"Лидеры-2022. Какие российские акции выросли на падающем рынке:

•{$PHOR} 
Из 40 ликвидных бумаг, входящих в состав индексов МосБиржи/РТС, положительную динамику продемонстрировали лишь акции «ФосАгро», которые за год выросли на 12%, благодаря высоким ценам на фосфатные и комплексные удобрения на мировом рынке.

Основной рост пришелся на первую половину года, однако, начиная со второй половины августа, котировки скорректировались вниз на 23%. 

•{$IRKT} 
На 89% при достаточно высоких торговых объемах выросли за год акции корпорации «Иркут». 

Инвесторы отыгрывали будущий рост госзаказов, поскольку правительство анонсировало задачу по 100-процентному импортозамещению в авиапромышленности. 

В октябре власти выделили «Иркуту» 15 млрд рублей на расширение производства самолетов МС-21, которые могут заменить модели Boeing и Airbus. Последние из-за санкций прекратили поставлять в Россию запчасти и приостановили оказание услуг по поддержке российских авиакомпаний.

•{$TGKD} 
Энергетическая компания «Квадра» в прошедшем году пережила многое – от смены владельца до решения о делистинге. 

Еще в январе бумага за пару дней выросла почти на 50% на новости о том, что «дочка» «Росатома» компания «Русатом 

Инфраструктурные решения» (РИР) выкупила 82,74% «Квадры» у структур Михаила Прохорова, нарастив свою долю впоследствии до 95%. В феврале при падении на сообщении о СВО бумага закрылась даже выше январского минимума и после открытия рынка демонстрировала умеренный поступательный рост. 

В ноябре акционеры компании утвердили план делистинга компании. В конце декабря энергокомпания сообщила, что листинг акций «Квадры» на Мосбирже будет прекращен с 25 января. За год бумаги «Квадры» подорожали на 51%.

•{$AKRN} 
Акции производителя минеральных удобрений «Акрон» за прошедший год выросли гораздо сильнее чем у «ФосАгро» - на 48%. 

Бизнес компании чувствовал себя отлично из-за роста цен на удобрения. Инвесторы позитивно смотрели на бумаги в условиях наращивания поставок в том числе в Азиатский регион.

•{$AMEZ} 
Акции ""Ашинского металлургического завода"" - небольшого производителя стальных листов и изделий из нержавеющей стали выросли за год более чем на 45%. Эксперты отмечают рентабельность капитала компании значительно выше рынка и очень низкую долговую нагрузку.

•{$POSI} 
Очень удачно сложился год для фондового новичка - компании Positive Technologies, IPO которой стало заметным событием декабря 2021 года. 

За прошедший год акции дебютанта выросли на 37%. Так уж совпало, что профильная тема компании – кибербезопасность - стала актуальна в 2022 году как никогда. К тому же из-за санкций Россию покинули многие западные IT-компании. 

Осенью ""Группа Позитив"" провела SPO. Целью на 2023 год для компании станет включение акций в основной индекс Московской биржи.

✅Лидеры отскока в индексе МосБиржи – кто счастливчики?

•{$FIVE} 
Расписки X5 Retail Group к июню 2022 года опустились до минимальной отметки в 735 рублей с момента своего листинга на Московской бирже в 2018 году. Однако, оттолкнувшись от дна, бумаги выросли затем почти на 90% - до 1630 рублей.

•{$OZON} 
Почти 60% за второе полугодие прибавили расписки Ozon Holdings. В феврале котировки обновили «дно» на отметке 595 рублей.

•{$FIXP} 
Котировки дискаунтера Fix Price Group дважды в этом году оказывались на дне (206,7 рубля) – 21 февраля и 26 сентября, но затем подросли почти на 19%

•{$TCSG} {$TCS} 
Примерно со второй половины июня возобновилось позитивное движение в расписках TCS Group, которые с этого момента подросли более чем на 50%.

•{$VKCO} 
Ну и еще одна бумага смогла показать значительный отскок в последние полгода – расписки VK, прибавившие за последние шесть месяцев 45%.

❌Не ИИР
•В рамках стратегии [&Абсолютная величина](https://www.tinkoff.ru/invest/strategies/a30a5e5d-0478-4f6c-8c01-9693c4ef3199) я переодически делаю ребалансировку портфеля, где мы удерживаем позиции от недели до месяца, иногда и более.  Добро пожаловать!
•[&Грош цена. На пенсию внукам](https://www.tinkoff.ru/invest/strategies/a2c69f25-75fe-4e63-ae8c-bced590ce9bd) стратегия для консервативных инвесторов, удержание позиции от месяца и более."
2022-12-30T06:12:39.319+03:00,{$TGKD}
2022-12-30T06:12:13.281+03:00,{$TGKD}
2022-12-26T22:40:58.056+03:00,"Лидеры-2022. Какие российские акции выросли на падающем рынке 👇

Уходящий 2022 год однозначно стал для российских инвесторов годом разочарований, потерь, «обнулений». Он безжалостным тяжелым катком проехался по отечественному фондовому рынку, изменив его почти до неузнаваемости и расшатав нервную систему инвесторов.

{$MOEX} 
Индекс МосБиржи завершает год с худшим в мире результатом (-44%). 

Однако, несмотря на все шоки и максимальную 55%-ную просадку в феврале, рынок выжил, отскочил от дна, отыграв небольшую часть потерь. В жизни даже в самые мрачные времена бывают светлые моменты, так и на рынке – на фоне всеобщего падения в прошедшем году были свои истории роста.

✅ ""Фаворит года"" {$PHOR} 
Из 40 ликвидных бумаг, входящих в состав индексов МосБиржи/РТС, положительную динамику продемонстрировали лишь акции «ФосАгро», которые за год выросли на 12%, благодаря высоким ценам на фосфатные и комплексные удобрения на мировом рынке. 

Основной рост пришелся на первую половину года, однако, начиная со второй половины августа, котировки скорректировались вниз на 23%

{$TGKD} 
Энергетическая компания «Квадра» в прошедшем году пережила многое – от смены владельца до решения о делистинге. 

Еще в январе бумага за пару дней выросла почти на 50% на новости о том, что «дочка» «Росатома» компания «Русатом Инфраструктурные решения» (РИР) выкупила 82,74% «Квадры» у структур Михаила Прохорова, нарастив свою долю впоследствии до 95%. 

В феврале при падении на сообщении о СВО бумага закрылась даже выше январского минимума и после открытия рынка демонстрировала умеренный поступательный рост. В ноябре акционеры компании утвердили план делистинга компании. 

В конце декабря энергокомпания сообщила, что листинг акций «Квадры» на Мосбирже будет прекращен с 25 января. За год бумаги «Квадры» подорожали на 51%.

{$AKRN} 
Акции производителя минеральных удобрений «Акрон» за прошедший год выросли гораздо сильнее чем у «ФосАгро» - на 48%. 

Бизнес компании чувствовал себя отлично из-за роста цен на удобрения. Инвесторы позитивно смотрели на бумаги в условиях наращивания поставок в том числе в Азиатский регион.

{$AMEZ} 
Акции ""Ашинского металлургического завода"" - небольшого производителя стальных листов и изделий из нержавеющей стали выросли за год более чем на 45%. Эксперты отмечают рентабельность капитала компании значительно выше рынка и очень низкую долговую нагрузку.

{$POSI} 
Очень удачно сложился год для фондового новичка - компании Positive Technologies, IPO которой стало заметным событием декабря 2021 года. 

За прошедший год акции дебютанта выросли на 37%. Так уж совпало, что профильная тема компании – кибербезопасность - стала актуальна в 2022 году как никогда. К тому же из-за санкций Россию покинули многие западные IT-компании.

👉Лидеры отскока в индексе МосБиржи – кто счастливчики?

{$FIVE} 
Расписки X5 Retail Group к июню 2022 года опустились до минимума в 735 рублей с момента своего листинга на Московской бирже в 2018 году. 

Однако, оттолкнувшись от дна, бумаги выросли затем почти на 90% - до 1630 рублей.

Главные риски эмитента на текущий момент связаны с зарубежной регистрацией.

{$OZON} 
Почти 60% за второе полугодие прибавили расписки Ozon Holdings. В феврале котировки обновили «дно» на отметке 595 рублей.

{$FIXP} 
Котировки дискаунтера Fix Price Group дважды в этом году оказывались на дне (286,7 рубля) – 21 февраля и 26 сентября, но затем подросли почти на 19%. 

{$TCSG} 
Примерно со второй половины июня возобновилось позитивное движение в расписках TCS Group, которые с этого момента подросли более чем на 50%

{$VKCO} 
Ну и еще одна бумага смогла показать значительный отскок в последние полгода – расписки VK, прибавившие за последние шесть месяцев 45%

#прояви_себя_в_пульсе
#псвп
#новости #аналитика #советыновичкам #новичкам #прогнозы 


❌Не ИИР
В рамках стратегии [&Абсолютная величина](https://www.tinkoff.ru/invest/strategies/a30a5e5d-0478-4f6c-8c01-9693c4ef3199) продолжаем удерживать текущие позиции, временная просадка, сейчас хороший момент для входа в стратегию."
2022-12-26T20:10:45.896+03:00,{$TGKD} я новичок может кто объяснить где можно о торгах и о бирже узнать по подробнее без воды?
2022-12-23T12:54:15.838+03:00,"❗️ГЛАВНЫЕ НОВОСТИ 🔥
•🇧🇪 Бельгия вслед за Люксембургом выдала разрешение на разблокировку активов российских инвесторов.

•💼 Расчётный депозитарий СПБ Биржи направил в Министерство финансов Бельгии документы для последующей разблокировки ценных бумаг СПБ Банка и его клиентов.

•💼 ЦБ РФ смягчил позицию по имущественному цензу для получения статуса квалинвестора, который планируется ввести в первом квартале 2023 г, рассказали источники “Ъ” на рынке. Если исходно ЦБ предлагал поднять его с 6₽ млн до 30₽ млн, то сейчас обсуждается планка в 20₽ млн, рассказали два собеседника “Ъ”. Еще один источник “Ъ” утверждает, что речь идет о 15-20₽ млн.

•🔵 В #VTBR считают, что говорить о конкретных шагах по разблокировке активов пока рано.

•🇺🇦 WSJ: власти Украины прорабатывают детали предложений по мирному урегулированию конфликта.

•🇺🇸 Минфин #США объявил о введении санкций против имеющих к СВО отношение десяти российских организаций.

•💼 ВЭБ предложил разрешить подросткам торговать на бирже в качестве эксперимента.

•💵 Cредний курс покупки/продажи наличного доллара в банках Москвы на 10:00 мск составил 68,21/75,11 ₽.

•🛢 Собрание акционеров #TATN не состоялось из-за отсутствия кворума 22 декабря.

•🇷🇺 Если потолок цен на газ будет нарушать контракты {$GAZP}, Россия подумает, обязана ли она их исполнять - Путин.

•🚫 Мосбиржа с 25 января прекратит листинг акций {$TGKD}

•🏦 {$YNDX} банк начал принимать вклады физлиц.

•🔵 Банк {$VTBR} Казахстан начал выпуск карт российской платежной системы «Мир».

•🛢 {$SIBN} близка к снятию запрета для #SHEL на продажу 50% в их совместном предприятии «Салым Петролеум Девелопмент».

❗️СЦЕНАРИИ ПАДЕНИЯ РЫНКА:
https://www.tinkoff.ru/invest/social/profile/GMR/259ba5c8-395b-4fcc-aa48-9d313afa8201

🏆 БУДУЩИЕ ЛИДЕРЫ РЫНКА:
https://www.tinkoff.ru/invest/social/profile/GMR/1e5759bd-5d49-4441-a104-a439819f4678

🎓 СТАТЬ КВАЛОМ, БЕЗ ПРЕМИУМА И $:
https://www.tinkoff.ru/invest/social/profile/GMR/c764fa06-7c36-40e2-b043-3aa1f8c8d2c7

❔О СТРАТЕГИЯХ И ПОДВОДНЫХ КАМНЯХ:
https://www.tinkoff.ru/invest/social/profile/GMR/f9f4aed7-e3a7-4b4c-92e9-71f5972791aa

🔥 СТРАТЕГИИ
🚀 [&Go USD](https://www.tinkoff.ru/invest/strategies/d9f1eb20-cfa1-4f08-87f3-6beb3c6adc66) на +37%. Долетим до +50% и ребалансировка. Момент для входа хороший. Из всех USD стратегий она обладает наибольшим потенциалом сейчас.

😎 [&Антикризисная](https://www.tinkoff.ru/invest/strategies/3324b17b-e6c4-4c01-9f1f-992d0f402836) легендарная рублёвая стратегия, которая не падала никогда. При нынешнем рынке РФ я склонен заходить в него, обладая какой-то информацией, делать за час 10-30% и снова выходить в кэш. Такие шансы могут выпадать несколько раз в год, поэтому пока движения по стратегии происходят редко.

⭐️ [&Потенциал кратного роста USD](https://www.tinkoff.ru/invest/strategies/27b5c762-bd97-4c13-8459-69684aabc818) используйте просадку для входа. Ждём реализации глобальных процессов, которые приведут к росту стратегии более чем на 70%. Мои опасения за неё: 0/10. Швейцарские аналитики оценили её рост на 75-80% за 12 месяцев при базовом сценарии. И на 130-140% при оптимистичном 👍

Всем добра, успеха и берегите нервы 🤗
#новости #стратегии {$USDRUB} #Россия"
