time,text
2023-02-24T19:03:30.008+03:00,{$TRCN}  для себя
2021-06-14T16:51:17.755+03:00,"{$TRCN} Если что, больше не будут торговаться. Их выкупила группа ""Дело""."
2021-06-11T22:28:39.997+03:00,"{$TRCN}

Кажись, ПАО ""Центр контейнерных грузовых перевозок ТрансКонтейнер"" с 15 июля 2020 года теперь ЗАО. 😁"
2021-05-31T18:31:34.590+03:00,"Сегодня торговалась Россия, поэтому я решил посидеть чуть чуть в поиске менее известных для меня бумаг. 

Оказалось, что интересные компании есть и это было очень неожиданно. (Интересные по фундаменту). 

1) {$AQUA} - слышал, но не рассматривал никогда эту компанию. 
активы растут, капитал растёт, долг даже сократился. Выручку и прибыли вы в профиле компании можете посмотреть. 
Цена находится в районе максимумов, конечно, но присмотреться и изучить подробнее жто не мешает.

2) {$GRNT} - уже какое-то время платит дивы. Показатели достаточно привлекательные, но компания на дне. Верить в быстрине деньги тут не надо. Почитал пульс, что многие заходили и выходили с убытком - спрашивается, а чего делали то?! Я думаю, что выстрел может случится (так как показатели действительно привлекают, надеюсь, что посчитано верно и без обмана), но когда пойдёт рост тут никто не скажет. Можно подождать достаточно долго. Ещё буду анализировать и думать входить или нет, поэтому не считайте за рекомендацию. 

3) {$ISKJ} - пол года назад видел где-то в обзоре упоминание, но сам не натыкался на рассмотрение до этого. 
Рост гигантский, но кто сказал, что жто всё? Надо разбираться) выручка растет хорошими темпами достаточно давно, я даже удивился, что цена компании относительно не давно поднялась. Активы растут, долг сокращается, прибыль удержалась при росте выручки. Вроде все хорошо, но меня пока смущает, что компания маленькая очень. Почти 3 ярда рублей не так много, поэтому могут быть проблемы с волатильностью и ликвидностью. 

4) {$TRCN} - почему торги приостановлены?! 
Отличные показатели. Уже год нет истории цены. Жду появление торгов, чтобы принимать решение о покупке. 

5) {$GTRK} - ещё одна логистика, только в разы поменьше. Цена далеко от максимумов, фундамент вроде адекватный. Не знаю кому верить, финрендж показывает одни показатели, а тинёк другие;( надо проверять и лезть глубже. Но предполагаю может быть интересна покупка. 

6) {$VRSB} - стабильно растущая выручка меня подкупила. Прибыль тоже показывает рост, но не совсем стабильный. Активы по чуть чуть растут вроде при относительно стабильном долге. Рост последние пару лет был сильный, обратите внимание на это, если купить захотите. Вот бы в 2018 наткнуться на неё😂 

7) {$MDMG} - Адекватные мультипликаторы при регулярном росте цены. Тоже добавляю в вотч лист. Теперь я понял, что за «мать и дитя». Тоже не рассматривал до этого🙁

8) {$MOEX} - обращаю вообще внимание на падение цены. Давно хотел зайти (вышел как-то на росте и она убежала). Ближайшее время буду следить и вероятно покупать.

9) {$AKRN} - несмотря на падение прибыли, выручка продолжает рост. Падение прибыли бывало неоднократно и возвращалось обратно, надо проверить, но думаю волноваться не стоит. Активы показывают рост, долг на стабильном уровне.

10) {$RTKM} - выручка, долг и активы в росте, а прибыль только в этом году показала заметное увеличение. Ростелеком мне нравился всегда. Много госконтрактов, участвуют в стройках больших мероприятий. Жду момент покупки. Сейчас вроде интересна на среднесрок. Была небольшая коррекция. Закончилась ли?) 

Вот мой сегодняшний топ 10 для более детального рассмотрения. Иногда хорошо, что сша не торгует. 

Завтра продолжу писать о своём портфеле на следующий год. Будет США! Разделю наверное на 3 части, а то там список не маленький."
2021-05-28T19:16:22.908+03:00,"🇷🇺ИНТЕРЕСНОЕ ЧЕРЕЗ ПРИЗМУ на 28.05.2021г 

Всё самое важное и актуальное из мира российских ценных бумаг: 

✔🇷🇺🇪🇺🇧🇾 1. Россия входит в конфликт с ЕС через воздушное пространство Беларуссии. 

✔🇷🇺 2. Минцифры и Роскомнадзор поддержали закон о регулировании IT-гигантов. 

✔🇷🇺 3. В России планируется запретить цветной пластик, пластиковые трубочки, ватные палочки и одноразовую посуду, правительство уже готовит поправки. 

✔🇷🇺 4. S&P подтвердило рейтинг Роснефти ( {$ROSN}) ""BBB-"".Прогноз стабильный. 

✔🇷🇺 5. ИнтерРАО ( {$IRAO}) приобрела 11 строительно - инжиниринговых компаний и IT-компанию Сигма за 46,9 млрд рублей. 

✔🇷🇺 6. В марте-апреле OR Group ( {$ORUP}) наблюдала увеличение трафика в торговых точках на 12-15%. 

✔🇷🇺 7. Яндекс ( {$YNDX}) определил 12 направлений для устойчивого развития. Для каждого направления компания обозначила цели и задала метрики. 

✔🇷🇺 8. Чистая прибыль Трансконтейнера ( {$TRCN}) в 1 квартале выросла на 76,6%, до 3,4 млрд рублей. 

✔🇷🇺🇵🇰 9. Россия и Пакистан подписали соглашение о строительстве газопровода ""Пакистанский поток"". 

✔🇷🇺 10. Wintershall Dea передает свою долю в 50% в СП ""Волгодеминойл"" партнеру по проекту, дочке Лукойла Ритэк ( {$LKOH}). 

✔🇷🇺 11. Чистая прибыль Транснефти ( {$TRNFP}) в 1 квартале снизилась на 11%, EBITDA сократился на13%. 

ДИВИДЕНДЫ: 

✔🇷🇺 12. СД Русснефти ( {$RNFT}) решил по дивидендам за 2020 год: обычка - не выплачивать, преф- выплатить в размере $0,612 на акцию. 

✔🇷🇺 13. СД Русгрэйн Холдинг ( {$RUGR}) решил дивиденды по итогам 2020 года не выплачивать. 

✔🇷🇺 14. Акционеры Полюса ( {$PLZL}) утвердили дивиденды за 2020 год в размере 387,15 рублей на акцию. 

✔🇷🇺 15. ИнтерРАО ( {$IRAO}) намерена придерживаться текущей дивидендной политики и планирует направить на дивиденды за 2021 год 25% чистой прибыли. 

✔🇷🇺 16. СД НМТП ( {$NMTP}) утвердил дивиденды по итогам 2020 года в размере 0,06 рублей на акцию. 

✔🇷🇺 17. СД ТГК-2 ( {$TGKB}) решил дивиденды по итогам 2020 года не выплачивать. 

✔🇷🇺 18. СД Русгидро ( {$HYDR}) утвердил дивиденды за 2020 год в размере 0,053 рублей за акцию."
2021-05-28T15:51:50.998+03:00,"{$TRCN}
#TRCN 
  Финансовая отчетность Трансконтейнер по МСФО за 1 квартал 2021:

Выручка: 30,78 млрд руб (+46,4% г/г)
EBITDA: 6,59 млрд руб  (+ 69,9% г/г)
Чистая прибыль: 3,38 млрд руб (+ 76,6% г/г)"
2021-05-28T14:06:19.017+03:00,"Финансовая отчетность Трансконтейнера по МСФО за 1 квартал 2021г
Чистая прибыль 3,4 млрд руб (+76,6% г/г)
{$TRCN}"
2021-05-23T08:13:18.253+03:00,{$TRCN}
2021-05-07T10:18:01.270+03:00,"{$TRCN} Кто может сказать, почему торги приостановлены?"
2021-05-04T17:28:41.756+03:00,"🇷🇺ИНТЕРЕСНОЕ ЧЕРЕЗ ПРИЗМУ на 04.05.2021г 

Всё самое важное и актуальное из мира российских ценных бумаг: 

✔🇷🇺 1. В апреле Газпром ( {$GAZP}) продолжил наращивать добычу и поставки газа потребителям. 

✔🇷🇺 2. S7 Group обсуждает создание в России нового лоукостера. Компания ведет переговоры с Boeing и Airbus о лизинге самолетов. 

✔🇷🇺 3. Ozon ( {$OZON}) заключил эксклюзивное партнерство с «Рив Гош» о продаже представленных в сети парфюмерии, косметики и аксессуаров. 

✔🇷🇺 4. ФАС выдала предупреждение Лукойл-Юганскнефтепродукту ( {$LKOH}) о снижении розничных цен на бензин. 

✔🇷🇺 5. Инфляция в России по итогам 2021 года прогнозируется на уровне 4,85%. 

✔🇷🇺 6. Доля продаж новых электрокаров на российском рынке достигнет 25% к 2035 году. 

✔🇷🇺 7. ФАС одобрила заключение соглашения по построению сетей стандарта 5G между Ростелекомом ($RTKM), Башинформсвязью ( $BISV), Вымпелкомом ($VEON) и Мегафоном ( $MFON). 

✔🇷🇺 8. Объем транспортировки нефти по системе Транснефти ( {$TRNFP}) в апреле 2021 года снизился на 6,5% в сравнении с апрелем 2020 года. 

✔🇷🇺🇬🇧 9. BP выходит из проекта разработки Среднеленского и Олекминского участков в Якутии в рамках СП с Роснефтью ( {$ROSN}). 

✔🇷🇺 10. Финансовая отчетность Globaltruck ( {$GTRK}) за 2020 год: чистая прибыль -75% к году ранее. 

✔🇷🇺🇪🇺 11. Россия ввела ответные санкции против 8 представителей ЕС. 

✔🇷🇺 12. Экспорт газа Газпрома ( {$GAZP}) в дальнее зарубежье за 4 месяца вырос на 28%. 

✔🇷🇺 13. Татнефть ( {$TATN}) в январе-апреле сократила добычу нефти на 6,2%. 

✔🇷🇺 14. Сафмар ( {$SFIN}) увеличил долю в  РуссНефти ( {$RNFT}) с  7,817% до 11,107%. 

ПРЕДСТОЯЩИЕ ОТЧЁТЫ: 

✔🇷🇺 15. Ленэнерго ($LSNG) 5 мая опубликует финансовую отчётность за 1 квартал 2021 года. 

✔🇷🇺 16. МосБиржа ( {$MOEX}) 5 мая опубликует объем торгов в апреле. 

ДИВИДЕНДЫ: 

✔🇷🇺 17. Акции Polymetal ( {$POLY}) 5 мая последний день торгуются с дивидендом $0,89. 

✔🇷🇺 18. Акции Новатэка ( {$NVTK}) 5 мая последний день торгуются с дивидендом 23,74 рублей. 

✔🇷🇺 19. СД Россетей Сибири ($MRKS) решил по результатам 2020 года дивиденды не выплачивать. 

✔🇷🇺 20. СД МРСК Урала ($MRKU) решил по результатам 2020 года дивиденды не выплачивать. 

✔🇷🇺 21. СД Россетей Кубани ( $KUBE) решил по результатам 2020 года дивиденды не выплачивать. 

✔🇷🇺 22. ТрансКонтейнер ( {$TRCN}) - решения акционеров: выплатить дивиденды по результатам 2020 года в размере 215 ,91 рублей на одну обыкновенную акцию."
