time,text
2024-04-13T16:28:47.258+03:00,"✅Итоги недели по портфелю 💼

⚠️Доходность за 5 торговых дней составила 39060 рублей.

🟢Лидеры роста:
-Полюс золото + 9,1к {$PLZL}
-Норникель +7,8к {$GMKN}
-Золото +5,6к {$GLDRUB_TOM}
-Лукойл +3.3к {$LKOH}
-Новатэк +3к {$NVTK}

🔴Лидеры падения

-Тинькофф банк -303р {$TCSG}
-Транснефть -207р {$TRNFP}
-Белуга -186р {$BELU}
-Московская биржа -62р {$MOEX}
  

Дивиденды: +2600 ( чистыми)

Купоны : +280р

Больше информации у меня на канале ❤️"
2024-04-13T15:03:44.032+03:00,"Обзор компании Транснефть 🛢

{$TRNFP} — крупнейшая в мире нефтепроводная компания, владеет 68 тысяч км магистральных трубопроводов, более 500 перекачивающими станциями, более 24 млн кубометров резервуарных ёмкостей. Компания транспортирует 83% добываемой в России нефти и 30% произведённых в России нефтепродуктов.

Протяжённость магистральных нефтепроводов ПАО «Транснефть» составляет 50,8 тысяч км, нефтепродуктопроводов - 16,4 тысяч км.

Для сравнения: протяженность ее трубопроводной системы равна 1,7 диаметра Земли.

Финансовые показатели 📊

🔘 Капитализация — 1,2 ТРЛН ₽ 

🔘 P/E - 5 (2021)

🔘 BV/акция - 3868₽

🔘 P/BV - 0,44

🔘 EPS - 307₽ (2021) 

Отчет 📑 за 9 месяцев 2023г 

📌 Выручка — 884₽ млрд ₽ (7,2% г/г)

📌 Чистая прибыль — 190,5₽ млрд ₽ (420% г/г)

Последние новости 📰

🗞️ Транснефть в 2023 году снизила поставки на экспорт российской нефти на 6.5%, на российские НПЗ — увеличила на 2.3%

🗞️ Поставки нефти по системе Транснефти в 2023 остались на уровне 2022 , снизились в пределах 1%

🗞️ Транснефть в 2023 году на 10,9% увеличила транспортировку нефтепродуктов, до 43.3 млн тонн.

🗞️ Поставки нефти по Дружбе в 2023 году упали на 60%, потоки перераспределились в порты России.

🗞️ Федеральная антимонопольная служба (ФАС) утвердила повышение с 1 января 2024 года тарифов на услуги прокачки нефти «Транснефти» в среднем на 7,2%.

Как Транснефть экспортирует нефть и нефтепродукты? 🤔 (Данные за 2021г) 45% транспортировки это экспорт 🗺

~20% По нефтепроводу «дружба» в ЕС санкции на данный момент на него не наложено эмбарго. 

~20% По нефтепроводу в Китай 🇨🇳 

Более 60% эскортируемой нефти отправляться через порты 🚢

1️⃣ Козьмино 

2️⃣ Приморск

3️⃣ Новороссийск 

4️⃣ Балтийск

5️⃣ Усть-Луга 

Структура 📑 держателей акций 

📍Росимущество — 78,173% 

📍Прочие — 21,827% 

100% голосующих обыкновенных акций Компании принадлежит Российской Федерации в лице Федерального агентства по управлению государственным имуществом. 

Привилегированные акции Компании не являются голосующими и предоставляют их владельцам только право на получение фиксированных дивидендов по итогам работы за год.

                        💸Дивиденды💸

Дивидендная политика предусматривает выплату дивидендов в размере не менее 50 % от нормализованной чистой прибыли по МСФО и устанавливающим правила её нормализации.

С 2017 года внесли поправки в устав, что «размер дивиденда, выплачиваемый на одну привилегированную акцию, не может быть меньше размера дивиденда, выплачиваемого на одну обыкновенную акцию».

Средний прогноз дивидендов за 2023г составляет — ~177₽ (~11% ДД) 

#прояви_себя_в_пульсе"
2024-04-13T14:00:29.276+03:00,"Доброго времени суток всем 👋!
.      Мы продолжим наше обучение 📚 , ведь впереди еще столько всего нового!
.      А пока я решила немножко разобраться, в компании по транспортировке нефти и нефтепродуктов - Транснефть - привилегированные акции {$TRNFP} .
.      Привилегированные акции не являются голосующими и дают их владельцам только право на получение фиксированных дивидендов по итогам работы за год.
.      Ну а 100 % голосующих обыкновенных акций принадлежит Российской Федерации в лице Федерального агентства по управлению государственным имуществом.
.      А теперь к делу. Пока шел конкурс, я все время рассматривала графики 📊📉📈 и периодически я обращалась к МА (простой скользящей средней) -это индикатор движения цены.
.       Сейчас я попробую описать действие данного индикатора на примере выбранной нами компании:
.      🔸на графике я смогла определить модель ""Бычий 🐃 вымпел 🚩"". По описанию данной фигуры мы помним, что цена должна пойти вверх;
.      🔸а вот по разбираемому нами индикатору я пока этого не вижу, за исключением того, что   линии просто сблизились;
.      🔸метод расчета МА весьма прост - берутся цены актива за рассматриваемый период, суммируются и делятся на количество выбранных периодов;
.      🔸мои настройки: красная линия - 50 дней, а желтая - 20 дней, то есть среднесрочный период и краткосрочный. 
.      🔸чем длинней период, тем более плавно движется цена;
.      🔸движением цен на рынке управляют инвесторы, со своими типичными эмоциями, а это значит, что рынок подвержен влиянию психологии толпы, к примеру панике;
.      🔸эффективнее использовать индикатор МА вкупе с трендовыми линиями, в нашем случае, это линия поддержки, которая устремлена вверх;
.      🔸ну и конечно мы ищем точки пересечения. В моем случае, если желтая линия пойдёт вверх, а красная окажется снизу, то и цена пойдет вверх;
.       Теперь несколько слов о компании:
.      🔹является государственной монополией, ее бизнес устойчив и слабо зависит от макроконъюнктуры;
.      🔹ежегодная индексация тарифов на транспортировку обеспечивает стабильное поступление рублевой выручки, прогнозируемость результатов и стабильность операционной деятельности;
.      🔹в феврале 2024 года в бумагах компании произошел сплит — дробление акций в пропорции 1:100;
.      🔹акции интересны для частных инвесторов из-за стабильной и ожидаемой высокой дивдоходности, ну а по прогнозам аналитиков в 2024 компания может выплатить до 195 рублей на акцию;
.      🔹так же компания постепенно сокращает свои долги;
.      🔹в связи с переориентацией экспортных потоков на Восток стоимость транспортировки для нефтедобывающих компаний повысилась, что стало драйвером роста для доходов, а выручка и прибыль оказались рекордным;
.      🔹 Акции Транснефти — защитный актив с двузначной дивидендной доходностью, который отлично подойдет в долгосрочный дивидендный портфель.
.       Ну и коротко перечислим риски компании:
.      🔺прибыльность компании сильно зависит от индексации тарифов, которые контролируются государством;
.      🔺высокие процентные ставки в экономике делают дивидендные акции менее интересными в сравнении с долговыми инструментами;
.      🔺 ФАС утвердила повышение тарифов по прокачке нефти с 1 января 2024.
.       Исходя из вышеизложенного можно сделать предположение 🤔 , что модель ""Бычий вымпел"" сделает своё дело и цена пойдет вверх 🚀. При этом индикаторы МА, изображенные на моем экране, сначала соединятся, а потом желтая линия взлетит вслед за ценой.
.       И помните, решение по каждой бумаге всегда остается за вами!
.      Ну вот и все! Надеюсь 🙏 мой прогноз сбудется🤞!!!
.      Жду ваших комментариев, чтобы понять в чём я ошибаюсь или наоборот права. 
.      Всем спасибо, до новых встреч 👋!

@Azazello16 @TVG25 @PaPe @Yuri127804M  @rejenta @tetiaBonia  @Zulfiy @Yulia2541 @IzTa7 @Piligrim209

#хочу_в_дайджест 
#обучение
#новичкам
#дальше_больше
#прояви_себя_в_пульсе
#финграм
#мы_тинькофф_инвестиции"
2024-04-13T13:56:50.375+03:00,"Всем солнечной субботы 🏝️

В рамках ежемесячных пополнений, закинул на счет 20 к рублей💰
Закупился дивидендными акциями:

{$SBER} 1 лот 
{$PHOR} 1 лот
{$TRNFP} 2 Лота 
{$ALRS} 3 Лота 
{$MAGN} 4 Лота 
{$ROSN} 2 Лота 
{$TATN} 1 лот

Хотел прикупить {$LKOH}, но сейчас он стоит дороговато. Буду набирать позицию после выплат дивидендов 📉

Считаю данные дивидендные компании топы нашего рынка, которые радуют хорошими выплатами. 
Также, сейчас металлурги возвращаются к выплатам. Думаю, ММК тоже может заявить о более высоких выплатах, чем его визави. 

🎯 Цель на 2024 год получить 40 к дивидендами💰

Ваше мнение по данным акциям?"
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T11:14:45.965+03:00,"🚀Че купил?😎 Инвест-марафон от 12.04.2024

Индекс Мосбиржи {$TMOS} уверенно закрепился выше 3400 п. Вчера был одновременно и День космонавтики, и День хомяка. Весьма символично для фондового рынка, где хомяки то и дело стараются запрыгнуть в ракеты.

🛒Отпраздновав оба события, я продолжаю спокойно закупаться по своей отточенной годами тактике: акциями, облигациями и немножко валютой. Уверенно держу темп своего уже более чем 3-хлетнего Инвест-марафона!🏃🏼

📌 Итак, че купил на этой неделе?

АКЦИИ И ФОНДЫ АКЦИЙ:

⛽️ {$TRNFP} Транснефть-п - 2 акции

Транснефти никогда не было в моем 💼, т.к. до сплита бумага банально ""не пролезала"" в бюджет недельного пополнения. А копить деньги 1,5-2 мес. ради 1 акции, которая к тому же нарушит баланс портфеля, мне не очень хотелось.

И вот наконец менеджмент, оценив потенциальный объем новой ликвидности, наконец принял решение о сплите, чем я собственно и воспользовался.

📱 {$VKCO} ВК - 3 акции

Впервые с 2021 г. докупаю акции ВК. Спрашивается, нафига?

💩Ничего хорошего в результатах у этой конторы сейчас нет. Компания не смогла получить все выгоды от ухода конкурентов и нормально занять свободные ниши, что отразилось в отрицательной динамике прибыли. Из-за рекордных операционных затрат EBITDA почти нулевая, а бизнес убыточен.

Аналитики Сбера недавно подтвердили рекомендацию ""продавать"" ВК с целевой ценой 542 рубля (потенциал снижения - 10%).

😎Но я - тот самый человек, который покупал эти бумаги (когда они назывались MAIL) ещё в 2020-м году по 2200 руб. за акцию. Потом усреднял по 1600 руб., 1400 руб. и так далее. Поэтому потенциальной просадкой в какие-то жалкие 10% меня совершенно не запугать. Пфф, у меня и так по VK минус 63%.

👉Одним словом: взял, потому что на безоткатно растущем рынке у меня кончились идеи. А когда у меня нет явных идей, я обычно докупаю те позиции, которые занимают самую мизерную долю в портфеле.

🏦 {$EQMX} (Фонд на индекс от ВТБ) - 13 паёв

👉Итого на акции и фонды акций потратил около 8К рублей.
-----------------------------------------
ОБЛИГАЦИИ:

🇷🇺{$SU26244RMFS2} ОФЗ 26244 - 4 шт.

Это свежий выпуск ОФЗ-ПД с купоном в 11.25% - самым высоким из торгующихся на рынке. Подробно рассказывал про эту облигацию здесь.

🇷🇺{$SU26238RMFS4} ОФЗ 26238 - 9 шт.

Самая длинная облигация в портфеле - до погашения ещё больше 17 лет. Это ставка на переоценку тела при снижении ставки ЦБ, с потенциальной суммарной доходностью 20-30% за год.

🇷🇺 {$SU29025RMFS2} ОФЗ 29025 - 4 шт.

Самый свежий государственный флоатер с погашением через 13 лет. Недавно обнулился НКД, так что я с удовольствием начал покупки в качестве страховки от продолжения ужесточения ДКП.

💡{$RU000A105PR5} ИЭК Холдинг вып. 1 - 4 шт.

Выпуск давно у меня в портфеле, но в последнее время его доходность подросла, и я решил пополнить позицию.

ИЭК Холдинг осуществляет производство и поставки электротехнического оборудования под брендом IEK и телекоммуникацй под брендом ITK. Без амортизации и оферты, погашение в декабре 2025, купон 13,3%, доходность к погашению 16,44%.

👉Итого на облигации потратил около 17К рублей.
------------------------------------
ВАЛЮТА И МЕТАЛЛЫ:

🇨🇳{$CNYRUB} Китайский юань - 310 юаней.

В январе-феврале активно закупался золотом, и не зря - золото переписывает хаи, как и биткоин. Теперь аккуратно беру юань.

💰Всего вложил в активы на этой неделе: 28К рублей.

Как видите, пока ставка высокая и рынок дорогой - продолжаю активно закупать облиги, в т.ч. флоатеры. По {$USDRUB} допускаю, что в моменте мы ещё можем потрогать уровень 85-87 руб. Особенно, если реализуется риск санкций на НКЦ - тогда все начнут сбрасывать электронную валюту (если успеют 😁).

Получается, самый перспективный актив сейчас - это рубли под max фикс. процент плюс страховка в виде флоатеров.

🤑 Следующая закупка планируется 19.04.2024.

🔔Подписывайтесь, у меня масса интересного!☝️

📌Предыдущий выпуск марафона:
https://www.tinkoff.ru/invest/social/profile/Sid_the_Sloth/66beb5ba-b674-40f6-868f-3554f9d6db77/

#sid #инвест_марафон"
2024-04-13T09:59:53.336+03:00,"Добрый день
Открыла ИИС(старый закрыла)
Начинаю по тихоньку собирать портфель
Пополнила 3300 рублей 
Купила 
{$TATN} ( хорошая перспективная компания с частыми дивами)
{$IRAO} ( хорошая цена, дивы раз в год)
{$MVID} (чтоб была) 🤣
{$MAGN} ( во первых все ждут объявления дивидендов, да и в долгосрок хорошая бумажка)
{$NVTK} ( цена для долгосрочной покупки очень хорошая, буду ещё покупать)
{$GMKN} (купила после дробления, можно позволить , за одно и посмотрим)
{$UWGN} ( много брать не буду, но набирать обороты должна)
{$TRNFP} ( после дробления я думаю все покупают, так же дивиденды платят)
Так же купила облигацию {$RU000A106R79} (погашение через 4,5 года, как раз к закрытию иис)
{$LQDT} ( буду набирать на сдачу, темболее после двух лет держания освобождается от налогов)

Фонды выбрала 3 вида которые буду набирать в равных пропорциях {$TMOS} {$TDIV} {$TGLD} 

Для начала выберу все интересные компании потом буду наращивать объем.
Не иир. Не против если подпишитесь , спасибо."
2024-04-13T09:55:59.920+03:00,"И снова голосуем! Раз в неделю закидываю 10к на #портфель_пульса, а вы выбираете что мне купить.

На этой неделе распределяем 15400 = 10000+ 5000 от закрытой {$RNFT} в +8,2% и 400р прибыли.

В голосах как всегда максимум 2 тикера!

Итог за 3 недели: +1,25% 

Действующий портфель:
{$ROSN} +0,98%
{$TRNFP} +0,56%
{$CHMF} -0,25%
{$NVTK} -1,73%

Голоса принимаются до 22:00 воскресенья."
2024-04-13T04:17:47.757+03:00,"{$GMKN} товарищи, ну что? Не долго музыка играла? А на Транснефть новых санкций не накинешь, она тоже со сплитом да еще и с огромными дивами! {$TRNFP}"
2024-04-13T01:41:45.183+03:00,"🌟 В подборку лучших акций добавлены: бумаги Positive Technologies, HeadHunter и Южуралзолото 

❗️С момента последнего изменения списка лучших российских акций, которое было в начале апреля, индекс МосБиржи продолжил расти и превысил отметку в 3400 пунктов впервые с февраля 2022 года. 

📌 В начале апреля аналитики ""SberCIB Investment Research"" убрали из подборки лучших акций две компании – X5 Group и Ozon {$OZON} , а теперь вместо них были добавлены бумаги Группы Позитив, HeadHunter и Южуралзолота.

1️⃣ Positive Technologies {$POSI}, лидер рынка в сфере результативной кибербезопасности в РФ, недавно изменила параметры программы мотивации, которые стали более благоприятными для акционеров. В связи с этим её акции были добавлены в подборку.

2️⃣ HeadHunter {$HHRU} выгодна текущая конъюнктура на рынке труда России. Аналитики ожидают, что в 2024–2026 годах клиентская база компании продолжит расти двузначными темпами. После редомициляции, намеченной на вторую половину 2024 года, HeadHunter может вернуться к выплате дивидендов с доходностью около 13%.

3️⃣ Также в топ были добавлены акции {$UGLD} Южуралзолото. Цены на золото достигли $2350 за унцию и обновили свои исторические максимумы. EBITDA компании примерно в два раза более чувствительна к динамике цен на золото, чем EBITDA Полюса. При повышении цены на золото на $100 за унцию чистая прибыль Южуралзолото за 2024 год может увеличиться примерно на 20%

🔥 Полный список лучших акций, по мнению аналитиков SberCIB, с указанием целевых цен, а также потенциалом роста этих акций вы можете увидеть в таблице, прикреплённой к этому посту. 

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗



#акции #россия #пульс #новости {$IRAO}  #аналитика #трейдинг #инвестиции {$YNDX} {$LKOH} {$SBER} {$MOEX} {$NLMK} {$GLTR} {$TRNFP} {$SBERP}"
