time,text
2024-04-13T16:38:46.309+03:00,{$UGLD} что там по ценам на золото ?
2024-04-13T15:59:42.689+03:00,{$UGLD} госпада инвесторы дайте закупиться по нормальной цене пожалуйста))
2024-04-13T15:55:14.376+03:00,"💳 Компания Займер {$ZAYM} провела IPO, которое многие считают неудачным. Размещение акций произошло практически незаметно, без резкого скачка цен на старте торгов. Однако, несмотря на общее негативное отношение к компании, данное IPO было оценено как успешное для долгосрочных инвесторов. Вопрос о том, сможет ли Займер повторить успех других компаний, таких как Совкомбанк {$SVCB} и ЮГК {$UGLD}, остается открытым.

------------------------------------------------------

С Вас 👍 и подписка. А с нас уникальный контент (все своими словами) 😉 на постоянной основе.

↪️Информацию о стратегиях можете посмотреть в профиле.
💼Мы попытались создать полностью разносторонние стратегии, подходящие для каждого типа инвесторов.
🤔Главное: выбрать для себя оптимальную стратегию.

#IPO #Займер #акции #инвестиции #бизнес #компания"
2024-04-13T15:21:42.979+03:00,"{$UGLD} 
Будут ли лить с утра понедельника (в случае отсутствия новостей) ЮГК?
Мне кажется, да. Но откупят а течение дня.

Сегодня во внебирже неохотно, но 1м по 1.1 съели неторопясь"
2024-04-13T15:01:44.684+03:00,{$UGLD} у вас тоже плюс был минуту назад?
2024-04-13T14:19:17.873+03:00,"{$UGLD} в связи со всей геополитикой, стоит ли закупить я сейчас, или все же ожидать коррекцию в пн?"
2024-04-13T14:10:08.426+03:00,"Мои итоги последних IPO

Бум первичных размещений на Мосбирже набирает обороты. Объем привлеченных средств в ходе IPO в прошлом году составил более 40 млрд рублей. Как вы уже могли заметить, я остаюсь в тренде и много времени уделяю разборам бизнесов новичков на бирже. Сегодня хочу подвести промежуточные итоги, которых удалось добиться с подписчиками моего закрытого канала в Пульс @Vladimir_Litvinov_Plus

Итак, начну пожалуй с Астры {$ASTR}, которая в ходе первого дня торгов умудрилась сделать несколько планок и вырасти на 90%. С подписчиками зафиксировали более 60% профита, правда учитывая низкую аллокацию сумма оказалась небольшой. Котировки на текущий момент торгуются практически выше цены размещения на 85+%. 

Аналогичный трейд удалось сделать и на размещении Диасофта {$DIAS} Профит по закрытой позиции составил 40%. Уйдем недалеко от IT-сектора и обратимся к Делимобилю {$DELI} Мне импонирует компания, котировки которой торгуются выше цены размещения на 30+%. В IPO не участвовал, но активно разбирал компанию перед листингом. 

Далее у нас Henderson {$HNFG} и Евротранс {$EUTR} Несмотря на мою любовь к фэшн-ритейлеру, по позиции я получил единственный убыток, и то за счет необходимого ребаланса портфеля. Сейчас акции торгуются выше цены размещения на 12+%. А вот до Евротранса я так и не добрался. Котировки сейчас торгуются вблизи IPO, так что отсутствие трейда - тоже результат. 

Далее сразу комбо положительных сделок. С подписчиками отлично прокатились на IPO Совкомбанка {$SVCB} и Южуралзолото {$UGLD} Причем эти компании я продолжаю удерживать. Накопленной прибыли набежало безумные 50% и 90% соответственно. На это ушли считанные месяцы. 

По Европлану {$LEAS} результаты тоже считаю отличными. Всего за несколько минут удалось забрать 13% прибыли по спекулятивной части позиции, а вот инвестиционную продолжаю держать в плюс. Успешная реализация формализованных стратегий, позволяет нивелировать низкую аллокацию. Теперь еще жду предстоящие размещения МТС Банка и Элемента. 

❗️Аналогичных, а порой и лучших результатов, удается достичь подписчикам @Vladimir_Litvinov_Plus Мы не только «прожариваем» компании, но и готовим стратегию по работе в первый день торгов. Это позволяет кратно отбивать любые расходы на подписку на закрытый канал. Сразу при подключении, вы поймете насколько выгодно и полезно работать в команде. 

Всем хороших выходных!"
2024-04-13T14:05:04.924+03:00,"Сидим. Трещим. Инвестируем. Выпуск #1

В данной серии постов я буду делиться своими мыслями вслух по интересующей меня теме и размышлять о вариантах инвестирования. Заранее спасибо за поддержку.

🟡 Золото
На фоне геополитики и увеличения напряженности между Ираном и Израилем цены на золото впервые превысили 2400$ за тройскую унцию (пик был 2470$ по фьючерсу $GD1!). 
Конечно, закупаться на максимум золотом нерационально, но подкупать необходимо, чтобы было ""хоть что-то"". 
Проанализировав возможные инвестиции в золото, я рассматриваю следующие варианты:

• БПИФы
Я выбрал фонд Тинькофф Золото {$TGLD} ввиду наилучшей доходности за последние полгода/год относительно других фондов (от ВИМа {$GOLD} и Сбера $SBGD). Хотя казалось бы, все фонды состоят из золота и чуть-чуть валюты, но различия в 1-2%, многовато.

• Золотые облигации от Селигдара {$RU000A106XD7} 
Тело этих облигаций индексируется по цене золота в рублях. Вполне удобно и диверсифицированно, однако с покупкой немного подожду.

• Акции золотодобытчиков
Основные - имеющие еще потенциал к росту Селигдар {$SELG} и ЮГК {$UGLD} . Каждый раз, как смотрю на график Полюса {$PLZL}, говорю, что силы на рост исчерпаны, но компания сильная и находится в моем шорт-листе кандидатов.

• Криптозолото
Займусь изучением перед созданием и анализом своей криптовалютной части портфеля. Для интересующихся: пары XAUT/USDT или PAXG/USDT

Варианты инвестирования в золото не ограничиваются вышеуказанными, для диверсификации лучше иметь несколько. Еще один вариант - металлический счет в сбере, но много негативных отзывов, я в сомнениях.

Сколько золота у вас? В каком виде вы держите его у себя в портфеле? Будет интересно почитать.
Не иир

#инвестиции #золото #сидим_трещим"
2024-04-13T14:04:32.362+03:00,"Обгонять индекс( {$TMOS}) становится все сложнее и сложнее. Не уверены, что будут крутые истории с супер доходностью, как с {$SFIN} в начале года. Плюс чаще будут появляться такие темы, как с золотом, когда никто не успел купить {$UGLD} или {$PLZL} Золото.

Как по нашему, так в целом рынок достаточно справедливо оценен, Банк России работает со своей высокой ключевой ставкой,  свежих денег нет, пока все растет на старых деньгах. Однако, разрыв между М2 и капитализацией все ещё остается достаточно серьезный, что оставляет надежды.

Безрисковая доходность - 16% — это статистически очень высоко и с 2000х было менее чем в 2% случаев. Доходность по длинным ОФЗ уже почти 14%!!! Опять же статистически средняя доходность инвестиций в недвижимость с 90х годов (рост стоимости+ арендный поток) порядка 12-13%. Получается, просто купить длинные ОФЗ прямо сейчас и ничего не делать может вам принести очень неплохую доходность на горизонте 10+ лет!!!!

Поэтому очень важно правильно подойти к системе вашего инвестирования. Она должна соответствовать ситуации и очень желательно не приносить вам головой боли и волнения.

Наше для вас предложение
1. Инвестировать только в истории, где дивидендная доходность будет больше 10-12%
2. Искать соотношение P/E меньше 5, в крайнем случае 6.
3. Не инвестировать в компании с большим долгом
4.. Больше внимания обращать на ликвидность, чтобы успеть выйти в случае проблемной ситуации 
5. Шлаки покупать не более чем на 10% от портфеля 
6. С энтузиазмом подхватывать резко упавшие истории роста типа Позитив и Астра
7. Очень внимательно смотреть на IPO, стараться участвовать в них на плечо, так как аллокации не блещут.

В качестве вывода - Всем удачи в инвестициях!!!

#пульс_оцени
#акции
#облигации
#рынок"
2024-04-13T13:49:13.269+03:00,"{$UGLD} Ребята, помогите разобраться! Закуп был за 1,0955. Как такое может быть я не понимаю.Произошло всё после глючного старта торгов. Цена за все время +7, за сегодня -175 при одинаковой цене акции.Поддержка говорит, что всё ОК!"
2024-04-13T13:15:58.300+03:00,"{$UGLD} коррекция или рост в понедельник? Кто какого мнения, делитесь, только пожалуйста обоснованно"
2024-04-13T13:08:25.808+03:00,"ТГ КАНАЛ БАБЛОНАВТ ​ПРО ЗОЛОТО🗣:

О презренном металле
без эмоций и хиромантии.

Дисклеймер: данный текст не является инструментальным анализом, а представляет собой оценку масштабов и тенденций; числовые параметры округлены до тонн и десятков млрд.

За всю свою историю человечество добыло ~212 000 тонн золота, разведанные извлекаемые запасы ещё ~59 000 тонн. В отличие от других популярных коммодитиз (газ, нефть), добытое золото не исчезает после переработки, а остаётся в обороте и доступно для торговли и использования. 
При текущих ценах всё золото мира оценивается в довольно скромные ~ $20 трлн (для справки - долг США больше в полтора раза - $34 трлн).

Ежегодный рынок золота составляет 4 900 тонн, из которых 3 600 тонн – это добыча, остальное переработка.  Более половины потребляет ювелирка и  электронная промышленность, второй по величине потребитель золота – это мировые ЦБ, которые скупают в свои резервы более 20% (последние годы – с нарастающей прогрессией).

За всё время денежно-товарных отношений золото, как средство платежа, заработало себе максимальное доверие социума и никакое другое средство расчета, никакая фиатная валюта не могут с ним сравниться по исторической надёжности и устойчивости к инфляции (мешок муки в золоте в Древнем Риме стоил столько же, сколько и сейчас).

С другой стороны, золото – это беспроцентный актив и служит не инструментом инвестиционного заработка, а инструментом защиты в периоды, когда доверие к способностям монетарных властей обуздать инфляцию падает – «золото не сделает вас богатым, золото позволит избежать нищеты».

Многие профессиональные инвесторы (в том числе и я) недолюбливают золото за его ортодоксальную консервативность, но новая реальность, которая накрывает нас в последние несколько лет, заставляет всех встряхнуться и пересмотреть свои оценки. 

Явно просматриваются несколько факторов, которые начали гнать цены на «презренный металл» вверх:

1. Упорная и настойчивая скупка золота в активы мировыми ЦБ, обусловленная желанием уйти от рисков повторения «кейса России» - исключение из евродолларовой системы расчетов и арест активов.   

2. Нарастающий риск реализации «спирали смерти» с госдолгом США.

3. Рост мировой инфляции, которая не только заставляет бежать от фиатных активов в консервативное золото, но и значительно повышает себестоимость добычи этого металла (сейчас средняя себестоимость уже в районе $1850).

Если США и ЕС будут продолжать использовать свои валюты и финансовую систему как инструмент террора и как оружие, махая кнутом санкций налево и направо, тенденция разобщения экономик и ухода в консервативное золото только усилится, катализатором послужит импотенция минфина США в управлении долгом.

Сейчас общие резервы мировых ЦБ составляют ~ $20 трлн, из них в золоте ~$2,75 трлн (37 000 тонн) и совсем не выглядит фантастикой переток половины мировых резервов из долларов и евро в золото в ближайшие 20 лет в рамках всеобщей дедолларизации, деевровизации и дефрагментации мировой экономики. Что тогда будет с рынком американского госдолга страшно даже подумать, но это уже другая история. 

---

Лучшая идея, как заработать на золоте: ЮГК

https://www.tinkoff.ru/invest/social/profile/The_Buy_Side/557d64b1-ce68-401c-9c76-1c5130938083?utm_source=share

{$UGLD} {$PLZL} {$SELG} {$GDM4} {$GOLD}

#учу_в_плюсе #прояви_себя_в_пульсе #идея #акции #аналитика"
2024-04-13T13:02:19.225+03:00,"{$UGLD} продал акции компании, но продолжал мониторить.

Буквально на глазах выросли на 40 %.

Ну сколько можно упускать возможности?

Это при том, что при регистрации я купил ЮГК в первую очередь!

#потрачено #лихорадка #золото"
2024-04-13T12:52:26.937+03:00,"Не уверен что случится за выходные, но решил с плечем купить золото {$PLZL}  and {$UGLD} к утреннему росту в понедельник."
2024-04-13T12:40:00.016+03:00,{$UGLD} Еще вчера господин LDR говорил нам это так не работает. А уже сегодня продает 😁😁😁. Дружище ты 🤡🤡🤡
2024-04-13T11:44:05.309+03:00,"Российский рынок акций открылся вверх на позитивном внешнем фоне, после чего продолжал умеренно повышаться, периодически обновляя максимумы с февраля 2022 г. Восходящая динамика индекса МосБиржи была неустойчивой, он испытал несколько заметных коррекционных откатов от достигнутых вершин, но сумел закрыться недалеко от них в неплохом плюсе.

Препятствием для более уверенного роста нашего рынка выступала очередная решительная попытка укрепления рубля после того, как на утренней сессии его курс испытал заметное снижение. Правда, итоговый плюс российской валюты был небольшим.

Дополнительным фактором, ослабляющим покупки акций, могла выступать традиционная для пятницы осторожность инвесторов из-за опасений реализации каких-либо рисков на выходных. Если этого не произойдет, а в понедельник ключевые внешние и внутренние рыночные условия будут хотя бы нейтральными, скорее всего, индекс МосБиржи продолжит подъем с ближайшей целью в районе психологически важного уровня 3500 п.

Объем торгов (78,5 млрд руб.) немного увеличился, что не свойственно пятнице. С другой стороны, в предыдущие две сессии показатель сокращался и уже был далек от высоких уровней. Тем не менее сигнал от торговых оборотов умеренно позитивный, поскольку рост индекса МосБиржи с обновлением многомесячных вершин сопровождается некоторым усилением активности инвесторов.

Акции золотодобытчиков ускорили рост и показали сегодня результат существенно лучше рынка во главе с бумагами ЮГК. Усилению восходящей динамики сектора способствовало резкое подорожание золота, которое в моменте прибавляло более 3%, в очередной раз обновив исторический максимум. Правда, к нашему закрытию почти весь дневной плюс был потерян, затем стоимость драгоценного металла и вовсе ушла в минус.

Бумаги Норникеля вернулись к умеренному подъему после двухдневной коррекции. Стоимость никеля и палладия остается на относительно высоком уровне, хотя и наблюдаются решительные коррекционные попытки. В целом позитивное влияние оказывает и недавно проведенный компанией сплит — теперь инвесторам с меньшим капиталом будет комфортнее вкладываться в бумаги Норникеля. Видим и спекулятивную составляющую в их росте. Ближайшая цель покупателей — 166 руб. Годовой таргет аналитиков БКС — 180 руб.

Акции ЭсЭфАй после шести сессий снижения сильно отскочили от нового месячного минимума. Правда, к закрытию более половины внушительных дневных достижений было потеряно. С конца 2023 г. бумаги подорожали более чем в четыре раза в ожидании IPO дочерней компании Европлан, состоявшегося в конце марта, а также погашения 55% акций ЭсЭфАй, которое одобрили на прошлой неделе акционеры. По факту этих событий многие инвесторы решили зафиксировать большую и относительно быструю прибыль от удержания бумаг компании.

Бумаги Henderson на старте сессии совершили рывок вверх, вновь переписав исторический максимум. Котировки находились в хорошем плюсе, но вскоре перешли к коррекционному снижению и закрылись с ощутимыми потерями. Совет директоров рекомендовал дивиденды за I квартал 2024 г. (по факту за 2023 г.) в размере 30 руб. на акцию. Текущая дивидендная доходность — 3,8%. Это выше ожиданий рынка и минимального прогноза компании в 25 руб. У нас «Позитивный» взгляд на бумаги Henderson: привлекательная оценка в 4,7x EV/EBITDA и 9,5x P/E на 2024 г. на фоне прогнозируемого роста продаж и прибыли, а также выплаты дивидендов.

Расписки Ozon продолжили снижаться и обновили минимум с конца марта. Сегодня компания сообщила, что инвестиционный холдинг «Восток Инвестиции» приобрел около 28% акций Ozon у Baring Vostok Private Equity Funds. О том, что такая сделка произойдет в рамках разделения российских и международных активов фонда, было объявлено еще в декабре 2022 г.

Рубль в начале торгов активно дешевел, но после старта основной сессии быстро восстановился. Правда, развить восходящее движение не удалось: рубль умеренно сдал позиции и закрылся в небольшом плюсе к бивалютной корзине.

{$OZON} {$UGLD} {$SFIN} {$GMKN} {$IMOEXF} {$PLZL}"
2024-04-13T11:25:55.282+03:00,"{$UGLD} а если в понедельник будет дикий рост золота  🤔

То сейчас есть возможность перестраховаться"
2024-04-13T11:19:20.863+03:00,"Что лучше? Недооцененные алмазы {$ALRS} или растущее золото {$UGLD} ?
Шансов что подрастет Алроса мало, на крупные дивиденды рассчитывать не приходится. Но ситуация стабильна, хоть компания под санкциями. Гос-во купило алмазов, да и покупатели - Китай, ОАЭ и прочие, которым ""положительно"" на санкции - хватает.
А Южуралзолото растет на фоне подорожания золота, не плохой рост цены бумаги. Но будут ли хорошими дивиденды? Компания развивается, получает новые месторождения, но ввод в эксплуатацию новых месторождений требует затрат. Останутся ли деньги на дивиденды? Но растет Южуралзолото просто отлично."
2024-04-13T11:18:24.435+03:00,"Добрый день!
🤔 Статистика за эту неделю в фьючерсном эксперименте:

   - Золото {$GDM4}
     Статус: смешный
     За неделю +7.7%
     За всё время +57.75%

   - Юань/рубль {$CNYRUBF}
     Статус: лонг
     За неделю -0.38%
     За всё время -0.68%

   Комиссия за неделю - 0.13%


    📈Стратегия за неделю принесла +2.02%
 √ Обновленный состав портфель: 
 {$UGLD} {$ROSN} {$RTKMP} {$TATNP} {$MAGN} {$NLMK} {$MTSS} {$DELI}
 
  Друзья, у меня к вам пара вопросов:
 1. Нужна ли вам фьючерсная стратегия, у которой рекомендуемую сумму составляет 40 000–50 000 рублей и доходностью 50–100%?(Торговля фьючерсами на акции пока недоступна)
 2. Нужно ли выкладывать посты о сделках в стратегии, идеях и новостях?

Упомянули в @Tinkoff_Investments, написали о сделке {$WUSH}, принесшей 31% доходности, в которую было инвестировано 10-15% от депо.

[&Успех в одно касание](https://www.tinkoff.ru/invest/strategies/f9a975a1-c173-48aa-9fd7-9a41e821c711)

#инвестиции #рынок #стратегия #пульс #новичкам #фьючерс #автоследование #фьючЭксперимент #акции"
2024-04-13T11:12:39.010+03:00,"{$UGLD} Еще утром акция была в списках акций торги в выходные, открылась в 10:30 и полилась, закрыли и теперь ее нет в списках. Открыли видимо для избранных, манипуляция? Не ни разу."
