time,text
2024-04-11T11:32:02.291+03:00,"Торговые прогнозы по теханализу
от Тинькофф 
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha

Источник: Tinkoff trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

☝🏿60 + 60 🧮 Суммарно 120 дней премиум тарифа Вам БЕСПЛАТНО 

#акции #инвестиции #пульс #новичкам #рынок #прогноз"
2024-04-11T09:17:29.024+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 10 апреля
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
 💡 Tinkoff_Trading

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM"
2024-04-11T09:07:23.635+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 10 апреля
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha

Источник:tinkoff trading

🎁Подписка Tinkoff Pro — 2 месяца бесплатно
https://www.tinkoff.ru/baf/9Sw1eaRhl5S

🎁  Всё бонусы для вас выбирайте👉 https://www.tinkoff.ru/baf/5dnZXLiIsG2

Работа в Тинькофф — Приходи работать по моей ссылке и получи 5 000 ₽
https://www.tinkoff.ru/baf/88Kpw5YoQfo"
2024-04-11T07:28:43.939+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 10 апреля
RUB бумаги
 
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
 
❓ Как они попали в топ?
Мы смотрим на исторические данные за 10 лет, а именно: как часто возникали сигналы на покупку или продажу для каждой комбинации из тикера, индикатора и стратегии, и насколько они были прибыльными. Исходя из собранной статистики, мы показываем вам торговые идеи, которые в прошлом были самыми успешными. Больше идей ищите в разделе теханализа на полках в Что купить.
 

#теханализ #теханализ_в_пульсе"
2024-04-10T09:56:03.418+03:00,"{$UNKL} #UNKL дальше по прогнозу. 04.07.2023 над прогнозом много смеялись и спрашивали с какого фига цена должна пойти вниз. ну.... что могу сказать... терпения господа, терпения нам всем.
☝️ подожду цену. не буду торопиться.
🛎 если оттолкнётся от 8600, то можно рассматривать рост

прошлые прогнозы под хэштэгом
#прогноз_smart_investor_unkl

Да будет зелено в вашем саду  🍀
#прогноз_smart_investor
#прогнозы_акций_рф
#прогнозы_акций_сша
#криптовалюта
#учу_в_пульсе

📈 как понимать мои прогнозы
https://www.tinkoff.ru/invest/social/profile/_SMART_INVESTOR_/631533de-60b4-415f-b745-1325062de759/
📉 + здесь важные мысли
https://www.tinkoff.ru/invest/social/profile/SMART_INVESTOR_OFF/0b948463-a756-4f82-82cb-02b4bbe09f76/

🔍 как найти мои прогнозы
https://www.tinkoff.ru/invest/social/profile/_SMART_INVESTOR_/47f39cba-1f81-4aec-a099-b2957c52a0ba/"
2024-04-06T15:52:22.429+03:00,"{$UNKL} Мдааа, а так вчера хотела за ВСМО и РККЕ! Прямо очень хотела...Но местные хомячки не смогли."
2024-04-05T18:30:09.045+03:00,{$UNKL} 🤣🤣🤣 2 ММ воюют с друг другом
2024-04-05T17:13:10.861+03:00,"{$RKKE} пошла в рост перед днем космонафтики, на её фоне я дал идею на рост {$UNKL} , ЮУНК дал +7+8%, дальше я дал вам идею на рост {$CHMK}, она так же зашла, можно было легко зафиксировать 4,-4.5 %.
Конечно на фоне этих 3 бумаг, так же может ходить и {$KRKNP} , но она слишком тяжелая, много кто позастревал в ней, и как идею я не стал её вам давать"
2024-04-05T15:08:48.453+03:00,{$UNKL} это все ? Больше не взлетит ?
2024-04-05T14:53:02.871+03:00,{$UNKL} психанул кто то
2024-04-05T14:36:06.780+03:00,"На чем сегодня можно было заработать??? 

Данее я расскажу об акциях, которые сегодня ушли в плюс: 

РКК Энергия {$RKKE} акции за сегодня ушли в невероятный плюс на 20%🔥🔥🔥 и сейчас начали свою корректировку на уровне 31730 рублей. По моему мнению она и продолжится, без дальнейшего роста. 

ВСМПО-АВИСМА {$VSMO} акции за сегодня также принесли более 8%🔥🔥🔥 прибыли своём инвесторам, с чем я их и поздравляю. Сейчас они также ушли на корректировку. 

ЮУНК {$UNKL} показали за сегодня рост более чем на 5% и сейчас двигаются в боковом тренде на уровне 8890 рублей. По моему мнению их ждёт посадка в начале следующей недели. 

ДЭК {$DVEC} акции тоже показали небольшой рост в 3% и сейчас двигаются в боковике на уровне 3,553 рубля. Я считаю, что акции продолжат свое движение до конца дня в боковике. 

Мостотрест {$MSTT} акции тоже принесли более 2% за день и сейчас двигаются в боковом тренде,где и останутся до конца дня. 

Артген {$ABIO} акции сегодня в пике принесли более 4%, после чего ушли в корректировку и сейчас в плюсе от изначальной цены на 2% и двигаются в боковом тренде. 

Рынок РФ достаточно ограничен по количеству бумаг.
Не забывайте про диверсификацию и что существуют более перспективные активы, про них вы можете узнать в моем профиле.
В публичном портфеле я продолжаю держать драг металлы и валюту. 

#россия #акции #новичкам #инвестиции #аналитика #идея #прогноз "
2024-04-05T14:21:09.311+03:00,"{$RKKE} Пока больше вероятность что она уедет вниз, а не в планку. И вместе с ней поедут {$VSMO} и {$UNKL}"
2024-04-05T13:56:48.658+03:00,{$UNKL} хороший потенциал говорил ранее
2024-04-05T13:48:25.738+03:00,"{$UNKL}  как и писал 3 часа ранее, может пойти за {$RKKE} , кто участвовал забрали свои 7-8 %, так же не забываем смотреть как может отреагировать {$CHMK}"
2024-04-05T10:42:40.071+03:00,{$UNKL} сегодня ракета тут
2024-04-05T10:35:36.249+03:00,"{$UNKL}  помнится время ходил за космонафтом {$RKKE} РКК, подошли к отметке 28500 дав 8% роста, посмотрим отреагирует ли так же сильно на это ЮУНК"
2024-04-02T14:16:33.748+03:00,"{$UNKL} {$CHMK} брал тут https://www.tinkoff.ru/invest/social/profile/amidamien/79a7a2cc-3929-4523-af9f-871439272c61?utm_source=share
Долго они у меня болтались, целый месяц) UNKL закрыл в плюс 4000 р. CHMK ещё болтается, сейчас +7000 р (2,26%). Пусть еще поболтается. Хотелось бы в +10% закрыть. Нудные и скучные конечно акции"
2024-03-31T14:42:38.855+03:00,"ЮУНК {$UNKL}
#теханализ_в_пульсе 
Красный (цвет тут не важен, но чтобы вы видели тоже, что и я) молот на графике японских свечей на суточном тайм фрейме в последний торговый день может говорить о смене тренда. Что график скоро пойдёт вверх. 

4 дня до этого такой же молоточек уже отрабатывал. 

Нюанс ещё в том, что при боковом тренде этот сигнал часто ложный. А сейчас некоторые Пульсяне считают тренд боковым (а мне он видится нисходящим, пусть и плавным). Но брала в расчёт суточный таймфрейм, а не реже, в том числе, чтобы снизить вероятность ложного сигнала. 

По линиям поддержки и сопротивления цена сейчас как раз в точке пробоя уровня сопротивления. И я вижу два сценария

1️⃣ Или это тестирование пробоя и цена откатиться чуть вниз, а потом уже будет 2й или 3й успешный пробой верхней линии сопротивления. 
2️⃣ Или это уже не тестовый пробой и начат тренд вверх. В этой бумаге вижу по графику быстрые разворот тренда, без большого количества тестовых пробоев. 

🤔 Сейчас вижу точки входа для покупки:
•8 250 руб. (на 50 рублей бы подрасти завтра бумаге) 
•8 500 руб.
•8 600 руб.
Не знаю, почему, но при входе лесенкой всегда выбираю себе 3 точки входа и ориентируюсь по пикам цен, а не просто равные шаги цены). 

🤔 Точки выхода планирую такие:
•8 700 руб. 
•8 900 руб. 
•9 200 руб.
После первых двух продаж поставлю стоп лосс на 9000 или 9100, наверно, если пойдёт выше 8900, но не преодолеет 9200). 

Объем RSA внизу показывает, что в пт были большие объёмы покупателей. Что тоже подтверждает мысль о развороте цены вверх. 

⚡ Хотя по показателю #RSI перепроданности пока нет. Но зато видно (голубая волна внизу), что #перекупленность и #перепроданность - частые подруги этой бумаги. И обычно плавная голубая волна в других активах тут: просто пиерически пиковая молния. 

💡 Справочно для тех, кто вгружается в теханализ, но пока только начинает. 
🟢🔴 Цвет Молота значения не имеет. 
Что имеет большее значение, так это длинна теней и тела.
•маленькое тело (почти квадрат по форме)
•длинная нижняя тень (минимум в 2 раза длиннее тела)
•отсутствует верхняя тень (или очень малая)
•большой дневной разброс цен (т.е. min минус max)
•формируется на нисходящем тренде (иначе было бы другое название, но суть та же). 

👀 Психология людей на рынке во время формирования фигуры объясняется обычно так: длинный минимум в период свечи показывает, что 🐻 тянули цену вниз с довольно большой силой. Но по мере формирования свечи, 🐂 все-таки вытянули цену выше, так и нарисовалось на графике короткое тело и длинная нижняя свеча.

#учувпульсе #теханализ #пульс_оцени #хочу_в_дайджест"
2024-03-28T19:33:01.754+03:00,"{$UNKL} 

#теханализ_в_пульсе

Что ж, рассмотрим Южуралникель 🔎

Пока что основная поддержка - 7970. Ходит в канале, его вершину отметила на графике 2.

Точки входа: 7610, 7980, 8050 и 8150 (график 3). 

На втором графике отметила долгосрочные цели - 11219📍

 Промежуточная цель - 9400📌


Так как бумага волатильная, следовательно, объемы имеются как внизу (7610), так и вверху (8960). 

Сейчас ходит у нижней границы канала, можно ставить лимитку на один или несколько предложенных уровней и ждать либо промежуточные цели (9400), либо краткосрочную (8800). 

В Лонге на другом аккаунте с точкой входа 8150, там никуда не спешу жду 11400. 

В качества анализа тут использую профиль объема, для торговли интродей беру скользящие средние, а именно, смотрю точку их пересечения."
2024-03-28T15:59:26.512+03:00,"{$CHMK} как и предполагалась даст задир вверх, на фоне задира в {$KRKNP} сегодня и {$UNKL} вчера"
2024-03-28T10:31:54.032+03:00,"{$CHMK} вчера был небольшой набор позиции, на фоне роста {$UNKL} , посмотрим, сегодня может будет уже рост, на фоне роста {$KRKNP}  они все немного влияют друг на друга"
2024-03-27T18:49:29.421+03:00,"Добрый вечер, коллеги. День сегодня средний, я бы сказал скукота. 
Индекс во второй половине решил развернуться и пойти на Эверест. Закрылись 3304  Чудеса и никакой магии ))
Сегодня торговал немного {$SFIN} 
Взял еще на разгон {$SMLT} но скинул раньше , чем надо было 
{$UNKL} наконец-то дал выйти. 
В основном торговал сегодня {$ASTR} , приятно, оставил еще маленькую позу с переносом. 
На планке {$SFIN} смог залететь и купить, посмотрим расширят планку в итоге или нет.
Из среднесрочных позиций так и остались {$APTK} , {$IRKT} {$UWGN} 
{$LKOH} шорт пока оставил, но думаю завтра или послезавтра закрою."
2024-03-27T16:59:54.258+03:00,{$UNKL} как и было сказано ранее
2024-03-27T13:19:04.642+03:00,"•{$UNKL}  ушел вниз на коррекцию после роста, за ним пошел и {$CHMK} , так же как и сначала вверх, но сейчас ЮНКЛ вроде как разворачивается вверх, посмотрим даст ли прострел, на фоне этого {$CHMK} так же можем увидеть выше
•{$DELI} на хайпе роста {$ASTR}  и {$WUSH}  пошла бить рекорды
•{$VRSB}  на ожидания дивов пошла выше посмотрим, как на это отреагирует {$KLSB} , ДЭК к примеру уже успел дать шип на фоне Воронежа"
2024-03-27T10:58:45.271+03:00,{$UNKL} не уж то опять обманул?🤔
2024-03-27T10:44:38.601+03:00,{$UNKL} всё! Назад?
2024-03-27T10:41:12.230+03:00,"{$UNKL} ура, сдвинулся с мёртвой точки"
2024-03-27T10:40:56.309+03:00,{$UNKL} на сколько полетим?
2024-03-27T10:34:13.914+03:00,"{$UNKL} пошел выше, на фоне его часто растет и {$CHMK}"
2024-03-27T10:32:27.534+03:00,"{$UNKL} позавчера выставлял лимитку на покупку, хотел на половину портфеля варится, но не сраслось, а теперь локти только кусать🫣"
2024-03-27T10:24:03.091+03:00,"{$UNKL} ооо! Рад приветствовать тебя, мой долгожданный друг. Давай в этот раз без приколов, жду тебя на 20К"
2024-03-26T18:26:57.103+03:00,{$UNKL} пошёл в рост
2024-03-25T16:47:46.756+03:00,{$UNKL} когда эта хрень тронется на вверх ? 3 месяца уже падает
