time,text
2024-04-13T12:25:36.518+03:00,"🔥Торговая неделя закончилась, а значит пришло время подвести итоги [&Портфель акций роста](https://www.tinkoff.ru/invest/strategies/ca502e58-0d44-418a-be06-5369c5e5bab4). По итогам недели доходность стратегии составила 0,32 %, выглядит не очень особенно по сравнению с предыдущей неделей. Но напомню, что внутри стратегии в основном средне- и долгосрочные идеи. А рынок цикличен и за снижением всегда последует рост.

💸На этой неделе закрыли сделки:
• {$VTBR} - пока что закрыли, при подтверждении восходящего тренда возможно вернусь в позицию;
• {$SBMX} - как говорил ранее, не собирался долго сидеть в позиции, закрыл с целью высвобождения кэша;
• {$AQUA} - дополнительно открывал спекулятивную позицию, цена ушла в противоположную сторону, сработал стоп-лосс. 
📈Были открыты позиции по: {$ASTR}, {$FESH}, {$UPRO}, {$HYDR}.
🚀Наибольшую доходность в портфеле обеспечивают: {$GLTR}, {$SNGS}, {$ENPG}.
☝️В отрицательной зоне пока что: {$MTLR}, {$ASTR}, {$UPRO}.

🔥Основа портфеля это акции со средне- и долгосрочными целями, поэтому большую часть роста они ещё покажут. А небольшие застои в росте стратегии это отличное время для пополнения стратегии, либо входа в неё.
#стратегия"
2024-04-13T11:23:41.549+03:00,"{$UPRO} ""Почему уровни работают"" Контент от Василия 😁. Разбавить огорчение и вселить уверенность, тем кто верит и ждёт по 3₽. Он кстати держит позицию и набирает. 🐹🤞🚀⤴️⤵️🐋"
2024-04-13T00:52:04.661+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из индекса мосбиржи:

📈 Озон -1.2% {$OZON} 
Аэрофлот -1.0% {$AFLT}  
Мечел -1.0% {$MTLR} 
Газпром -0.9% {$GAZP} 
Тиньк -0.7% {$TCSG} 
Самолет -0.6% {$SMLT}  
РусАгро -0.6% {$AGRO}  
ИнтерРАО -0.6% {$IRAO} 
СовкомФлот -0.5% {$FLOT}  
Мтс -0.4% {$MTSS}  
Юнипро -0.4% {$UPRO}  
Мосэнерго -0.3% {$MSNG}   
Ммк -0.3% {$MAGN}  


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T22:49:32.978+03:00,"{$UPRO} 6 дней прошло 
Хороший тамада и конкурсы интересные !"
2024-04-12T22:26:19.422+03:00,"Решил взять {$UPRO} 
Подошли к трендовой, по логике должны отскочить
Стоп - 1,8% от текущих
Тейк +2% от текущих
Не иир

Подписывайся! 😉"
2024-04-12T19:56:53.594+03:00,{$UPRO} ну что сектанты? Где дивы 🤣?
2024-04-12T15:31:54.228+03:00,"{$UPRO} все истории на рынке уже отыграны с лихвой. Даже не знаю, что осталось из дешевых и в тоже время «здоровых» компаний. 
По сути тут два риска:
1. Владелец 
Вопрос национализации или то как это будет проходить. Многие боятся того, что государство может отжать компанию в доход бюджета, т.е. кинуть оставшихся 16% миноритарных держателей. 
Считаю данный риск необоснованным по след причинам: «овчинка не стоит выделки». 
Утрата доверия со стороны миноритариев и всего сообщества инвесторов, не стоит даже 100 таких Юнипро. 

2. Сроки
Ну это да, это про тех кому давят плечи."
2024-04-12T15:30:48.783+03:00,"{$UPRO} Думаю что Юнипро будет одной из идей озвученной на конференции PROFIT. Идея под изъятие данного актива у материнской компании Юнипер в пользу Российского эмитента.
Так как за 2 года на счетах компании накопилось очень много кеша, который пока что не могут пустить на дивиденды.

Вдруг кто не знает, на прошлой конференции PROFIT, спикерами были озвучены около 5 идей и все из них были реализованы.

На сегодня лично я уверен что Юнипро и Новатэк {$NVTK} будут среди идей на грядущей конференции.
Конференция, кстати, начинается завтра.

Не является индивидуальной инвестиционной рекомендацией."
2024-04-12T15:29:07.833+03:00,"{$UPRO} 
В данный момент топчется у уровня 2,46, можно наблюдать поджатие к этому уровню. 
Следующий уровень сопротивления 2,1, туда пойдёт в случае если сможет сейчас оттолкнуться, Если пробьёт 2,46 то скорее всего упадет до 1,986.
Подробнее 👆👆👆
Если интересны мои прогнозы Ставь лайк и Давай дружить❤🤝❤
Не ИИР
#теханализ #инвестиции #трейдинг #юнипро"
2024-04-12T15:13:56.314+03:00,"{$UPRO}
Почему падаем?"
2024-04-12T15:13:48.443+03:00,{$UPRO} на 2₽
2024-04-12T13:00:32.350+03:00,"{$UPRO} может сегодня , в День космонавтики, запустят нашу ракету?"
2024-04-12T12:36:05.501+03:00,{$UPRO} может кто объяснить почему мы следуем за индексом только вниз?
2024-04-12T11:43:28.523+03:00,"{$UPRO} цена компании копеечная , придёт кит и купит ."
2024-04-12T11:03:35.736+03:00,"{$UPRO} На коррекции должна политься))) Посмотрим, что 17го скажут"
2024-04-12T10:40:32.310+03:00,{$UPRO} вызываю 🌨 для гоев из 💵
2024-04-12T10:10:00.307+03:00,{$UPRO} что сегодня с объемами?
2024-04-12T05:00:20.088+03:00,"{$UPRO} к 27.04 акции в любом случае подрастут т к будет отчётность. Если отчёт зайдёт то и рост  будет 😎 к концу августа ожидаю 45-50% плюсом, ну а если отчёт будет плохой, продать их 27.04., и  5-6% можно будет заработать 🙃"
2024-04-11T19:34:46.853+03:00,"{$UPRO} сегодня был самый низкий объем торгов за последние два года 48 млн. 
Поздравляю товарищи."
