time,text
2020-02-18T22:53:33.200+03:00,"{$URKA} 
В приложении теперь есть возможность поучаствовать в первичном размещении Облигаций на Московской бирже. По уралкалию принимаются заявки ещё 12 часов, ставка до 8 процентов, срок 5 лет, номинал 1000₽
 {$MOEX}"
2020-02-04T14:19:49.855+03:00,"{$URKA} кто знает, почему биржа закрыта по этим акциям?"
2020-01-22T20:27:30.671+03:00,"Вчера мы узнали, что Андрей Белоусов стал первым вице-премьером. Наверное многие помнят предложение А. Белоусова в 2018 году изъять сверхдоходы у 14  компаний на сумму 513млрд. ₽. Тогда от такого предложения капитализация этих компаний сильно упала. Не вспомнит ли он про свои планы теперь? Вот сокращённый список: Evraz, {$NLMK} {$GMKN} {$CHMF} {$MAGN} {$MTLR} {$ALRS} {$PLZL} {$PHOR} {$URKA} {$AKRN}"
2020-01-15T12:54:52.133+03:00,"{$FXDE} ВВП 🇩🇪 Германии за 2019г +0,6% г/г. 

🎯 полное соответствие консенсус-прогнозу. 

📉 это самое низкое значение с 2014г. В 2016/17 рост составил 2,2%, в 2018г году 1,5%.

🚨честно говоря это плохо для всех нас. Европа важный с точки зрения капитала, совокупного мирового потребления и производства регион, а Германии считается первой в нем. 

🇷🇺Снижение носит потенциально опасный характер для компании из России, в частности таких как {$MTLR} (от 9 до 15% сбыта в Европе) {$GMKN} (56% по итогам 1 плг) {$PHOR} (около 20% сбыта в Европе), {$RUAL} (53% выручки из Европы за 9м), {$URKA} (12% по итогам 1 плг)

🗺Вместе с этим, замедление Германии - это сигнал о снижении экономической активности в странах импортерах продукции машиностроения, в т.ч. Китае. 

⚖️Замедление экономики в 2019г проявилось на фоне неопределённости, созданной торговой войной США с Китаем и другими странами(той же Европой). В текущем году мы столкнулись с неопределённостью, вызванной геополитической напряжённостью. Это может усилить негативный тренд, поэтому следует изучить свои инвестиции на предмет влияния дальнейшего падения темпов роста экономики, возможно пересмотреть стратегию на уход в защитные активы (золото, золотодобывающие компании, non-cyclical сектора)."
2019-12-12T16:39:12.889+03:00,{$URKA} почему он под замком всегда? Как купить?
2019-12-04T11:03:32.679+03:00,"👉 Среда (04.12.19) 💵🔥🛑 ВАЖНЫЕ СОБЫТИЯ  
Следим за отчётами сегодня в нашей группе телеграмм  https://t.me/FullTimeTradingRus 👈 
{$GAZP} - слушания по иску ""Нафтогаза"" о взыскании $3 млрд с ""Газпрома""
{$RSTI} - ""Россети"" проводят в Москве с 3 по 6 декабря 2019 года Международный форум ""Электрические сети"" (МФЭС) для обсуждения вопросов привлечения инвестиций в регионы в рамках цифровой трансформации. 
{$MRKY} - МРСК Урала - ВОСА - акционеры рассмотрят вопросы о досрочном прекращении полномочий членов совета директоров и об избрании новых.
{$URKA} - Уралкалий - ВОСА - акционеры проголосуют за уменьшение уставного капитала ""Уралкалия""
{$NVTK} - Новатэк - сд рассмотрит вопрос об участии компании в других организациях
{$LKOH} - Федун ожидается на конференции нефтегазовой отрасли в РФ"
2019-11-25T07:23:21.289+03:00,"Оценка проблемных компаний: метод реальных опционов. Disclaimer: статья сложная, много математики.

Часто обычным DCF невозможно оценить стоимость компании, которая испытывает финансовые трудности. Для примера возьмем КАМАЗ: у компании отрицательная чистая прибыль и Debt/EBITDA 15,1х. При расчете DCF EV равна 95 млрд. руб. Вычитая долг 106 млрд. руб. получаем отрицательную величину Equity Value, то есть расчетная цена акции отрицательная, что невозможно.

Рассчитать стоимость акций можно при помощи метода реальных опционов: принимается предпосылка о том, что акционерный капитал дает владельцам право ликвидировать активы и погасить долг фирмы. Таким образом владельцы компании имеют колл-опцион на ликвидацию фирмы, а он обладает стоимостью, даже если находится глубоко «вне денег». Выплаты по опциону:

V-D, если V>D
0, если V<=D

V – ликвидационная стоимость фирмы
D – долг

Рассчитаем цену опциона по формуле Блэка-Шоулза на примере КАМАЗа:

Equity Value=С=S*N(d1)-K*exp(-r*t)*N(d2), где

d1=(ln(S/K)+(r+ДИСП/2)*t)/(СКО*КОРЕНЬ(t))

d2=d1-КОРЕНЬ(ДИСП*t)

S=95 млрд. руб. – EV КАМАЗа методом DCF
K=106 млрд. руб. – долг
t=5,43 – дюрация долга, рассчитывается по данным отчетности
r=6,2% – безрисковая ставка (берем доходность ОФЗ на срок дюрации долга)
N(d1)-вероятность того, что нормальная случайная величина со средним 0 и СКО=1, меньше или равна d1. Рассчитывается в эксель по формуле НОРМ.СТ.РАСП(d1;ИСТИНА)

ДИСП=0,01337 – дисперсия EV. Для простоты, рассчитывал как дисперсию доходностей акций КАМАЗа, приведенную к годовому значению. Можно также учесть дисперсию долга – но она минимальна и разницы в расчете практически нет.

СКО=КОРЕНЬ(ДИСП)

Подставляя данные в формулу, получаем стоимость опциона, она же стоимость акционерного капитала КАМАЗа 21,5 млрд. руб. Делим на общее количество акций и получаем стоимость акции 30,5 руб. (-47% от текущей рыночной цены). Рекомендация – продавать. Оценка выглядит адекватно, учитывая:

1. Снижение кредитного рейтинга
2. Непонятную и непрозрачную программу капитальных вложений
3. Убыточность деятельности, существенный рост долга
4. Способность обслуживать проценты исключительно за счет субсидий

На первый взгляд метод реальных опционов выглядит сложным, но следуя описанному алгоритму этот расчет вполне можно сделать самостоятельно. Метод подойдет для оценки компаний с повышенной долговой нагрузкой, а именно: {$KMAZ} {$MTLR} {$UNAC} {$TRMK} {$FESH} {$RUAL} {$ENPL} {$AGRO} {$OBUV} {$GCHE} {$URKA} {$LNTA} {$AVAZ}"
2019-11-22T13:22:56.593+03:00,{$URKA} почему нет продаж
2019-11-20T20:12:24.246+03:00,{$URKA} а где акции!?
2019-11-04T00:27:20.545+03:00,"Третий эшелон может сработать или я снова в минусе? 😋
{$NKNCP} {$KRKNP} {$URKA}"
2019-10-29T21:57:01.237+03:00,"{$URKA} Уралкалий 
Чистая прибыль «Уралкалий» по РСБУ за 9 мес. 2019 г. составила 64,881 млрд. руб. против убытка 5,327 млрд. руб. годом ранее. Выручка увеличилась на 22,3% до 132,12 млрд. руб. по сравнению с 108,03 млрд. руб. в предыдущем году."
2019-09-24T14:13:08.310+03:00,"{$URKA} и где обещанный выкуп? Торги закрыты, акции зависли..."
2019-09-18T16:28:43.949+03:00,{$URKA} заходил по 88.1 жаль что уходят.
2019-09-18T15:23:27.931+03:00,"{$URKA} все помнят о выкупе? 19 сентября последний день торгов! 20 числа будет выкуп по 120 руб

#корпоративное_действие

Надеюсь когда-нибудь тут будут хэштеги, с ними будет проще искать материал🙏"
2019-09-17T11:46:05.524+03:00,"По {$URKA} будет принудительный выкуп.
Не удивляйтесь,если увидите на счёте новые бабосики)
120 руб. за бумажку."
2019-09-17T10:57:56.132+03:00,"Важная инфа по {$URKA} (или напоминание скорее)
20 сентября бумага будет выкуплена по 120 руб самой компанией, принудительно."
2019-09-17T10:49:27.751+03:00,{$URKA} выкупит свои акции у инвесторов 20 сентября по 120 р за бумагу. Сейчас они по 119)
