time,text
2024-03-21T18:02:19.734+03:00,{$USBN} . Есть тут с кем обсудить перспективы этой акции ?
2024-02-16T17:55:53.298+03:00,"{$USBN}
ДИСКРЕТНЫЙ АУКЦИОН: ОБЫКНОВЕННЫЕ АКЦИИ БАНКА «УРАЛСИБ» С 17:51 МСК ИЗ-ЗА РОСТА ЦЕНЫ БОЛЕЕ ЧЕМ НА 20%"
2023-12-21T23:04:29.132+03:00,{$USBN} .
2023-11-14T10:16:42.532+03:00,{$USBN} .
2023-10-25T00:40:49.977+03:00,"{$USBN} 

прошу обратить внимание на стоимость капитала - 116 ярдов!!!
Капитализация 70. 
Отношение капитализация / капитал = 0.6! 
Очень дешево. {$SBER} сейчас оценен в 1 капитал. 
То есть, если $USBN вырастет в 2 раза = только тогда он будет справедливо оценен. 

Нераспределенной прибыли сейчас более 60 ярдов! Капитализация 70... 
Самый дешевый банк в РФ. Среднесрочно он выстрелит."
2023-09-07T05:54:30.853+03:00,{$USBN}
2023-09-06T20:13:05.211+03:00,{$USBN} ждем взлета
2023-08-21T09:27:25.130+03:00,"{$USBN} один из интересных банков, который,судя по мультипликаторам, может повторить судьбу БСПБ"
2023-08-18T20:52:37.846+03:00,{$USBN}
2023-08-18T20:28:13.320+03:00,"на заметку

••{$USBN}  таргет 0.3, покупка не выше 0.19"
2023-06-08T14:18:05.757+03:00,{$USBN} на заметку
2023-04-10T15:41:55.186+03:00,{$USBN} Публичное акционерное общество «БАНК УРАЛСИБ» сообщает о проведении 25 апреля 2023 года внеочередного Общего собрания акционеров.
2023-02-24T11:07:13.329+03:00,"Великобритания ввела санкции против четырех российских банков, следует из материалов Минфина страны. Под санкции попали банки «Уралсиб» {$USBN} , «Зенит», МТС-банк, а также банк «Санкт-Петербург» {$BSPB}, $BSPBP. Ограничительные меры против этих российских кредитных организаций, в частности, предполагают заморозку их активов в Великобритании."
2023-02-09T17:23:55.230+03:00,{$USBN} новая акция
2023-02-09T05:31:13.433+03:00,{$USBN} боковик фигли говорить
2022-02-07T19:42:00.493+03:00,"ЦБ усилит контроль за переводами граждан и начнет принимать доносы.

По инструкции ЦБ, банки должны будут блокировать «подозрительные» транзакции и расторгать договор с клиентом. Помимо этого, теперь можно писать доносы на теневых собственников кредитных организаций.
{$SBER} {$VTBR} {$USBN} {$RU000A0JXQ85} {$MTB} {$BSPB} {$KUZB} {$RU000A102G01} {$AVAN} {$RU000A1034T9} {$PRMB} {$RU000A103760}"
