time,text
2024-04-13T16:32:34.144+03:00,"ЭХХХ НАСТОЛЬГИЯ 🥲😌💰

{$UWGN} {$LNZL} {$ROSN} {$AFLT} {$ETLN}"
2024-04-13T15:21:45.770+03:00,"Эту облигацию купил мой прадед в те времена... {$UWGN} 
{$MOEX}"
2024-04-13T13:18:42.554+03:00,{$UWGN} брать/не брать 🤔👀
2024-04-13T12:54:50.569+03:00,"{$UWGN} Кто-то тарит втихаря, при этом не поднимая цену. В таком случае может резко вверх ☝️ пойти как позиция будет набрана."
2024-04-13T12:42:26.858+03:00,"Добрый день итоги недели..
За неделю получилось прибавить к депозиту 8.3 % неделя была удачной..
Один из самых основных профитов дала {$LNZLP} по нему сделано сдело больше 300 спекулятивных,второй по величине дохода это {$ENPG} по нему можно было конечно куш сорвать во время коррекции рынка я его подбирал по 496 рублей а сдался в копейки если один день додержать было профита 5 раз больше..остальные профиты это маленькие {$UWGN} как обычно не много катал, {$RBCM} не много получилось взять, {$MVID} тоже самое по чуть чуть..
А самый большой лось по {$RNFT} последнее время не могу понять что происходит с этой бумажкой не какие уровни не работают..
А у вас как прошло неделя?
Всем профита 💤💤"
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T10:46:39.153+03:00,"{$UWGN} Что случилось? 
Биржа закрылась"
2024-04-13T10:43:32.318+03:00,"{$UWGN} а что, овк убрали с торгов на выходных?"
2024-04-13T10:39:14.386+03:00,{$UWGN} Это что было?
2024-04-13T10:34:44.415+03:00,{$UWGN} тебе только 👆можно! 😁
