time,text
2024-04-08T01:08:22.354+03:00,Куда исчезла половина бумаг? Я полтора года ничего не трогал {$ASTR} {$VEON} $DISH $AFFIMED
2024-04-05T00:16:17.159+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ПРОЖАРКА

#AnTraiding
{$PTON} Лонг на 5000 $ со стопом 3% и целью до 3% в рамках дня

 не буду закрывать, если пойдёт ниже.
Оставлю на завтра …

#AnTraiding
#SP500 летит ниже после слов ФРС.
Правильно, что сегодня ничего не покупали особо …
Не стоит спешить на таком рынке .

{$VTBR} Лонг по правилу сильных акций на вечерней сессии.
Объемы хорошие.
Стоп 1%.
Цель до 0,9%

{$VKCO} скорее всего уйдёт ниже 605 (-3%) и тогда будем ловить на 570 где-то (-9% еще).
Позицию оставил на 2 000 000 только.


#Энштейн
Также на свое усмотрение прикупаю {$AGRO} (1492,2) 4% от депо
Далековато от нашей средней, но апсайд по-прежнему имеется

#klepssignal
{$TSLA}  полностью закрыта
Вслед за колебаниями рынка

Рынок закрывается ниже 5150
Буквально за 2 часа теряет 2%
Завтра , если пробьет 5000-снижение может усилиться.

#FullTimeTrading
Помним что индек стpаха и паники живёт спайками - паника быстpо pастет и также быстpо остывает. Наша цель 20

По панели пpибоpов
Вывод: 
{$SPY} пpобил 20 EMA = самый сильный знак изменения быстpого бычьего тpенда (в контексте 22 недель без пуллбэка на недельном)

IXIC, SMH, QQQ, SX5E стpатегии не наpушили

Не забываем что мы всё ещё в общем восходящем тpенде, а значит начинаем искать точку входа по пpибоpам. Все кто пишут пpактику, должны написать её в своём выводе сегодня. Я напишу завтpа днём, чтобы посмотpеть какие кто напишет комибнации пpибоpов самостоятельно
На 100% в гэмблинге, используем 1.2 млн. дол.. 

#ГУДВИН
{$FIXP}  Начал ускоряться, я решил второй профит убрать, для него это слишком близко, оставил 337₽. Смотрим на Ленту и представляем, что скоро будет тоже самое в данной акции.

#ЧЕХОВ 
{$VTBR} попытка выйти из нисходящего тренда, пока все очень красиво! 
Лонг держим! 

{$SNGS} думаю скоро может ждать еще один сигнал на покупку, так что надо ждать. Когда дойдем до хорошего уровня = дам знать!

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅ {$UNAC} 1,485
Начал фиксировать 50-70% с прибылью +3,5-4%, если докупали по плану прибыль выше

✅ {$VEON} 42,1
закрыто 60% по тейкам 
с быстрой прибылью +3/4%💪
На остаток следящие стопы.

✅ {$TRMK} фиксирую 50% позиции на отметке 226₽ общий плюс +4.22% 
Стоп на точку входа !

✅ {$NAM4} 18210-18200
ещё 10% закрываю с прибылью +1,5%
отлично едем,📉 далее двигаю следящие стопы за ценой в р-не 0,5-1%
И мы снова победили💪

#BTCUSDT полностью закрыли имбаланс.
Сейчас жду отката в зону 66900$

🔥⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров""- уникальный проект в Пульсе"
2024-04-02T16:08:17.946+03:00,"{$TCSG} {$VEON} {$LKOH} {$MAGN} {$AKRN} {$PHOR} {$GMKN} {$RUAL} {$TRMK} {$RU000A101LJ0} 
Павел Дуров – наш!

Так, по крайней мере, считает Forbes. Издание опубликовало свой 38-й список «Двадцатки самых самых».
https://www.forbes.ru/society/508987-20-bogatejsih-rossijskih-biznesmenov-v-global-nom-rejtinge-forbes-2024?image=483893
Из наших или около наших, Владимир Потанин, которому сейчас принадлежит часть «Тинькофф» (5 место, $23,7 млрд), Алишер Усманов, чей холдинг владеет МегаФоном (9 место, $13,4 млрд), Михаил Фридман (10 место, $13,1 млрд) и Герман Хан (20 место, $8,5 млрд) владеющие LetterOne Holdings (VEON, Turkscell), а также братья Дмитрий и Игорь Бухманы (18, 19 место, по $9 млрд), создатели Playrix.

Но прекрасным считаем факт наличия Павла Дурова, владельца и создателя Telegram на 8 месте с состоянием в $15,5 млрд.

Forbes, конечно, в наше время, в идеальном положении. Мы всего положения дел не знаем, но на их месте, мы бы с одних брали деньги, чтобы они в этот почетный список попали, а с других – чтобы не дай Бог не попали. Ну а Пашу Дурова добавим, чтобы показать ему еще раз, чей он сукин сын. Но, это исключительно наши фантазии."
2024-03-29T19:42:49.766+03:00,"Всем добрый вечер и чудесных выходных, отдохните от биржи и приведите эмоциональное состояние в норму, с таким рынком) 

📄 {$FEES} МСФО 2023г: выручка 1,37 трлн руб (+16,6% г/г), чистая прибыль 161,3 млрд руб (+21,45% г/г)

📱 СП Мегафона, МТС и {$VEON} планирует опробовать техническую совместимость сетей 5g с существующим оборудованием — Минцифры

🏪 По итогам года дивиденды {$MGNT} могут составить 964,9 рубля на акцию - Альфа-Банк

🏪 {$FIVE} получила уведомление о заявлении Минпромторга РФ о приостановлении корпоративных прав на её российскую дочернюю компанию — X5

🗜️ {$NLMK} в 2023 году заплатило налог на сверхприбыль в размере 5,68 млрд рублей, говорится в отчетности компании по РСБУ за 2023 год.
📍 РСБУ 2023г: выручка 698,9 млрд руб (+5,5% г/г), чистая прибыль 221,48 млрд руб (+15,48% г/г)

💻 27 марта компания объявила о дополнительном обмене ГДР Noventiq на акции {$SOFL}, а уже 1 апреля опубликует финансовую отчетность за 2023г.

💎 {$RU000A100GW5} совместно с алмазодобывающей компанией {$ALRS} запустили цифровые финансовые активы (ЦФА), привязанные к продажам крупных редких бриллиантов инвестиционного класса с гарантированной валютной доходностью, говорится в пресс-релизе Альфа-банка.
📍Новый инструмент «Цифровые караты» запущен на блокчейн-платформе «А-Токен» Альфа-банка. Его средняя ожидаемая доходность в иностранной валюте составит до 8% на горизонте до одного года. Базовым активом в первом продукте «Цифровых карат» стал уникальный желтый бриллиант фантазийной формы огранки «Кушон» весом 11,49 карат.
📍«Цифровые караты» позволяют инвесторам участвовать в прибыли от будущей продажи бриллианта, предоставляя сниженный порог входа в инвестиции – цена за один ЦФА составляет $8301,5. Общий объем эмиссии составил 70 ЦФА или 70% от стоимости бриллианта. Оставшиеся 30% сохраняются в собственности «Алросы».
📍Продукт доступен только клиентам А-клуба, закрытого делового сообщества Альфа-банка. В дальнейшем продукт может быть распространен на более широкий круг инвесторов.

🛫 {$UNAC} Дата проведения заседания совета директоров эмитента: 05 апреля 2024 г.

🛴 {$WUSH} в рамках программы buyback в декабре выкупило свои акции на сумму 35,99 млн рублей, а с начала 2024 года — еще на 23,98 млн рублей, говорится в пояснении к бухгалтерской отчетности компании. Таким образом, суммарно компания потратила на выкуп 59,97 млн рублей. Как сказано в презентации к отчетности «ВУШ Холдинга» за 2023 год, по состоянию на 27 марта 2024 года компанией выкуплено 269 тысяч бумаг.
📍Совет директоров «ВУШ Холдинга» в ноябре 2023 года утвердил программу выкупа акций компании. Максимальное число акций в рамках buyback — 1,5 млн штук (около 1,35% уставного капитала).
📍В презентации к отчетности за 2023 год говорится, что текущий план — выкупить около 1 млн бумаг.
📍Программа buyback действует до 31 мая 2025 включительно. 

➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Как прошел ваш день? Рассказывайте)
Как и думал Европлан покажет 15% плюса со старта, показал даже больше, а дальше по примеру диасофта уже 😄

#фильм_на_вечер"
2024-03-27T19:20:53.096+03:00,"📺 Новости и подборка стратегий для автоследования

1. Мосбиржа {$MOEX} рассматривает варианты организации круглосуточных торговых сессий.

2. АФК Система {$AFKS} утвердила дивполотику на трехлетку, допускается рост выплат в 2025-2026 гг. темпами по 25-50% в год - компания.

3. Софтлайн {$SOFL} объявил отбор ИТ-компаний для потенциальной покупки.

4. VK {$VKCO} , Ростелеком {$RTKM} , Росатом и МТС {$MTSS} заинтересованы в покупке отечественных разработчиков операционных систем.

5. Мосгорломбард {$MGKL} запустил оптовую торговлю готовыми ювелирными изделиями.

6. Цена размещения в рамках допэмиссии ОГК-2 {$OGKB} составляет 0,5563₽ на акцию по закрытой подписке.

7. VEON {$VEON} продал долю в Beeline Kyrgyzstan.

8. СД Ростелекома {$RTKM} будет рекомендовать акционерам выплату дивидендов по итогам 2023 г. — Осеевский.

9. Член правления X5 Фрэнк Лейст {$FIVE} продал свою долю в акционерном капитале компании, сумма сделки составила $420 тыс.

10. Ашинский метзавод {$AMEZ} РСБУ 2023 г.: выручка +46,32₽ млрд (+9,1% г/г), чистая прибыль +9,60₽ млрд (-10,4% г/г).

11. СД Таттелекома {$TTLK} рекомендовал акционерам дивиденды за 2023 г. в размере 0,04887 руб/акция (ДД+4,6%), ГОСА - 21 апреля, отсечка - 27 мая.



➡️➡️➡️Подборка стратегий для автоследования 


 1️⃣ [&Новая Волна](https://www.tinkoff.ru/invest/strategies/69770387-d267-43ca-8c37-be50e319ece8)  Волна  самая прибыльная стратегия в Тинькофф Инвестиц https://www.tinkoff.ru/invest/strategies/?ta

=max-relative-yield

▪️На текущий момент, ввиду снижения рынка, имеет отличную точку входа с потенциалом по доходности более 70% в 24 году

2️⃣ [&Рисковая](https://www.tinkoff.ru/invest/strategies/463e9ec2-a514-42e9-9281-24b2af858ca7)
ТОП#1 доходности по итогам 2023 года👉 https://www.tinkoff.ru/invest/social/profile/a.v.sidorov/f506f44f-6acc-4a1a-bf08-16e23a79b661?utm_source=share

3️⃣ [&Рисковая 2.0](https://www.tinkoff.ru/invest/strategies/7ae25d71-6bd2-4488-b8ec-81e5ae6e4aed)  вторая версия с маленьким порогом входа и возможностью подключиться в самом начале взрывного роста 🚀

▪️Стратегии обладают повышенной волатильностью и потенциалом по доходности более 100% на 2024 год. Стратегия адаптивная под разные фазы рынка и стиль торговли может меняться в целях максимизации прибыли."
2024-03-27T19:01:59.047+03:00,"🚀 В профиле много других постов☝️

✍️ Всё самое важное и актуальное из мира российских ценных бумаг:

1. 🇷🇺 FinEx опубликовал цены заблокированных фондов, подлежащих обмену.

2. 🇷🇺 Мосбиржа ( {$MOEX}), являющаяся оператором обмена цифровых финансовых активов, ждет роста этого рынка в 70–140 раз к 2027–2028 годам.

⚡️Хочешь больше прибыли? Тогда присоединяйся к моему сообществу в Пульсе!

3. 🇷🇺 Чистая прибыль НМТП ( {$NMTP}) в 2023 году выросла до 29,3₽ млрд.

4. 🇷🇺 Озон ( {$OZON}) планирует запустить собственную страховую компанию во 2 полугодии 2024 года, Wildberries также рассматривает возможность выйти на этот рынок.

5. 🇷🇺 Мосгорломбард ( {$MGKL}) запустил оптовую торговлю готовыми ювелирными изделиями.

6. 🇷🇺 Whoosh ( {$WUSH}) открыл сезон в Москве.

7. 🇷🇺 VK ( {$VKCO}), Ростелеком ($RTKM), Росатом и МТС ($MTSS) заинтересованы в покупке отечественных разработчиков операционных систем.

8. 🇷🇺 Софтлайн ( {$SOFL}) объявил отбор ИТ-компаний для потенциальной покупки.

9. 🇷🇺 Мосбиржа ( {$MOEX}) работает над запуском собственного сервиса автоследования.

10. 🇷🇺 Газпром ( {$GAZP}) не поделится Сахалином-2 - компания выкупит долю Shell в проекте, получить которую прежде собирался НОВАТЭК ( {$NVTK}).

11. 🇷🇺 Майнинг криптовалют планируют признать экономической деятельностью и установить для таких предприятий промышленный код ОКВЭД.

12. 🇷🇺 СД Мосбиржи ( {$MOEX}): распределить всю чистую прибыль, полученную по результатам 2023 года на выплату дивидендов.

13. 🇷🇺 Мосбиржа ( {$MOEX}) рассматривает варианты организации круглосуточных торговых сессий.

14. 🇷🇺🇰🇬 VEON ( {$VEON}) продал долю в Beeline Kyrgyzstan.

15. 🇷🇺 Цена размещения в рамках допэмиссии ОГК-2 ( {$OGKB}) составляет 0,5563₽ на акцию.

16. 🇷🇺 OZON ( {$OZON}) 9 апреля опубликует отчётность за 2023 год.

17. 🇷🇺 Автозавод ГАЗ ( $GAZA) подал заявку на регистрацию нового товарного знака Volga.

18. 🇷🇺 ЦБ РФ: годовая инфляция снизится до 4-4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем.

19. 🇷🇺 ГК Астра ( {$ASTR}) 2 апреля опубликует отчётность за 2023 год и проведёт День Инвестора.

20. 🇷🇺 Газпром ( {$GAZP}) в 2023 году получил чистую прибыль в размере 695,6₽ млрд против 747,25₽ млрд годом ранее.

21. 🇷🇺 Сбор заявок на IPO Европлана ( {$LEAS}) продлится до 28 марта, 29 числа планируется старт торгов.

22. 🇷🇺 Акции Европлана предлагает единственный акционер — ПАО ЭсЭфАй ( {$SFIN}).

23. 🇷🇺 Книги заявок на IPO Европлана ( {$LEAS}) подписаны еще с прошлой недели.

24. 🇷🇺 Softline ( {$SOFL}) 1 апреля опубликует отчётность за 2023 год.

Если было полезно, накидайте 🔥

🟦🛩 Подписывайся - @ForceInvestor2"
2024-03-27T06:05:55.818+03:00,"Всё самое важное и актуальное из мира российских ценных бумаг:

1. 🇷🇺 FinEx опубликовал цены заблокированных фондов, подлежащих обмену.

2. 🇷🇺 Мосбиржа ( {$MOEX}), являющаяся оператором обмена цифровых финансовых активов, ждет роста этого рынка в 70–140 раз к 2027–2028 годам.

3. 🇷🇺 Чистая прибыль НМТП ( {$NMTP}) в 2023 году выросла до 29,3₽ млрд.

4. 🇷🇺 Озон ( {$OZON}) планирует запустить собственную страховую компанию во 2 полугодии 2024 года, Wildberries также рассматривает возможность выйти на этот рынок.

5. 🇷🇺 Мосгорломбард ( {$MGKL}) запустил оптовую торговлю готовыми ювелирными изделиями.

6. 🇷🇺 Whoosh ( {$WUSH}) открыл сезон в Москве.

7. 🇷🇺 VK ( {$VKCO}), Ростелеком ($RTKM), Росатом и МТС ($MTSS) заинтересованы в покупке отечественных разработчиков операционных систем.

8. 🇷🇺 Софтлайн ( {$SOFL}) объявил отбор ИТ-компаний для потенциальной покупки.

9. 🇷🇺 Мосбиржа ( {$MOEX}) работает над запуском собственного сервиса автоследования.

10. 🇷🇺 Газпром ( {$GAZP}) не поделится Сахалином-2 - компания выкупит долю Shell в проекте, получить которую прежде собирался НОВАТЭК ( {$NVTK}).

11. 🇷🇺 Майнинг криптовалют планируют признать экономической деятельностью и установить для таких предприятий промышленный код ОКВЭД.

12. 🇷🇺 СД Мосбиржи ( {$MOEX}): распределить всю чистую прибыль, полученную по результатам 2023 года на выплату дивидендов.

13. 🇷🇺 Мосбиржа ( {$MOEX}) рассматривает варианты организации круглосуточных торговых сессий.

14. 🇷🇺🇰🇬 VEON ( {$VEON}) продал долю в Beeline Kyrgyzstan.

15. 🇷🇺 Цена размещения в рамках допэмиссии ОГК-2 ( {$OGKB}) составляет 0,5563₽ на акцию.

16. 🇷🇺 OZON ( {$OZON}) 9 апреля опубликует отчётность за 2023 год.

17. 🇷🇺 Автозавод ГАЗ ( $GAZA) подал заявку на регистрацию нового товарного знака Volga.

18. 🇷🇺 ЦБ РФ: годовая инфляция снизится до 4-4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем.

19. 🇷🇺 ГК Астра ( {$ASTR}) 2 апреля опубликует отчётность за 2023 год и проведёт День Инвестора.

20. 🇷🇺 Газпром ( {$GAZP}) в 2023 году получил чистую прибыль в размере 695,6₽ млрд против 747,25₽ млрд годом ранее.

21. 🇷🇺 Сбор заявок на IPO Европлана ( {$LEAS}) продлится до 28 марта, 29 числа планируется старт торгов.

22. 🇷🇺 Акции Европлана предлагает единственный акционер — ПАО ЭсЭфАй ( {$SFIN}).

23. 🇷🇺 Книги заявок на IPO Европлана ( {$LEAS}) подписаны еще с прошлой недели.

24. 🇷🇺 Softline ( {$SOFL}) 1 апреля опубликует отчётность за 2023 год.

Источник: DARHAN"
2024-03-26T20:35:55.605+03:00,"Всё самое важное и актуальное из мира российских ценных бумаг:

1. 🇷🇺 FinEx опубликовал цены заблокированных фондов, подлежащих обмену.

2. 🇷🇺 Мосбиржа ( {$MOEX}), являющаяся оператором обмена цифровых финансовых активов, ждет роста этого рынка в 70–140 раз к 2027–2028 годам.

3. 🇷🇺 Чистая прибыль НМТП ( {$NMTP}) в 2023 году выросла до 29,3₽ млрд.

4. 🇷🇺 Озон ( {$OZON}) планирует запустить собственную страховую компанию во 2 полугодии 2024 года, Wildberries также рассматривает возможность выйти на этот рынок.

5. 🇷🇺 Мосгорломбард ( {$MGKL}) запустил оптовую торговлю готовыми ювелирными изделиями.

6. 🇷🇺 Whoosh ( {$WUSH}) открыл сезон в Москве.

7. 🇷🇺 VK ( {$VKCO}), Ростелеком ($RTKM), Росатом и МТС ($MTSS) заинтересованы в покупке отечественных разработчиков операционных систем.

8. 🇷🇺 Софтлайн ( {$SOFL}) объявил отбор ИТ-компаний для потенциальной покупки.

9. 🇷🇺 Мосбиржа ( {$MOEX}) работает над запуском собственного сервиса автоследования.

10. 🇷🇺 Газпром ( {$GAZP}) не поделится Сахалином-2 - компания выкупит долю Shell в проекте, получить которую прежде собирался НОВАТЭК ( {$NVTK}).

11. 🇷🇺 Майнинг криптовалют планируют признать экономической деятельностью и установить для таких предприятий промышленный код ОКВЭД.

12. 🇷🇺 СД Мосбиржи ( {$MOEX}): распределить всю чистую прибыль, полученную по результатам 2023 года на выплату дивидендов.

13. 🇷🇺 Мосбиржа ( {$MOEX}) рассматривает варианты организации круглосуточных торговых сессий.

14. 🇷🇺🇰🇬 VEON ( {$VEON}) продал долю в Beeline Kyrgyzstan.

15. 🇷🇺 Цена размещения в рамках допэмиссии ОГК-2 ( {$OGKB}) составляет 0,5563₽ на акцию.

16. 🇷🇺 OZON ( {$OZON}) 9 апреля опубликует отчётность за 2023 год.

17. 🇷🇺 Автозавод ГАЗ ( $GAZA) подал заявку на регистрацию нового товарного знака Volga.

18. 🇷🇺 ЦБ РФ: годовая инфляция снизится до 4-4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем.

19. 🇷🇺 ГК Астра ( {$ASTR}) 2 апреля опубликует отчётность за 2023 год и проведёт День Инвестора.

20. 🇷🇺 Газпром ( {$GAZP}) в 2023 году получил чистую прибыль в размере 695,6₽ млрд против 747,25₽ млрд годом ранее.

21. 🇷🇺 Сбор заявок на IPO Европлана ( {$LEAS}) продлится до 28 марта, 29 числа планируется старт торгов.

22. 🇷🇺 Акции Европлана предлагает единственный акционер — ПАО ЭсЭфАй ( {$SFIN}).

23. 🇷🇺 Книги заявок на IPO Европлана ( {$LEAS}) подписаны еще с прошлой недели.

24. 🇷🇺 Softline ( {$SOFL}) 1 апреля опубликует отчётность за 2023 год.

Источник:DARHAN

🎁Подписка Tinkoff Pro — 2 месяца бесплатно
https://www.tinkoff.ru/baf/9Sw1eaRhl5S

🎁  Всё бонусы для вас выбирайте👉 https://www.tinkoff.ru/baf/5dnZXLiIsG2

Работа в Тинькофф — Приходи работать по моей ссылке и получи 5 000 ₽
https://www.tinkoff.ru/baf/A4Y7hD2ycs4"
2024-03-26T19:16:40.232+03:00,"🔥 Сделал более 5 миллионов на фондовом рынке за прошлый год. Более +83%💸

✅ Подписывайтесь, делюсь своими идеями с подписчиками абсолютно бесплатно🔥

📅 Кратко главные события 

📌 #Дивиденды 

💰 Совет директоров НМТП {$NMTP} рассмотрит вопрос о выплате дивидендов за 2023 г. во 2кв. 2024 г. 

💰 Совет директоров Ростелекома {$RTKM} будет рекомендовать акционерам выплату дивидендов по итогам 2023 г.

📌 #Новости 

❗️Число погибших при теракте в «Крокусе» выросло до 139, сообщил глава СК.

•Сбербанк {$SBER} {$SBERP} частично отменит требования субсидирования льготной ипотеки. «С 28 марта отменяется требование субсидирования льготных ипотечных программ со стороны застройщиков {$PIKK} для зарплатных клиентов «Сбера». C 4 апреля полностью отменяется требование субсидирования льготных ставок для застройщиков, которые находятся на проектном финансировании банка. При этом девелоперы по-прежнему могут применять субсидирование для снижения ставки клиента», — говорится в сообщении Сбербанка.

•Мосбиржа {$MOEX} работает над запуском сервиса автоследования.

•Сезон проката электросамокатов {$WUSH} и велосипедов в Москве открыт.

•«Озон» {$OZON} и Wildberries планируют создать собственные страховые компании.

•VEON {$VEON} продает свою долю (косвенно владеет 50,1%) в «Beeline Кыргызстан». Ее покупает непальская группа CG Cell Technologies DAC. 

•Apple {$AAPL} терпит спад спроса на свой флагманский продукт на самом важном зарубежном рынке: поставки iPhone в Китай упали примерно на 30% в феврале.

•Биржевая цена какао впервые превысила $10 тыс. за тонну.

💼 Полный состав своего портфеля и все происходящие в нем изменения стабильно абсолютно бесплатно выкладываю в своем Пульсе каждую неделю, поэтому
✅Подписывайтесь, если Вам интересно😉

#пульс_оцени #прояви_себя_в_пульсе #хочу_в_дайджест #Портфель #Акции"
2024-03-26T19:14:57.616+03:00,"🇷🇺 НОВОСТИ И МНЕНИЯ ДНЯ 👇 

📌 {$VEON} 
VEON Ltd. (NASDAQ: VEON, Euronext Amsterdam: VEON), глобальный цифровой оператор, предоставляющий конвергентные соединения и онлайн-услуги, объявляет о подписании соглашения о продаже своей 50,1% косвенной доли в компании «Билайн». Кыргызстана компании CG Cell Technologies, которая полностью принадлежит CG Corp Global. 

📌 {$OGKB} 
Цена размещения в рамках допэмиссии ОГК-2 составляет 55,63 коп/акция — Интерфакс

«Цена размещения дополнительных акций ПАО „ОГК-2“, в том числе лицам, включенным в список лиц, имеющих преимущественное право приобретения размещаемых дополнительных акций: 0,5563 (ноль целых пять тысяч пятьсот шестьдесят три десятитысячных) рубля за одну акцию», — сообщается в документе, раскрытом компанией.

📌 {$FEES} 
Финансирование консолидированной инвестпрограммы Россетей в 2023-2024 гг. составит 992 млрд руб., говорится в проекте годового отчета компании, что вызовет рост чистого долга к EBITDA оценочно до уровней порядка 4х. При этом, в рамках поручений президента РФ, государство поможет Россетям госгарантиями для привлечения заемных средств на инвестпрограмму, если отношение долга к прибыли превысит 3,5х. С учетом поступающей геополитической информации, в рамках отраслевой тенденции, мы повысили с 10% до 20% дисконт – поправку, применяемую при расчете справедливой стоимости эмитента.
АО ИК «АКБФ»

📌 {$ASTR} 
Группа Астра вышла на публичный рынок недавно — в октябре 2023 года. Сегодня был установлен исторический максимум на уровне 699 руб. Обороты в последние дни выше среднего, но невысокие относительно рынка. Для продолжения роста акциям потребуется закрепиться выше психологического уровня в 700 руб. При этом с технической стороны бумаги выглядят перегретыми, что на короткой дистанции может спровоцировать коррекцию. «Альфа-Банк»

📌 {$GAZP} {$NVTK} 
Покупка российским Газпромом доли Shell в компании-операторе Сахалина-2 выгодна для концерна, который практически потерял трубопроводный рынок экспорта газа в Европу, а для Новатэка, который первоначально был единственным претендентом на проект, могла нести юридические риски, говорят аналитики.

Вместе с долей Газпром может получить в наследство от Shell take-off-контракт на 1 миллион тонн СПГ с Сахалина-2. Правительство РФ определило, что покупателем 27,5% акцийShell за 94,8 миллиарда рублей станет структура Газпрома — ООО Сахалинский проект. Причины отказа Новатэка от покупки не раскрываются.

📌 {$POLY} 
Компании листинг на Мосбирже больше не нужен, объективно не нужен он и инвесторам — интервью главы Polymetal Виталия Несиса Интерфаксу

📌 {$SOFL} 
Софтлайн компания роста, дивиденды не являются главным источником дохода инвестора - Альфа-Банк

📌 {$OZON} 
Ozon 9 апреля раскроет отчетность по МСФО за 2023г

💡 Смартлаб

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/1tlvX37NNSo

🎁 ВСЕ продукты Тинькофф с бонусами для Вас 👉 www.tinkoff.ru/baf/9VAAAzuMa7J

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #акции #news"
