time,text
2024-04-13T21:18:26.918+03:00,"{$VKCO} эх, опять запампили... А потом слили. Развели хомяков"
2024-04-13T19:55:07.403+03:00,"{$VKCO} мысли вслух....то..с чего я начинал...вот... есть жесткое...ну тут всё пропало....а есть мягкое...а вдруг отрастет...тут начинаются...мысли ...честно....я скинул бы всё прямо сейчас....но я надеюсь....ну там же паттерн...сук....если уйдет на 595....то я скину....но.... надежда уходит последней....я говорил, что лишь хорошая новость спасёт эту компанию...она была...но... я говорил....подбирай на дне...когда уже всё пропало ...и мой опыт тут подсказывает....что?....ну реально ничего....ну должно отрасти...но не сейчас..."
2024-04-13T17:59:25.355+03:00,"📱ФУНДАМЕНТАЛЬНЫЙ РАЗБОР {$VKCO} 

🔈VK опубликовал отчёт за 2023 год. После ухода западных конкурентов сервисы компании вроде как начали бурно развиваться: выросла аудитория, увеличилась выручка от рекламы, компания инвестирует в собственное развитие. С другой стороны, VK до сих пор не зарабатывает деньги, а только увеличивает свою расходную часть.

❗️В этом отчёте компания шокировала инвесторов своим убытком, который вырос аж в 9 раз. Но обо всём по порядку:

📈Выручка ВК в 2023 году составила 132,7 млрд рублей, что на 35,8% больше, чем в 2022 году. Традиционно социальные платформы и медиаконтент приносят большую часть общей выручки — 63,7%. Рост выручки этого направления составил 35% г/г до 84,6 млрд рублей благодаря увеличению доходов от онлайн-рекламы и увеличению аудитории. 

🔼Среднедневная аудитория VK выросла на 13% г/г до 76 млн пользователей. В прошлом году пользователи в среднем проводили на 6% больше времени в сервисах ВК по сравнению с 2022 годом: показатель Time spent составил 3,4 млрд минут в день. 

🕯Выручка сегмента образовательных технологий составила 15,9 млрд рублей, увеличившись на 42% г/г. Рост обусловлен высоким спросом на курсы холдинга Skillbox, консолидацией онлайн-платформ Учи.ру и Тетрика, а также ростом платящих учеников на платформе Учи.ру на 22% до 1,1 млн. 

📊Выручка сегмента технологии для бизнеса увеличилась на 68% г/г до 9,7 млрд рублей. Главными драйверами роста стали облачные хранилища, коммуникационные сервисы и продажи HR-сервисов.

✉️Выручка сегмента экосистемных сервисов и прочих направлений составила 23 млрд рублей, что на 21% больше, чем в 2022 году. Рост этого направления обусловлен ростом выручки Почти и Облака Mail.ru на 45% г/г, ростом продаж умных устройств на 40% г/г и ростом аудиторных показателей RuStore и VK Play.

💸Операционные расходы составили 133,4 млрд рублей, увеличившись на 60,9% г/г. В этом году операционные расходы превысили выручку!!! 

⚠️Сильнее всего выросли расходы на вознаграждение агентам - аж на 70% до 40,7 млрд рублей. Расходы на рекламу и маркетинг выросли на 75% до 24,6 млрд рублей. Расходы на персонал выросли на 43,8% до 55,8 млрд рублей! Компания становится всё больше - но эффективности ей это, увы, не добавляет.

📉Из-за всех этих расходов скорректированная EBITDA упала на 97,5% г/г до 0,5 млрд рублей, причём во втором полугодии 2023 года она была отрицательной -3,4 млрд рублей. А общая рентабельность по EBITDA составила рекордно низкие 0,4%. 

🔽Итогом 2023 года стал чистый убыток в размере 34,3 млрд рублей, что в 8,8 раз больше, чем в 2022 году. Когда ВК станет прибыльным в таких условиях - непонятно.

👀Сейчас VK концентрируется на рост аудитории, увеличении качества контента и развитии новых ниш. Но уже прошло много времени после ухода зарубежных конкурентов, а прибыли всё нет. 

✔️Сильно растут операционные расходы: если просуммировать расходы на маркетинг и персонал, то они забирают практически 73% от выручки. С другой стороны, запас прочности у ВК кое-какой есть. На счетах лежит порядка 51,3 млрд рублей в виде кэша и краткосрочных депозитов. Но с такими темпами затрат надолго их не хватит. 

🔖На наш взгляд зарабатывать на ВК можно только спекулятивно - либо набирать в долгосрок с надеждой на то, что когда-то количество перерастёт в качество."
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T13:40:40.243+03:00,"{$VKCO} Собственно, что мы имеем: небольшой разворот на днях из-за сильной перепроданности до этого. Есть два сильных уровня - 600 и 570-580 , от уровня 600 мы как раз таки оттолкнулись . На недельном графике можно видеть кучу надгробий, но говорить однозначно что -то сложно, ибо психологически уровень 600 все же значимее . Лично я сделаю так, дождусь понедельника , если не пробьет уровень 600 то возьму  до 640-650 в долгосрок , если пробьет, то дорога ей до 580 и там уже буду ловить.
Не иир"
2024-04-13T12:51:25.456+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#FullTimeTrading
#СВИНГ (лимитка)
ЛОНГ {$SPY}
5% ПОЗИЦИЯ
ВХОД: 508.76 (лимитной)
-3% pиска, 2 ATR от 10 EMA W

По панели пpибоpов
{$QQQ} деpжит своб 50 MA 

VVIX сильно удлинен 

Вывод: Мы в зоне нашей покупки потому что:
1. Коpоль SP500 впеpвые за 23 недели паpаболического pоста подошел в своей 10 EMA W (а мы помним пpозакономеpность отскока цены SPY на недельном от 10 и 20 EMA в бычьем тpенде). Кстати, он пока её не коснулся (смотpи гpафик)
2. S5TW пеpепpодан и находится у 15%, 10-20% это зона нашего основного свинга
3. S5FD у 4% - такой аномалии он давно не видел = можем ожидать возвpат цены к 5 MA = потенциальные зеленые дни

Но нам нехватает нескольких пpибоpов:
1. VIX должен коснуться 20
2. NDTW уйти в 10-20%

Как только мы получим эти ключи, в понедельник- втоpник, мы начнем последовательно, согласно стpатегии Зеленый Сад откpывать плечевые позиции в лонг

{$AAPL} молодцом, как мы и ожидали начинает показывать силу к pынку
Вот сейчас, помимо анализа ПП, пpиступаем к поиску акций-супеpкаpов и скидываем ваши вотч-листы на этих выходных
После того как найдем эту математически пpавильную точку входа, я смогу выдать сеpтификаты тем, кто каждый день выполнял пpактику ПП и пpодолжим её делать каждый день

#On_fleek
⭐️ Открыл шорт Ozon {$OZON} по 3701 руб на 10% от портфеля. Краткосрочно. Категория риска: высокая.

Страхую лонговые позици - крипта, американский рынок снизился, много неопределенностей. Непонятно как откроется рынок в понедельник.

#AnTraiding
{$VKCO} небольшую позицию увеличиваю в три раза примерно по 600.
Решил чуть чуть раньше первую покупку сделать ВКонтакте.

Следующий на рост будет тинькофф банк… {$TCSG}

{$VTBR} На большую сумму куплен в Лонг .
Однако сейчас, в другом портфеле пробуют технический шорт со стопом полтора процента и целью до 2%.
Хочу поймать движение красной стрелки на фото .
Мы предполагаем, что акция сначала упадёт проценты на два, прежде чем возьмёт сопротивление выше.
Шорт на небольшую сумму .
Цель всего до 2%.
Не исключаю, что сможем отработать сегодня или в понедельник .

{$PLUG} увеличиваю в три раза до 60 000 $
На 15 000 $ тейк 2% в рамках рубрики от средней

#VTBR напомним, что основная позиция ВТБ банка куплена у меня в Лонг.
В шорт я зашёл в другом портфеле.
Сумма шорта в 10 раз меньше суммы Лонга!
Ни злоупотребляйте !
Иначе все ваши шорты могут быть вынесены уже под конец сегодняшнего дня !

#VKCO теперь средняя ВКонтакте у меня 606 и позиции на 6 000 000 руб.
Я планирую держать на 20 000 000 руб., поэтому следующее увеличение буду делать не скоро.

{$NVTK} официально добавляю в долгосрочный портфель в этом канале. 
Цель 1700 (+31%).
Есть возможность увеличить минимум в два раза чуть позже .

Америка росла без отката долго, поэтому он возможен в ближайшее время.
Нет смысла что-то ловить на таком рынке.
Лучше не спешить, что мы и делаем.
Некоторую часть прибыльных позиций лучше зафиксировать .

#VKCO может отработать по правилам на вечерней сессии.
Если не отработает – первую долю по этой цене можно уже оставить в долгосрочном портфеле .

{$PLUG} сегодня в несколько раз лучше рынка.
Надеюсь он нашел почти свое дно )
Главное не злоупотреблять с размером позиции

#VTBR
Ну а пока ждём ниже на пару процентов )
А если на выходных мир взбудоражит новые военные проблемы, так вообще, в понедельник все цели придут …

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T12:32:42.460+03:00,"{$QIWI} интересно, есть компании {$OZON} {$OKEY} {$FIXP} которые генерируют либо отрицательную либо крайне низкую, по сравнению с капитализацией, чистую прибыль, про {$VKCO} вообще молчу и они не складываются в 2-3 раза. 

НО возьмём {$QIWI}, капитализация компании не изменилась на фоне ликвидации АО ""Киви-банка"", поскольку они её уже продали, АО ""Киви Финанс"" продолжит работать (уже заключили несколько договоров с партнёрами и продолжают вести переговоры с банками), а значит дебиторская задолженность перед QIWI PLC будет исполнена. Также знаем, что в июле по истечению срока ликвидации АО ""Киви банка"", QIWI PLC получит 9 млрд. Действительно, что QIWI PLC, что АО "" Киви Финанс"" сразу вернуться к прежней прибыли не сможет, но при этом есть огромный потенциал, в отличие от вышеперечисленных организаций. 


ОДНАКО акции QIWI PLC сложились в 3 раза, некоторые утверждают, что она банкрот и т.д., но капитализация не изменилась. Та капитализация, которая показана в ""Показателях"" Рассчитывается как кол-во акций умноженные на рыночную цену акций, не учитывая дебиторскую задолженность и интеллектуальную собственность. 

Теперь прошу инвесторов, утверждающих, что она банкрот и т.д. объяснить чем QIWI PLC отличается от вк, фикспрайса и озона и почему QIWI PLC банкрот?"
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T11:14:45.965+03:00,"🚀Че купил?😎 Инвест-марафон от 12.04.2024

Индекс Мосбиржи {$TMOS} уверенно закрепился выше 3400 п. Вчера был одновременно и День космонавтики, и День хомяка. Весьма символично для фондового рынка, где хомяки то и дело стараются запрыгнуть в ракеты.

🛒Отпраздновав оба события, я продолжаю спокойно закупаться по своей отточенной годами тактике: акциями, облигациями и немножко валютой. Уверенно держу темп своего уже более чем 3-хлетнего Инвест-марафона!🏃🏼

📌 Итак, че купил на этой неделе?

АКЦИИ И ФОНДЫ АКЦИЙ:

⛽️ {$TRNFP} Транснефть-п - 2 акции

Транснефти никогда не было в моем 💼, т.к. до сплита бумага банально ""не пролезала"" в бюджет недельного пополнения. А копить деньги 1,5-2 мес. ради 1 акции, которая к тому же нарушит баланс портфеля, мне не очень хотелось.

И вот наконец менеджмент, оценив потенциальный объем новой ликвидности, наконец принял решение о сплите, чем я собственно и воспользовался.

📱 {$VKCO} ВК - 3 акции

Впервые с 2021 г. докупаю акции ВК. Спрашивается, нафига?

💩Ничего хорошего в результатах у этой конторы сейчас нет. Компания не смогла получить все выгоды от ухода конкурентов и нормально занять свободные ниши, что отразилось в отрицательной динамике прибыли. Из-за рекордных операционных затрат EBITDA почти нулевая, а бизнес убыточен.

Аналитики Сбера недавно подтвердили рекомендацию ""продавать"" ВК с целевой ценой 542 рубля (потенциал снижения - 10%).

😎Но я - тот самый человек, который покупал эти бумаги (когда они назывались MAIL) ещё в 2020-м году по 2200 руб. за акцию. Потом усреднял по 1600 руб., 1400 руб. и так далее. Поэтому потенциальной просадкой в какие-то жалкие 10% меня совершенно не запугать. Пфф, у меня и так по VK минус 63%.

👉Одним словом: взял, потому что на безоткатно растущем рынке у меня кончились идеи. А когда у меня нет явных идей, я обычно докупаю те позиции, которые занимают самую мизерную долю в портфеле.

🏦 {$EQMX} (Фонд на индекс от ВТБ) - 13 паёв

👉Итого на акции и фонды акций потратил около 8К рублей.
-----------------------------------------
ОБЛИГАЦИИ:

🇷🇺{$SU26244RMFS2} ОФЗ 26244 - 4 шт.

Это свежий выпуск ОФЗ-ПД с купоном в 11.25% - самым высоким из торгующихся на рынке. Подробно рассказывал про эту облигацию здесь.

🇷🇺{$SU26238RMFS4} ОФЗ 26238 - 9 шт.

Самая длинная облигация в портфеле - до погашения ещё больше 17 лет. Это ставка на переоценку тела при снижении ставки ЦБ, с потенциальной суммарной доходностью 20-30% за год.

🇷🇺 {$SU29025RMFS2} ОФЗ 29025 - 4 шт.

Самый свежий государственный флоатер с погашением через 13 лет. Недавно обнулился НКД, так что я с удовольствием начал покупки в качестве страховки от продолжения ужесточения ДКП.

💡{$RU000A105PR5} ИЭК Холдинг вып. 1 - 4 шт.

Выпуск давно у меня в портфеле, но в последнее время его доходность подросла, и я решил пополнить позицию.

ИЭК Холдинг осуществляет производство и поставки электротехнического оборудования под брендом IEK и телекоммуникацй под брендом ITK. Без амортизации и оферты, погашение в декабре 2025, купон 13,3%, доходность к погашению 16,44%.

👉Итого на облигации потратил около 17К рублей.
------------------------------------
ВАЛЮТА И МЕТАЛЛЫ:

🇨🇳{$CNYRUB} Китайский юань - 310 юаней.

В январе-феврале активно закупался золотом, и не зря - золото переписывает хаи, как и биткоин. Теперь аккуратно беру юань.

💰Всего вложил в активы на этой неделе: 28К рублей.

Как видите, пока ставка высокая и рынок дорогой - продолжаю активно закупать облиги, в т.ч. флоатеры. По {$USDRUB} допускаю, что в моменте мы ещё можем потрогать уровень 85-87 руб. Особенно, если реализуется риск санкций на НКЦ - тогда все начнут сбрасывать электронную валюту (если успеют 😁).

Получается, самый перспективный актив сейчас - это рубли под max фикс. процент плюс страховка в виде флоатеров.

🤑 Следующая закупка планируется 19.04.2024.

🔔Подписывайтесь, у меня масса интересного!☝️

📌Предыдущий выпуск марафона:
https://www.tinkoff.ru/invest/social/profile/Sid_the_Sloth/66beb5ba-b674-40f6-868f-3554f9d6db77/

#sid #инвест_марафон"
2024-04-13T10:47:41.852+03:00,{$VKCO} на суточном графике рисует по фрейду.
