time,text
2024-04-12T11:49:25.442+03:00,{$VRSB} дивов не будет
2024-04-11T10:35:20.639+03:00,"{$VRSB} пермь летала, калуга летала, ты че стоишь не двигаешься"
2024-04-11T10:29:02.971+03:00,"{$VRSB} уже +57,5% от идеи🔥 где показывала, что акция сформировала дно при бычьей дивергенции, и это может привести к росту к дневной EMA200 и выше📈

Ссылка на прогноз:
https://www.tinkoff.ru/invest/social/profile/iTradesRUS/70f428e5-2153-4f95-a23e-161db9978087
____________
Жми🚀лайк, если прогноз был полезен
✅Подпишись на Профиль - получай первым прогнозы и идеи на трендовые акции РФ🇷🇺

#инвестиции #акции #идея #обзор #трейдинг #прояви_себя_в_пульсе #аналитика #пульс_оцени"
2024-04-11T10:26:08.503+03:00,{$VRSB} догоняй {$KLSB}
2024-04-10T20:11:54.592+03:00,{$VRSB} сколько ещё будет боковик
2024-04-10T16:14:38.006+03:00,"{$VRSB} почему привелигированные в Сбере растут, а эта тухлятина стоит.... Скакала по 30-40 руб верх вниз судя по графику,  уже 2 неделю стоит без движения💩💩"
2024-04-09T11:11:11.233+03:00,"#обучение_startsmall #трейдинг #учу_в_пульсе #прояви_себя_в_пульсе

    А теперь чуть-чуть базы про то, как работают подобные сделки как та, что была с {$RBCM}

    Всё это обычная механика рынка. Представьте себе, что вы тот человек, кто купил ее по 9,5 (я кстати покупал). Вы сидите на прибыли в 100+%. Рядовой хомяк создает спрос и гонит бумагу в планки день за днем. В какой-то момент вы, и еще несколько сотен таких же как вы начинаете забирать прибыль со стола, и спроса не хватает, как итог цена идет вниз. Хомы, которые покупали в планках, начинают убегать в ужасе, а некоторые не убегают и их везут вниз, процентов на 20-30 по итогу, там они, конечно, продадут.🐹

    По мере движения цены вниз📉, хомяки другого уровня начинают на маленьких фреймах искать какие-то пересечения макди 🔍🔎, перепроданности по RSI , трендовые с контртрендовыми и прочую лабуду, и так через энное количество смен рук цена продолжает сползать вниз на их стопах, в свою очередь дергая нервы тех, кто держит с уровней повыше.  🥶

    Но всегда наступает момент, где продавать уже некому, те, кто купил на самом верху и еще не продал, в надежде держат. А те, кто скинул в +100% могут и заново подобрать часть позиции, чем создают спрос. Другие участники рынка, видя спрос, тоже с удовольствием накинутся. 🐂 Так и происходит отскок. Если продавать некому, то бумага просто продолжит расти до новой волны фиксации прибыли (рис 1-1). Если же продавать есть кому, то после поглощения спроса, на стопах спекулей и продолжении снятия профита бумага отправится вниз (рис 1-2). Если крупным игрокам надо разгрузить совсем крупную позу, то могут прежде нарисовать какую-то консольку (рис 1-3) 

     А теперь понимая вот эту механику, посмотрите на сделки с точки зрения потенциала для отскока. Какой величины он может быть. Где будет больно тем, кто купил наверху  ? Волатильность в одну сторону, влечет волатильность в обратную. Это как подкинуть мячик - амплитуда должна спасть.⚽️  Процентов 20-30 от хая, без отскока, после роста на 60-100%. дает нам по самым скромным прикидкам потенциал для отскока на 10%, но как правило он выше, это 20-30% от ""дна"". Другой вопрос, что само ""дно"" поймать практически нереально, поэтому вход лесенкой я считаю оптимальной стратегией, и так и получаются примерно 10-20% прибыли по итогу.  

     Ради демонстрации системности явления прицеплю сюда недавнюю сделку по $LPSB, а также всеми любимые {$UWGN}  причем на этапе их даунтренда даже, после нескольких планок посмотрите на отскоки. Или {$VRSB}  или {$RKKE} 

     В общем, это то, что использую постоянно, а теперь еще и бот есть, который мне подсказывает, что что-то выпало из планки и на каких уровнях стоит ловить. 

    P.S. Абсолютно те же самые правила только в обратную сторону используются при резких проливах. Начало СВО возьмите, например. 

    Если было полезно, ставьте лайк. Делитесь, размножайтесь, пишите коменты, и большого профита всем 🤑  Startsmall - growhuge💪"
2024-04-09T07:52:02.618+03:00,"{$TGKJ} {$VRSB} {$UPRO} {$LSNGP} 

ПАО ""ФОРВАРД ЭНЕРГО""

СТОИМОСТЬ ЧИСТЫХ АКТИВОВ,
117 199 421 412,17 РУБ
РАСЧЕТНАЯ ДАТА 29.03.2024 
Отчетная дата 31.12.2023
🚀🚀🚀🚀🚀🚀🚀"
2024-04-08T20:47:42.882+03:00,"{$TGKJ} {$VRSB} {$UPRO} {$LSNGP}  Единогласно ""ЗА"". 2.3. Содержание решений, принятых Советом директоров эмитента: По второму вопросу повестки дня «О согласии на совершение сделки, в совершении которой имеется заинтересованность, и в соответствии с пп.31 (г) п.12.1 ст.12 Устава ПАО «Форвард Энерго».»: Заинтересованные лица и основания заинтересованности указаны в Приложении 2 к Протоколу. При принятии решения определить, что в соответствии с п. 15.9 Положения Банка России от 27.03.2020 № 714-П «О раскрытии информации эмитентами эмиссионных ценных бумаг», сведения об условиях данной сделки, а также о лице, являющемся ее стороной, выгодоприобретателем, не раскрываются в сообщении о существенном факте об отдельных решениях, принятых Советом директоров Общества. По четвертому вопросу повестки дня «О согласии на совершение сделки, в совершении которой имеется заинтересованность, и в соответствии с пп.31 (г) п.12.1 ст.12 Устава ПАО «Форвард Энерго».»: Заинтересованные лица и основания заинтересованности указаны в Приложении 4 к Протоколу. При принятии решения определить, что в соответствии с п. 15.9 Положения Банка России от 27.03.2020 № 714-П «О раскрытии информации эмитентами эмиссионных ценных бумаг», сведения об условиях данной сделки, а также о лице, являющемся ее стороной, выгодоприобретателем, не раскрываются в сообщении о существенном факте об отдельных решениях, принятых Советом директоров Общества. По пятому вопросу повестки дня «Об утверждении внутреннего документа Общества, определяющего политику Общества в области организации управления рисками и внутреннего контроля, в новой редакции.»: Утвердить внутренний документ Общества, определяющий политику Общества в области организации управления рисками и внутреннего контроля «Стандарт организации Управление рисками СТО 8.5.3-060-2024» в новой редакции в соответствии с Приложением 5 к Протоколу. 2.4. Дата проведения заседания Совета директоров эмитента: 02.04.2024 2.5. Дата составления и номер протокола заседания Совета директоров эмитента: дата составления протокола: 05.04.2024, протокол № 284/24. 2.6."
2024-04-08T13:54:07.220+03:00,"{$VRSB} энергетика чуть пошла) 
Возможно и эта пойдёт вверх сегодня"
2024-04-07T21:25:30.291+03:00,"Дивидендный календарь. Что интересного произошло на российском фондовом рынке за неделю? 💰

Четырнадцатая неделя 2024 года получилась неделей не выплачиваемых дивидендов от всех локальных энергетиков, индекс растет, рубль отдыхает, все ближе IPO МТС банка, ждем информации, и обо всем интересном в сегодняшнем выпуске, поехали!

•🟢 Рекомендации и утверждения 
Утверждений не было, а вот КуйбышевАзот рекомендовал выплаты, небольшие, но все же.

•🎯 КуйбышевАзот. 
Размер дивидендов: 15,0 руб  
Дивидендная доходность: 2,2% 
Период: 2023 (реестр 24 мая 2024)

Скромная неделя в плане объявлений, зато рекомендаций не выплачивать было хоть отбавляй. Мать и Дитя, первая дала команду не выплачивать дивиденды, после них ЭЛ-5 Энерго,  ТНС Энерго (НН, Ростов- на-Дону, Ярославвль, Марий Эл, Воронеж, Кубань) оставят инвесторов без дивидендов.

🟡 Прогнозы по дивидендам за неделю 

•🏪 Магнит. 
Размер дивидендов: 965,0 руб  
Дивидендная доходность: 12,15% 
Период: 2023 (реестр 19 июня 2024)

•⛽ Роснефть. 
Размер дивидендов: 29,0 руб  
Дивидендная доходность: 5,1% 
Период: 2023 (реестр 1 июля 2024)

•🛢️ Сургутнефтегаз АП. 
Размер дивидендов: 12,3 руб  
Дивидендная доходность: 18,39% 
Период: 2023 (реестр 1 июля 2024)

•🖥️ Группа Астра. 
Размер дивидендов: 6,9 руб  
Дивидендная доходность: 1,01% 
Период: 9 месяцев 2023 (реестр 30 июня 2024)

•💨 КазаньОргСинтез. 
Размер дивидендов: 9,1 руб  
Дивидендная доходность: 8,48% 
Период: 2023 (реестр 11 июля 2024)

•⚡ РусГидро. 
Размер дивидендов: 0,079 руб  
Дивидендная доходность: 10,78% 
Период: 2023 (реестр 11 июля 2024)

Также еще аналитики прогнозируют дивиденды у 🏪 X5 Group под 430 рублей на акцию. Думаю, необходимо дождаться переезда и ждать уже официальной информации от менеджмента компании

•Что еще?

•📈 Индекс Мосбиржи штурмует новые высоты, в моменте даже прибавлял выше 3 400 пунктов, но закончил неделю на уровне 3 395 пунктов, поднявшись с 3 332.

•🪙 Рубль притаился, стабильно держится на уровне 92,4-92,6 за доллар. Неделю закрыл на уровне 92,5.

•🛢 Нефть марки Brent 90,87$ за бочку, дисконт российской нефти становится минимальным к мировым ценам, российская нефть торгуется выше потолка, установленного странами G7, и это не может не радовать. Проблемы, которые были с поставками нефти в Индию, по косвенным причинам, вроде как разрешаются, а все потому, что некоторые из наших нефтяников, осознали, что работать как раньше не получится (уже никогда) и придется отрывать жопу от кресла, переставать быть придатком западных трейдеров, соблюдать ограничения ОПЕК+, кто держит акции нефтяников, могут быть рады. Дальше-больше!

• 💿 Поддержка устойчивости компании в приоритете перед выплатой дивидендов, заявил менеджмент Норникеля. Также компания завершила сплит акций 1 к 100. Переживают не самые лучшие времена, дивидендов пока не видать, как своих ушей, но зато акции стали доступнее. 

•📱 Впереди нас ждет из самых знаковых IPO 2024 года, МТС Банк планирует выйти на биржу, предполагаемая оценка компании 100-110 млрд. Ждем или не ждем?

#аналитика #рынок #мнение #новости #дивиденды

{$KAZT} {$MDMG} {$ELFV} {$VRSB} {$MGNT} {$ROSN} {$SNGSP} {$ASTR} {$KZOS} {$HYDR} {$FIVE} {$MOEX} {$GMKN}"
