time,text
2024-04-13T15:53:57.974+03:00,"{$VTBR} Костин, когда допка на покупку Сбера?"
2024-04-13T15:02:30.822+03:00,{$VTBR} Привет✋👋! Давайте присмотримся поплотнее к ВТБ🤔! На самом деле у неё огромный потенциал для роста в 2024году🤑! Я зашёл в неё на 77к 😎! Хочу забрать за год больше 35%🤑! Ты со мной🤓?ПОДПИСЫВАЙСЯ👆😎! Я выхожу только в плюс💵📈!
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T13:08:07.428+03:00,"✏️ Здравствуйте Уважаемые друзья! 🤝

1️⃣5️⃣ неделя марафона #марафон2024🏃‍♂️

📅Каждую неделю по 500 рублей на 4 счета
(акции, облигации, фонды, инвесткопилка).

🧰Пополнение: 2000 руб.
Всего: 30000 руб.
__________________________________________
1️⃣💰Брокерский (акции).
✅ Покупка Татнефть {$TATN} по 703,69 руб. В портфеле 3 шт. средняя 709,3 руб. 

💼Портфель:
🟢Роснефть {$ROSN} 66,08%
🟢Татнефть: 27,15%
🔴ВТБ {$VTBR} 6,04%
💵Валюта и Металлы: 0,73%

🗃️ Отрасли:
⛽️Энергетика: 93,22%
🏦Финансовый сектор: 6,04%
💵Валюта и Металлы: 0,73%

◽️Дивиденды: 30,77 руб.
◽️Остаток: 8,09 руб.
◽️Пополнение: 7500 руб.
🟢Итого: 7864,85 руб. +4,64%⬆️
__________________________________________
2️⃣💰Брокерский (фонды). 
✅Покупка: Тинькофф Локальные валютные облигации {$TLCB} 10 шт. по 10,92 руб. В портфеле 130 шт. средняя 10,69 руб.
✅ Покупка: Альфа-Капитал Управляемые Российские Акции {$AKME} 2 шт. по 190,86 руб.

✏️ В портфель добавлен фонд Альфа-Капитал Управляемые Российские Акции (AKME).

📌БПИФ «Альфа-Капитал Управляемые акции» – активно управляемый биржевой фонд, ориентированный на покупку акций компаний с хорошими фундаментальными показателями и оптимальным сочетанием риска и доходности.

◽️Управляющая компания: Альфа-Капитал 
◽️Номер регистрации: 4213
◽️Валюта фонда: RUB
◽️Формирование с 01.12.2020 до 11.12.2020 
◽️Пайщики на 29.12.2023: 69 272
◽️Биржа: Московская биржа
◽️Тикер: AKME
◽️ISIN: RU000A102E78

📌Инфраструктурные расходы.
◽️Вознаграждение: УК 1.5% 
◽️Вознаграждение депозитарию и др. 0.13% 
◽️Прочие расходы: 0.1%

📌Динамика ETF: прирост за месяц = 4,71% прирост за год = 82,94% прирост за три года = 68.37%

📌База расчета ETF: Стратегия активного управления акциями и депозитарными расписками российских компаний.

📌Дивиденды: Реинвестирование.

📌Топ-10 эмитентов.
◽️Лукойл: 9,48 % ◽️Яндекс: 9,45 % ◽️Сбербанк России: 9,43 % ◽️Озон Холдингс: 9,14 % ◽️АЛРОСА: 8,73 % ◽️Транснефть: 7,32 % ◽️ПАО Газпром Нефть: 6,94 % ◽️Татнефть: 5,94 % ◽️X5 Retail Group: 5,86 % ◽️НЛМК: 4,28 %

📌Отрасли.
◽️Нефтегазовая и топливная: 29,84 % ◽️Сырье и материалы: 20,19 % ◽️Потребительский сектор: 17,16 % ◽️Банки и финансовые компании: 13,31 % ◽️Прочее: 19,5 %

💼Портфель:
🟢Тинькофф Капитал: 78,69%
🟢ВИМ Инвестиции {$LQDT} 16,29%
🔴Альфа-Капитал: 4,86%
💵Валюта и Металлы: 0,16%

◽️Остаток: 12,19 руб.
◽️Пополнение: 7500 руб.
🟢Итого: 7845,86 руб. +4,41%⬆️
__________________________________________
3️⃣💰Брокерский (облигации).
✅ Покупка Лизинг трейд выпуск 3, {$RU000A1034X1} 1 шт. по 904,6 руб.

💼Портфель:
🔴Лизинг-Трейд: 49,51%
🔴Соби-Лизинг: 28,82%
🔴МСБ-Лизинг: 21,43%
💵Валюта и Металлы: 0,24%

🗃️Отрасли:
🏦Финансовый сектор: 99,76%
💵Валюта и Металлы: 0,24%

◽️Купонный доход: 111,41 руб. 
◽️Остаток: 18,27 руб.
◽️Пополнение: 7500 руб.
🟢Итого: 7597,21 руб. +1,28%⬆️
________________________________________
4️⃣💰Инвесткопилка.
💼 Вечный портфель TRUR 

◽️Пополнение: 7500 руб.
🟢Итого: 7911,67 руб. +5,2%⬆️
________________________________________
🧰Общий результат по всем портфелям: 
☑️Пополнение: 30000 руб.
🟢Итого: 31219,59 руб. +3,91%⬆️
📑Купоны: 111,41 руб.
💰Дивиденды: 30,77 руб.
________________________________________

📌 В период 8-12 апреля индекс МосБиржи вырос на 1,8% и составил 3456,24 пункта, индекс РТС прибавил 0,8% и достиг 1165,53 пункта на фоне роста доллара до 93,42 руб./$1 (+0,92 рубля) и просевшей нефти Brent до $90,92 за баррель (-0,2%).

📌В период 8-12 апреля среди акций, входящих в листинг 1-го и 2-го уровней Мосбиржи, лучше рынка выглядели акции «ТГК-14» (+22%), ПАО «Южуралзолото» (+18%), «Русала» (+14%); хуже рынка оказались бумаги SFI (-8%), ГК «Астра» (-6%), ПАО «Артген» (-5%).

📌Золото пробило очередной исторический максимум $2400.

📌ЦБ и Минфин поддержали идею освободить от НДФЛ дивиденды, поступающие на ИИС.

📌США и Великобритания ввели запрет на импорт алюминия, меди и никеля из России.

✏️Ну вот и всё, жду следующую неделю для пополнения и новых сделок. Всем спасибо за внимание 🤝😉

#марафон2024 #инвестиции #пульс #доход #деньги #сердце_пульса #прояви_себя_в_пульсе"
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T12:51:25.456+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#FullTimeTrading
#СВИНГ (лимитка)
ЛОНГ {$SPY}
5% ПОЗИЦИЯ
ВХОД: 508.76 (лимитной)
-3% pиска, 2 ATR от 10 EMA W

По панели пpибоpов
{$QQQ} деpжит своб 50 MA 

VVIX сильно удлинен 

Вывод: Мы в зоне нашей покупки потому что:
1. Коpоль SP500 впеpвые за 23 недели паpаболического pоста подошел в своей 10 EMA W (а мы помним пpозакономеpность отскока цены SPY на недельном от 10 и 20 EMA в бычьем тpенде). Кстати, он пока её не коснулся (смотpи гpафик)
2. S5TW пеpепpодан и находится у 15%, 10-20% это зона нашего основного свинга
3. S5FD у 4% - такой аномалии он давно не видел = можем ожидать возвpат цены к 5 MA = потенциальные зеленые дни

Но нам нехватает нескольких пpибоpов:
1. VIX должен коснуться 20
2. NDTW уйти в 10-20%

Как только мы получим эти ключи, в понедельник- втоpник, мы начнем последовательно, согласно стpатегии Зеленый Сад откpывать плечевые позиции в лонг

{$AAPL} молодцом, как мы и ожидали начинает показывать силу к pынку
Вот сейчас, помимо анализа ПП, пpиступаем к поиску акций-супеpкаpов и скидываем ваши вотч-листы на этих выходных
После того как найдем эту математически пpавильную точку входа, я смогу выдать сеpтификаты тем, кто каждый день выполнял пpактику ПП и пpодолжим её делать каждый день

#On_fleek
⭐️ Открыл шорт Ozon {$OZON} по 3701 руб на 10% от портфеля. Краткосрочно. Категория риска: высокая.

Страхую лонговые позици - крипта, американский рынок снизился, много неопределенностей. Непонятно как откроется рынок в понедельник.

#AnTraiding
{$VKCO} небольшую позицию увеличиваю в три раза примерно по 600.
Решил чуть чуть раньше первую покупку сделать ВКонтакте.

Следующий на рост будет тинькофф банк… {$TCSG}

{$VTBR} На большую сумму куплен в Лонг .
Однако сейчас, в другом портфеле пробуют технический шорт со стопом полтора процента и целью до 2%.
Хочу поймать движение красной стрелки на фото .
Мы предполагаем, что акция сначала упадёт проценты на два, прежде чем возьмёт сопротивление выше.
Шорт на небольшую сумму .
Цель всего до 2%.
Не исключаю, что сможем отработать сегодня или в понедельник .

{$PLUG} увеличиваю в три раза до 60 000 $
На 15 000 $ тейк 2% в рамках рубрики от средней

#VTBR напомним, что основная позиция ВТБ банка куплена у меня в Лонг.
В шорт я зашёл в другом портфеле.
Сумма шорта в 10 раз меньше суммы Лонга!
Ни злоупотребляйте !
Иначе все ваши шорты могут быть вынесены уже под конец сегодняшнего дня !

#VKCO теперь средняя ВКонтакте у меня 606 и позиции на 6 000 000 руб.
Я планирую держать на 20 000 000 руб., поэтому следующее увеличение буду делать не скоро.

{$NVTK} официально добавляю в долгосрочный портфель в этом канале. 
Цель 1700 (+31%).
Есть возможность увеличить минимум в два раза чуть позже .

Америка росла без отката долго, поэтому он возможен в ближайшее время.
Нет смысла что-то ловить на таком рынке.
Лучше не спешить, что мы и делаем.
Некоторую часть прибыльных позиций лучше зафиксировать .

#VKCO может отработать по правилам на вечерней сессии.
Если не отработает – первую долю по этой цене можно уже оставить в долгосрочном портфеле .

{$PLUG} сегодня в несколько раз лучше рынка.
Надеюсь он нашел почти свое дно )
Главное не злоупотреблять с размером позиции

#VTBR
Ну а пока ждём ниже на пару процентов )
А если на выходных мир взбудоражит новые военные проблемы, так вообще, в понедельник все цели придут …

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T12:25:36.518+03:00,"🔥Торговая неделя закончилась, а значит пришло время подвести итоги [&Портфель акций роста](https://www.tinkoff.ru/invest/strategies/ca502e58-0d44-418a-be06-5369c5e5bab4). По итогам недели доходность стратегии составила 0,32 %, выглядит не очень особенно по сравнению с предыдущей неделей. Но напомню, что внутри стратегии в основном средне- и долгосрочные идеи. А рынок цикличен и за снижением всегда последует рост.

💸На этой неделе закрыли сделки:
• {$VTBR} - пока что закрыли, при подтверждении восходящего тренда возможно вернусь в позицию;
• {$SBMX} - как говорил ранее, не собирался долго сидеть в позиции, закрыл с целью высвобождения кэша;
• {$AQUA} - дополнительно открывал спекулятивную позицию, цена ушла в противоположную сторону, сработал стоп-лосс. 
📈Были открыты позиции по: {$ASTR}, {$FESH}, {$UPRO}, {$HYDR}.
🚀Наибольшую доходность в портфеле обеспечивают: {$GLTR}, {$SNGS}, {$ENPG}.
☝️В отрицательной зоне пока что: {$MTLR}, {$ASTR}, {$UPRO}.

🔥Основа портфеля это акции со средне- и долгосрочными целями, поэтому большую часть роста они ещё покажут. А небольшие застои в росте стратегии это отличное время для пополнения стратегии, либо входа в неё.
#стратегия"
2024-04-13T12:03:38.246+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

Источник: Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #прогноз"
2024-04-13T11:15:42.152+03:00,"{$VTBR} мы всё смогëм, мы всё сумеем, мы плиты все преодолеем, взберемся дружно к ноль-ноль пять, чтоб смог тебя я там продать"
2024-04-13T10:47:17.844+03:00,"{$ETLN} {$FIXP} {$AFLT} {$POSI} {$AFKS} {$VTBR} {$BSPB} 
почему биржа закрыта? Кто в курсе?

Заявки обнулили..."
