time,text
2023-09-23T14:30:38.779+03:00,{$WTCM} 🧐
2023-05-10T14:55:54.618+03:00,{$WTCM}
2023-02-17T15:59:59.635+03:00,"{$WTCM} и $WTCMP не отражаются в поиске, но торгуются 🤷🏼"
2023-01-31T00:15:00.120+03:00,{$WTCM} для себя
2021-04-12T13:17:01.805+03:00,"{$WTCM} Всем привет, хочу вам показать акцию, которой в теории «нет в Тинькофф инвестициях», но по факту она есть...

Эту акцию я нашёл через Календарь инвестора. За 6 месяцев акция выросла почти на 20%, а её дивидендная доходность составляет больше 5%

Ни в коем случае не рекламирую данную бумажку, но я взял себе 1 лот) Пусть будет на долгосрок) {$MOEX}"
2021-04-11T15:06:47.720+03:00,"{$WTCM} Две недели почти прошло с моего обращения в Тинькофф @Tinkoff_Investments @Pulse_Official по данной акции.

Ее невозможно найти по поиску, по на названию, даже по тикеру она не пробивается. Лишь «Календарь» отражает, что по бумаге будут дивиденды в размере 5,5% 26 апреля и через него можно попасть на страницу акции.

По моему обращению в первый раз, «человек» ответил, что такой акции нет! Но после того, как я предоставил скриншот, мне сообщили, что они все исправят.

С моего обращения прошло почти две недели, все как было, так и осталось. 
Браво 👏 Тинькофф!

По {$DTE@DE} была история, что они выставили криво дату последней покупки 5 апреля и дезинформировали людей. 5 апреля - акции ГДР нельзя было купить. (Сейчас дата стоит правильная - 1 апреля)

В {$VALE} до сих пор дивиденды отражаются неправильно. Дивиденды были 4,28%, а отражается 0,74%.

🗿 Эти ошибки надо исправлять и улучшать продукт."
2021-04-11T05:18:40.491+03:00,{$WTCM} 😎
2021-04-01T21:06:53.008+03:00,"{$WTCM} Акция, которую невозможно найти по поиску, как по названию, так и по тикеру в Тинькофф, но она есть... 

Даже если тикер введёте, то он не пробьётся.

@Pulse_Official"
2021-03-22T22:54:35.204+03:00,{$WTCM} а что тут так тихо?
2020-05-05T11:25:31.184+03:00,{$WTCM}
2020-05-04T14:55:17.502+03:00,"🗓 Календарь инвестора на 4 мая (понедельник)

📍Корпоративные события РФ

последний день торгуются с дивидендами:
{$WTCM} - ЦМТ
{$NLMK} - НЛМК
{$KZOS} - Казаньоргсинтез
{$POLY} - Полиметал

последний день для участия в ГОСА
{$MAGN} - ММК
{$AKRN} - Акрон

📍Корпоративные события США

Отчеты:
British American Tobacco ({$BTI})

📍Макроэкономика

04:45 - PMI в производстве 🇨🇳
10:55 - PMI в производстве 🇩🇪
11:00 - PMI в производстве 🇪🇺
17:00 - Объем промышленных заказов 🇺🇸"
2020-05-04T11:38:14.639+03:00,"4 мая 2020, пн
• ЦМТ АП [$WTCMP] • 0,56 ₽ • 5,54%
• ЦМТ [{$WTCM}] • 0,56 ₽ • 5,5%

5 мая 2020, вт
• Matson, Inc [MATX] • 0,22 $ • 0,73%
• Intel [{$INTC}] • 0,33 $ • 0,57%
• Entergy Corporation [ETR] • 0,93 $ • 0,97%
• Energy Transfer LP [ET] • 0,3 $ • 3,63%
• Armstrong World Industries, Inc [AWI] • 0,2 $ • 0,26%
• Affiliated Managers Group, Inc [AMG] • 0,01 $ • 0,01%

6 мая 2020, ср
• Полиметалл [{$POLY}] • 0,42 $ • 2,03%
• Новатэк [{$NVTK}] • 18,1 ₽ • 1,75%
• Westinghouse Air Brake Technologies [WAB] • 0,12 $ • 0,22%
• Wells Fargo [{$WFC}] • 0,51 $ • 1,85%
• Wal-Mart [{$WMT}] • 0,54 $ • 0,44%
• Starbucks [{$SBUX}] • 0,41 $ • 0,56%
• Sensient Technologies Corporation [SXT] • 0,39 $ • 0,82%
• Pfizer [{$PFE}] • 0,38 $ • 1,01%
• Parker-Hannifin Corporation [PH] • 0,88 $ • 0,65%
• Norfolk Southern Corporation [NSC] • 0,94 $ • 0,55%
• MetLife [MET] • 0,46 $ • 1,33%
• Lithia Motors, Inc [LAD] • 0,3 $ • 0,29%
• J.B. Hunt Transport Services, Inc [JBHT] • 0,27 $ • 0,27%
• IBM [{$IBM}] • 1,63 $ • 1,34%
• Healthpeak Properties, Inc [PEAK] • 0,37 $ • 1,42%
• Concho Resources [CXO] • 0,2 $ • 0,35%
• Charles Schwab [SCHW] • 0,18 $ • 0,49%

7 мая 2020, чт
• ЛСР [{$LSRG}] • 30 ₽ • 4,97%
• W.W. Grainger, Inc [GWW] • 1,44 $ • 0,52%
• Standex International Corporation [SXI] • 0,22 $ • 0,44%
• Rollins, Inc [ROL] • 0,08 $ • 0,21%
• PPG Industries, Inc [PPG] • 0,51 $ • 0,56%
• PACCAR Inc [PCAR] • 0,32 $ • 0,46%
• Noble Energy [NBL] • 0,02 $ • 0,23%
• MGIC Investment Corporation [MTG] • 0,06 $ • 0,82%
• Invesco [{$IVZ}] • 0,16 $ • 1,94%
• Helmerich & Payne, Inc [HP] • 0,71 $ • 3,59%
• Equitrans Midstream Corporation [ETRN] • 0,15 $ • 1,79%
• D.R. Horton [DHI] • 0,18 $ • 0,38%
• ConocoPhillips [COP] • 0,42 $ • 1,07%
• Capital One Financial [COF] • 0,4 $ • 0,65%
• Apple [{$AAPL}] • 0,82 $ • 0,28%

8 мая 2020, пт
• Таттелеком [{$TTLK}] • 0,0202 ₽ • 6,11%
• Southern Copper Corporation [SCCO] • 0,2 $ • 0,62%
• Consolidated Edison, Inc [ED] • 0,76 $ • 0,97%"
2020-05-04T11:26:12.921+03:00,{$WTCM} 👀
2020-05-04T10:06:00.278+03:00,"На этой неделе!✅

Сегодня
🏫Акции ЦМТ последний день торгуются с дивидендом 0,56 руб. на акцию {$WTCM} 

5 мая
🏫 Beyond Meat после закрытия торгов опубликует финансовую отчётность за 1 кв. 2020 

6 мая
⛽️🇷🇺 Акции Новатэка последний день торгуются с дивидендом 18,1 руб. на акцию {$NVTK} 
⛏🇷🇺 Акции Polymetal последний день торгуются с дивидендом $0,42 {$POLY} 
🔌🇷🇺 СД Юнипро примет решение по дивидендам {$UPRO} 

7 мая
🏗🇷🇺 Акции ЛСР последний день торгуются с дивидендом 30 руб. {$LSRG} 
🏦🇷🇺 МосБиржа опубликует объемы торгов за апрель {$MOEX} 
🔌🇷🇺 Юнипро опубликует финансовую отчётность по МСФО за 1 кв. 2020
📡🇺🇸 Veon опубликует результаты за 1 кв. 2020 {$VEON} 
🧪🇺🇸 Moderna перед открытием торгов опубликует финансовую отчётность за 1 кв. 2020 {$MRNA} 
🚖🇺🇸 Uber после закрытия торгов опубликует финансовую отчётность за 1 кв. 2020 $UBER

8 мая
📡🇷🇺 Акции Таттелеком последний день торгуются с дивидендом 0,02021 руб. {$TTLK} 
🌎🇺🇸 Опубликуют статистику по изменению числа занятых в несельхоз. секторе США"
2020-05-04T09:16:04.804+03:00,"📆 На этой неделе:

Сегодня
🇷🇺 Акции ЦМТ последний день торгуются с дивидендом 0,56 руб. на акцию {$WTCM} 

5 мая
🇺🇸 Beyond Meat после закрытия торгов опубликует финансовую отчётность за 1 кв. 2020 $BYND 

6 мая
🇷🇺 Акции Новатэка последний день торгуются с дивидендом 18,1 руб. на акцию #NVTK #Дивиденды
🇷🇺 Акции Polymetal последний день торгуются с дивидендом $0,42 {$POLY}
🇷🇺 СД Юнипро примет решение по дивидендам {$UPRO} 

7 мая
🇷🇺 Акции ЛСР последний день торгуются с дивидендом 30 руб. {$LSRG}  
🇷🇺 МосБиржа опубликует объемы торгов за апрель {$MOEX} 
🇷🇺 Юнипро опубликует финансовую отчётность по МСФО за 1 кв. 2020 {$UPRO} 
🇺🇸 Veon опубликует результаты за 1 кв. 2020 {$VEON} 
🇺🇸 Moderna перед открытием торгов опубликует финансовую отчётность за 1 кв. 2020 {$MRNA} 
🇺🇸 Uber после закрытия торгов опубликует финансовую отчётность за 1 кв. 2020 $UBER

8 мая
🇷🇺 Акции Таттелеком последний день торгуются с дивидендом 0,02021 руб. {$TTLK}"
