time,text
2024-04-13T16:24:42.400+03:00,"✨Привет друзья! Решил поучаствовать в конкурсе от @INVEST_COMMUNITY! Разыграют акцию {$WUSH} на 1000 подписчиков)
В общем посмотрим что из этого выйдет 🙄🤞

🔥Подпишись, чтоб конкурс состоялся быстрее!👇🏻

https://www.tinkoff.ru/invest/social/profile/INVEST_COMMUNITY?utm_source=share"
2024-04-13T14:59:28.776+03:00,{$WUSH}  они на улицах просто стоят и всё
2024-04-13T14:37:08.416+03:00,"{$WUSH} Давайте объективно. Выходной, м. Каширская,  рядом Царицынский парк, стоят три конкурента в самокатах, за 10 минут не взято ни одного."
2024-04-13T14:14:37.304+03:00,"❗️❗️Итоги недели и что ждать дальше❗️❗️

📌Предыдущий прогноз: https://www.tinkoff.ru/invest/social/profile/WavesOfTemptation/c61cc587-9e19-44b7-a9c2-10e8d34e244b/
📌Вчера не получилось написать, поэтому пишу сегодня
📌Решил данные посты выпускать в рубрике #итоги_недели_с_прогнозом

❗{$IMOEXF}❗️
🔹Предыдущий прогноз: https://www.tinkoff.ru/invest/social/profile/WavesOfTemptation/dac7877b-dfe0-42f2-b693-a0f12ee57442/
🔹Писал, что будет выход вверх он и случился, когда технари уже ждали коррекцию на 1385 и 1340. И в какой раз ВА дает более точные прогнозы 
🔹Цель 2 достигнута, что я прогнозировал еще в начале марта! 
🔹То, что закрепились над ней по факту ничего не значит. Если рассматривать со стороны ТА (который не работает), то это хорошо
🔹Дальше, в рамках моего текущего прогноза есть 2 варианта: 
     1) Или в скором времени может начаться достаточно продолжительная боковая коррекция (не на год, но недели на 2-3 возможно), которая будет ходить в диапазоне примерно между целями 1 и 2 будет 
     2) Или же дойдем до ближайшей бирюзовой области (минимальная цель пока что 1530), а только потом будет продолжительная боковая коррекция. Если это произойдет, то будет идеально
🔸В целом, пока все идет по основному прогнозу, корректировок пока не требуется, ждем дальнейшего развития событий. Заметьте, что я не втираю Вам какие-то статистические цифры или новости, но почему-то прогнозы пока, что остаются в силе 

❗️Нефтегазовый сектор❗️
📌{$SIBN}, {$ROSN}, {$TATN}
🔹Картинка по всем активам очень красивая
🔹Если кто любит делать взаимосвязи, то на этих активах и индекс Мосбиржи может неплохо стрельнуть. Но в большинстве случаев - это пальцем в небо!
🔸Ожидаю сильного роста в ближайшее время
📌$GAZP
🔹Напротив, есть намек на коррекцию, но, возможно, неглубокую, примерно до 162
🔸Наблюдаем, но хочется уже нормального роста 

❗️{$WUSH}❗️
🔹Есть подозрения, что перехая уже не будет и может неплохо улететь вниз
🔸Ищу возможность выйти с небольшим профитом или в безубыток, закрывать сейчас не хочу, минус совсем небольшой

❗️{$TCSG}❗️
🔸Скукота, пока продолжаем топтаться на месте, цели с прошлого раза не поменялись. Если цена пробьет 3130, то появится возможность на рост. Негативного сценария пока не вижу

❗️{$LENT}❗️
🔹Пойдет ли с текущего уровня вниз, вряд ли
🔹Нарисовался треугольник в 4 волне импульса, поэтому думаю будет перехай
🔹Насколько большой не знаю, возможно, просто обновит хай
🔸В скором времени будет коррекция в каком виде не знаю, но в целом этот актив вообще перестал быть интересен

📌Почему нет других графиков? Не вижу в этом смысла! Тем более, когда нет заинтересованности у аудитории. Собственно, поэтому сократил количество постов до 1-2 в неделю. Просто чтобы отслеживать правильность своих прогнозов
📌Пульсу нужно двигать своих подопечных, за полтора месяца я в этом точно убедился, когда в дайджестах и тд практически одни и те же люди
📌Можете не ставить лайки, не подписываться, мне уже как то все равно на это, даже отписываются, собственно также 

📌Тем, кто ставит лайки, все равно, спасибо! Понимаю, что хотя бы пару человек да читают эту писанину!

Хороших выходных!😊

#imoex
#волновой_анализ
#прояви_себя_в_пульсе
#хочу_в_дайджест
#пульс_оцени
#аналитика
#новичкам
#прогноз"
2024-04-13T14:14:10.410+03:00,"Доля Вуш в России около 50% - блог Whoosh на Смартлаб
Whoosh рассказывает о своих данных во время съезда «На СИМ», выделяя частоту поездок и количество пользователей, как основные драйверы роста. Вот основные цифры:

• Показатель поездок на пользователя в год с 2022 по 2023 увеличился с 10,8% до 14,4%, особенно важную роль сыграло развитие транспортной доступности, которая выросла на 18%.

• Проникновение сервиса поднялось с 19% до 31%, и это только начало: всего за один год число активных пользователей Whoosh стало больше на 2 млн.

• Ядро аудитории компании также активно растет, и увеличилось на 109% год к году. Речь идет о пользователях Whoosh, которые совершают в среднем 30–60 поездок в месяц, используя самокаты как ежедневный транспорт
{$WUSH}"
2024-04-13T14:12:19.791+03:00,"Добрый день всем, это будем мой самый первый пост на площадке.
Жизнь удивляет ежедневно, но сегодня прям что-то новое.
Ежедневно слежу за компаниями в своем портфеле, дошел до {$WUSH}, человек написал свое мнение, крайне негативное, как показалось мне, в самом посте оказались люди, которым это мнение пришлось по душе, их дело, каждый человек имеет право на уникальность мысли.
Поделившись своим, меня начали обвинять в инфоцыганстве и прочих штуках, хотя я самый обычный инвестор. Никаких призывов к покупке или продаже акций от меня не было, по сути поделился новостями, которые есть в официальных источниках компании, а за то, что компания выросла за последние пол года, так это мое наблюдение, ибо с неё я по сути и начал свой путь в инвестициях.
Торгую разве что в среднесрок, изучаю рынок каждый день. 
Знакомство с фондовым рынком начал осуществлять только в этом году, более вдумчиво так скажем. 
Мир полон злых и агрессивных людей, не будьте такими.
На всякий случай, напишу что это не ИИР и все такое, а то мало ли, набегут снова.
Хорошего всем дня."
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-13T13:38:07.036+03:00,"Хорошие новости по {$WUSH} , но акции не хотят пока расти 

Вчера проходила конференция «СИМ», где собрались представили кикшеринга и Whoosh  рассказал про хорошие показатели 

•доля на РФ рынке ~50% 

•число активных поьщователей за 1 год стало больше на 2 млн 

Также они анонсировали функцию мгновенного старта без открытия приложения. 

Новости классные и можем предположить, что если не будет форс-мажора, то показатели на 2024 год должны быть отличными. 

Но акции пока никак не отреагировали на показатели и даже немного скорректировались."
2024-04-13T13:32:58.827+03:00,"{$WUSH} Интересный шип, и конкурсы веселые."
2024-04-13T13:04:05.401+03:00,"Мои мысли по {$WUSH} в рекомендациях тинька и раздувание ожиотажа как было с {$SFIN}, напоминает, это, посты мои удалили непонравилось, то что я называю компанию будущим банкротом, но это моё мнение, но удаляют все равно, прежде чем купить вуш или другую пропиаренную акцию, вспомните о судьбе денди, компьютерных клубов, электровелосипедов в Китае, электросамокатов в Париже, фишек с покемонами и сериала, спинеры, видеоигр на автоматах и бесконечный список надоевших игрушек людей👎 не иир, по {$ASTR} и {$POSI} понимаю почему могут расти, от пк и вычислительных мощностей не откажется человечество, а от электросамокатов... БЕЗ ПРОБЛЕМ👍"
