time,text
2024-04-13T15:23:51.824+03:00,"Какие риски несут акционеры «Яндекса», «Тинькофф», X5 Retail Group: мнение экспертов ЧАСТЬ 3️⃣

📌 {$YNDX} «Яндекс»

В отличие от прошлых кейсов «Яндекс» решил вернуться в Россию путем реструктуризации бизнеса. Так, нидерландская Yandex N.V. провела реорганизацию и продала российский бизнес консорциуму частных инвесторов и менеджеров компании за ₽475 млрд. Новой головной компанией группы вместо Yandex N.V. станет зарегистрированная в Калининградской области Международная компания публичное акционерное общество (МКПАО) «Яндекс».

Ее основным владельцем будет ЗПИФ «Консорциум.Первый» во главе с менеджерами «Яндекса». Другие пайщики — структуры основателя венчурного фонда Leta Capital Александра Чачавы, главы депозитария «Инфинитум» Павла Прасса, группы ЛУКОЙЛ и предпринимателя Александра Рязанова. ЛУКОЙЛ получит около 10% «Яндекса», доли других пайщиков не раскрываются, но в компании подчеркивают, что ни у одного из них нет контроля.

После завершения реструктуризации МКПАО «Яндекс» станет новой головной компанией «Яндекса» и сохранит бизнесы, сервисы и активы группы Yandex N.V. за исключением четырех зарубежных стартапов и дата-центра в Финляндии. «Яндекс» рассчитывает закрыть первый этап сделки по продаже российского бизнеса до 30 апреля.

Мосбиржа сообщила о допуске акций МКПАО «Яндекс» с 15 мая. Бумаги компании войдут в первый котировальный список Мосбиржи. Однако до сих пор руководство компании не представило конкретики по поводу конвертации ГДР в новые акции на российской бирже.

📌 Какие могут быть риски

Аналитик УК «Альфа-Капитал» Юлия Мельникова считает отсутствие параметров конвертации одним из основных рисков для миноритарных акционеров, который и создает основное давление на цену бумаг. «Очевидно, что наиболее привлекательный исход — обмен бумаг западной компании с коэффициентом один к одному и равнозначный обмен», — считает Мельникова.

Начальник аналитического отдела инвестиционной компании «Риком-Траст» Олег Абелев также считает, что основной подводный камень компании — это процент конвертации бумаг. Эксперт ожидает, что коэффициент конвертации будет один к одному, однако не исключает и другой опции. «Полный выкуп акций у акционеров маловероятен. Иначе нет логики в том, чтобы полностью выкупать у иностранной компании российский бизнес. Можно было бы просто пойти по пути выкупа акций у иностранных нерезидентов», — добавляет Абелев.

Антон Кравченко из УК «Первая» соглашается с ним и считает, что коэффициент конвертации бумаг из ГДР в акции может быть один к одному.

💡 РБК"
2024-04-13T15:08:09.411+03:00,"Анализ Яндекса {$YNDX}

Яндекс с конца марта находится в состоянии боковой коррекции. В тоже время неудачная попытка пробоя линии дневной скользящей и последующее движение над ней, а также формирование 5-ти дневной конструкции «Треугольник», указывают на возможность возобновления восходящего тренда с обновлением дневных максимумов.

По итогу пятницы котировки формируют концентрацию над часовым индикатором что способствует началу реализации конструкции в течении торгов новой сессии. Не иир. Хорошего вам дня!)
❤️В профиле дал список акций с потенциалом роста 50%. Подпишись"
2024-04-13T14:09:11.561+03:00,"{$RUAL} в портфеле с последней рекомендации дает уже 20% 
{$ENPG} так же 20%  за пару недель 

{$YNDX} сегодня скажу цели 

После последней нашей встречи куча прогнозов сбылась, от 5 до 20%, всего пару недель 


Трансляция кстати сегодня в 15:00 🙏🙌🚀"
2024-04-13T14:03:18.572+03:00,"Яндекс {$YNDX}  с конца мая находится в состоянии боковой коррекции. В тоже время неудачная попытка пробоя линии дневной скользящей и последующее движение над ней, а также формирование 5-ти дневной конструкции ""Треугольник"", указывают на возможность возобновления восходящего тренда с обновлением дневных максимумов.

По итогу пятницы котировки формируют концентрацию над часовым индикатором что способствует началу реализации конструкции в течении торгов новой сессии.

Ближайшей целью выступит коридор цен 4100 - 4150 руб., дальней целью - цена 4300 руб.


Сбербанк {$SBER}  не смог закрыть торги выше цены 308 руб., что на фоне негативного сочетания крайних двух дневных свечей, а также игнорирования линии часового индикатора, будет способствовать снижению в понедельник к цене 305,5 руб., около которой проходит восходящая линия поддержки, параллельно являющаяся линией шеи в потенциальной конструкции ""Голова и плечи"".

Как уже было описано во вчерашнем посте с разбором Сбербанк, при негативном варианте с реализацией данной конструкции, котировки рискуют снизиться к цене 301,5 руб., около которой проходит дневной уровень поддержки.


Сургут обычка {$SNGS}  в течении новой недели имеет шанс на начало движения в коридор цен 34 - 34,5 руб., в районе которого установлены дневные максимумы октября прошлого года. 

Технически на это указывает наличие конструкции ""Треугольник"" и закрепление над линией часового индикатора по итогу торгов пятницы.


ГАЗПРОМ {$GAZP}  вторую неделю торгуется около своих ближайших дневных максимумов. В результате чего котировки формируют конструкцию ""Восходящий треугольник"". 

Текущее формирование часовой концентрации около верхней линии конструкции способствуют её дальнейшей реализации в результате чего котировки могут отрасти к дневному уровню сопротивления, который проходит около цены 169 руб. 

Аэрофлот {$AFLT}  смог обновить свои прошлые дневные максимумы. В тоже время сессию котировки закрывают коррекцией в результате которой произошло новое закрепление под линией часового индикатора.

Технически картинка вновь способствует снижению, где ближайшей целью выступит восходящая линия тренда, которая в моменте проходит около цены 49,7 руб.

Индекс #imoex продолжил торговлю около верхней границы дневного торгового коридора. Я думаю что при отсутствии дополнительного позитива, российский рынок в течении новой недели перейдёт к фазе коррекции нижней границей которой может выступить цена 3400 руб.

Закрытие текущей вечерней сессии под линией часового индикатора увеличит шансы на описанный выше сценарий.

Источник: Тех. Анализ

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #теханализ"
2024-04-13T12:31:16.971+03:00,"🛴 Электросамокаты в Москве начнут автоматически штрафовать и блокировать пользователей, которые катаются вдвоем.  

Устройство будет определять количество людей и снижать скорость до минимальной. Штрафовать и блокировать пользователей начнут после повторных нарушений. {$WUSH} {$YNDX} {$YNDX@US} #wush #yndx #новости #самокаты"
2024-04-13T12:27:40.639+03:00,{$YNDX} думаю зафиксить или рано😄?
2024-04-13T12:22:36.307+03:00,"Вы уже гоняли, на беспилотном такси от Яндекс? 
Поездка доступна: в Москве район ясенево, Сочи (Сириус), Инополис(я так понимаю Казань).  
Испытал я на днях в сочи искусственный интеллект от Яндекс:)) {$YNDX} прокатился на беспилотном такси. Видос вам не покажу так как запрещено:)) но опыт интересный 😀
P.s кстати на пешеходном переходе чудо машина очень резко затормозила:)) видно кого то испугалась 😀🤭 бы стремненько."
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T11:26:14.545+03:00,"{$YNDX} по моему работает бот, который не дает ни покупать не продавать!"
2024-04-13T10:57:33.845+03:00,{$YNDX} если на выходных льют в понедельник будет жесть
