time,text
2023-09-23T09:13:40.571+03:00,{$ZILL} 🧐
2023-08-24T13:31:04.655+03:00,{$ZILL} для себя
2023-04-28T15:37:53.615+03:00,"{$ZILL} уберите это дерьмо из моего портфеля. Я это не покупал. И никакие подарки мне от вас не нужны, себе их оставьте, вместе со своими условиями"
2023-04-23T18:56:13.706+03:00,"{$ZILL} акция пропала((( написала в поддержку, спустя три дня, акцию вернули. Завтра буду продавать)))"
2023-04-10T10:59:46.404+03:00,"{$ZILL} подарили и отобрали, развели как обычно... Оказывается  ее нужно продать за 90 дней иначе отберут."
2023-04-08T20:16:59.001+03:00,"{$ZILL} а самое интересное с этим подарком то, что у тех кто продал, деньги не списали. У меня друган торгуют тут и у нас день рождения с разницей 4 дня."
2023-04-07T09:54:20.054+03:00,"{$ZILL} подарили акцию - забрали акцию, в чем прикол?"
2023-04-05T13:13:18.834+03:00,{$ZILL} а за что вообще дарят эту акцию?
2023-04-05T12:28:46.609+03:00,{$ZILL} ЗИЛок король дорог 😄
2023-04-04T17:24:29.525+03:00,{$ZILL} наблюдаем 🥸
2023-04-04T12:19:26.388+03:00,"{$ZILL} кому подарили акцию и не хочет ее продавать, можете мне дарить, я не против)"
2023-04-04T11:58:52.530+03:00,{$ZILL} я не один тут подарочный?)
2023-04-04T11:37:31.534+03:00,"{$ZILL}  какая-то супер акция, растет как на дрожжах 😀"
2023-03-31T15:08:33.954+03:00,"{$ZILL} удалось скинуть по 4 с копейками. Мелочь, а приятно (типа спекульнул 😂)"
2023-03-31T12:59:08.932+03:00,"{$ZILL} спасибо не надо.
Особенно при условии пополнять счет и держать его 30 дней. Оставьте себе ."
2023-03-31T11:04:05.079+03:00,"{$ZILL} чтобы продать эту акцию надо сдать тест . Там есть подготовится к тесту . Прочитал и сдал 👍 не скрою что не сразу,  но сдал 👍 . Не опускайте руки у вас все получится ✅"
2023-03-31T03:20:57.207+03:00,{$ZILL}
2023-03-30T21:56:57.201+03:00,{$ZILL} спасибо за подарок 🎁)))
2023-03-30T15:56:05.293+03:00,"{$ZILL} {$TCSG} сегодня был в Сбер обновил карту и предложили подарок забрать с дня рождения, Окко на месяц за 1 рубль. Сказал : спасибо мне Тиньков акцию подарил за 3.5 к. В ответ ничего не сказали. Спасибо за подарлк."
2023-03-30T14:33:35.086+03:00,{$ZILL} спасибо за подарок 👍
2023-03-30T10:00:03.319+03:00,{$ZILL} спасибо за подарок
2023-03-29T20:41:53.324+03:00,{$ZILL} спасибо за подарок))
2023-03-29T19:34:06.893+03:00,"{$ZILL} у меня у одного гэп открытый? Только не у Тенькова, на другом популярном сайте"
2023-03-29T19:10:58.057+03:00,"Сегодня любимый брокер поздравил с прошедшим, подарив акцию {$ZILL} . Это было очень приятно и неожиданно. ✨"
2023-03-29T18:30:54.771+03:00,"{$ZILL} 
спасибо"
2023-03-29T17:44:31.081+03:00,{$ZILL}
2023-03-29T17:22:19.637+03:00,{$ZILL} вышла прекрасная отчетность! Можно ознакомиться на сайте. Компания будет жить.
2023-03-29T17:17:52.148+03:00,{$ZILL} хорошо летит 👍
2023-03-29T17:01:12.510+03:00,{$ZILL} спасибо за подарок! Оч приятно !
2023-03-29T16:54:56.830+03:00,{$ZILL} Welcome on board !
2023-03-29T15:34:37.058+03:00,"{$ZILL} мне в подарок прилетела, откуда такая щедрость? Кто-то в курсе?"
2023-03-29T15:26:12.294+03:00,{$ZILL} вот эти условия увидел кто нибудь ?
2023-03-29T15:23:25.715+03:00,"{$ZILL} а почему выдает вот так, в курсе  ? Акцию подарили, а купить нельзя еще."
2023-03-29T15:14:17.074+03:00,{$ZILL} кому по сколько подарили ? Мне по 3430
2023-03-29T14:55:59.902+03:00,{$ZILL} и мне в подарок эта акция попала ) что за день щедрости ?)
2023-03-29T14:38:24.653+03:00,"{$ZILL} ну а че, приятно"
2023-03-29T14:05:52.892+03:00,{$ZILL} откуда у меня эта акция в портфеле? 😳😳😳Я не покупал🤷
2023-03-03T18:17:19.066+03:00,{$ZILL}
2023-02-27T10:13:53.344+03:00,"🇷🇺 Сделки инсайдеров за февраль:

👤Продажи:
🧩 ПАО «ПАЗ» $PAZA - 0,7 млн.₽
🧩 ООО «Бастион» {$MTSS} - 1,76 млн.₽
🧩 ООО «ЛСР УК» {$LSRG} - 30 090 млн.₽

👤Покупки:
🧩 ПАО «БСП» {$BSPB} + 17.94 млн.₽
🧩Молчанов А.Ю. {$LSRG} + 7 223 млн.₽
🧩АО «РенПрайм {$RENI} + 22 млн.₽
🧩ПАО «ЗИЛ» {$ZILL} + 6.7 млн.₽

Взято у @Falcon"
2021-10-24T08:37:34.275+03:00,"🎃 в предверии Хэллоуина

Компания {$ZILL} - фантом.
2013 (банкрот), 2015 (закрытие), 2020 (снос).

https://ru.m.wikipedia.org/wiki/Завод_имени_Лихачёва"
2021-10-21T09:47:30.330+03:00,{$ZILL} Что с аналитикой по ЗИЛу? Какой-то трэш. Показатели чудные.
2021-10-20T19:13:34.076+03:00,{$ZILL} почему она в поиске не показывается?)
